UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPLCN,APPLCNM,APPLCNW,ADMSSN,ADMSSNM,ADMSSNW,ENRLT,ENRLM,ENRLW,ENRLFT,ENRLFTM,ENRLFTW,ENRLPT,ENRLPTM,ENRLPTW,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75
100654,1,2,1,2,3,2,5,1,3,6560,2209,4345,4697,1599,3092,1534,647,885,1459,623,834,75,24,51,287,19,970,63,430,520,410,510,15,20,14,20,15,18
100663,1,3,1,1,3,3,5,3,3,11906,4139,7767,10541,3501,7040,2415,835,1580,2361,816,1545,54,19,35,166,7,1565,65,593,680,580,708,23,30,23,33,21,28
100706,1,2,1,3,3,2,1,1,3,5781,2850,2931,4259,2301,1958,1204,778,426,1191,772,419,13,6,7,65,5,1108,92,580,700,590,720,24,31,24,32,23,29
100724,1,3,2,3,3,3,5,1,3,5974,1745,4142,5854,1695,4072,890,300,590,797,254,543,93,46,47,132,15,313,35,442,534,397,516,15,20,12,22,15,19
100751,1,2,1,1,3,3,5,1,3,42421,15567,26854,33472,12338,21134,7593,3221,4372,7540,3206,4334,53,15,38,1302,17,4795,63,540,680,530,690,21,31,21,33,19,28
100830,1,2,1,3,3,3,1,1,3,3405,1128,2277,3296,1080,2216,539,191,348,517,181,336,22,10,12,23,4,429,80,480,595,470,565,17,24,16,24,16,22
100858,1,2,1,1,2,3,2,1,3,27619,11598,16021,19660,8015,11645,5311,2423,2888,5254,2384,2870,57,39,18,,,,,,,,,,,,,,
100937,1,5,5,2,5,5,5,5,3,2461,1105,1356,1622,724,898,244,123,121,244,123,121,,,,17,7,132,54,550,610,540,630,22,28,22,30,19,26
101189,1,2,1,3,3,3,5,2,3,1791,773,1018,1157,482,675,233,129,104,217,122,95,16,7,9,29,12,138,59,500,600,490,605,16,23,16,23,16,22
101365,2,3,2,3,3,3,3,2,1,179,62,117,168,58,110,116,40,76,32,7,25,84,33,51,,,,,,,,,,,,,,
101435,1,2,1,2,2,2,5,1,3,2404,1405,999,1666,971,695,253,154,99,253,154,99,,,,17,7,157,62,510,560,470,510,19,25,20,25,17,24
101480,1,3,1,3,3,3,5,1,3,10483,3634,6849,8003,2763,5240,1818,695,1123,1782,682,1100,36,13,23,4,1,1298,71,490,580,520,660,16,23,15,23,15,21
101587,2,3,1,2,3,3,1,1,3,1539,558,981,1144,421,723,351,148,203,350,148,202,1,0,1,7,2,241,69,430,470,450,510,17,21,16,22,16,19
101648,1,3,1,5,3,3,1,1,3,904,480,424,410,293,117,181,134,47,181,134,47,,,,74,41,131,72,560,650,540,650,18,26,17,26,18,25
101693,1,3,5,3,3,3,2,1,3,1774,476,1298,1137,312,825,253,88,165,250,87,163,3,1,2,,,,,,,,,,,,,,
101709,1,2,1,2,3,3,5,1,3,4045,1224,2821,3644,1073,2571,493,180,313,478,177,301,15,3,12,29,6,321,68,500,590,470,610,19,26,19,28,17,24
101879,1,2,1,2,3,3,2,1,3,3410,1113,2297,3068,1017,2051,1013,376,637,985,366,619,28,10,18,,,,,,,,,,,,,,
101912,1,3,1,2,2,3,2,2,3,881,293,580,633,242,391,284,122,162,280,120,160,4,2,2,,,,,,,,,,,,,,
102049,1,2,5,1,1,3,5,3,3,4217,1420,2797,3537,1156,2381,920,326,594,918,326,592,2,0,2,202,22,605,66,570,660,530,630,23,29,23,31,20,27
102094,1,3,1,3,3,3,1,1,3,11817,4223,7594,8364,2911,5453,1778,669,1109,1751,656,1095,27,13,14,130,7,1537,86,500,610,485,605,19,26,19,27,17,25
102234,1,3,1,2,5,3,5,1,3,2114,781,1333,1512,548,964,216,104,112,215,104,111,1,0,1,20,9,147,68,490,530,480,530,17,21,15,20,15,19
102270,1,3,1,3,3,3,3,1,3,1190,409,780,902,318,584,134,58,76,109,49,60,25,9,16,,,,,,,,,,,,,,
102368,1,3,1,2,3,3,1,1,2,6766,2405,4361,6446,2249,4197,1596,595,1001,1362,513,849,234,82,152,74,5,1118,70,485,580,450,570,17,25,17,25,16,23
102377,1,2,1,2,2,2,1,1,3,8597,2456,6141,2940,882,2058,551,194,357,545,194,351,6,0,6,83,15,227,41,470,580,450,550,18,25,17,25,16,23
102395,1,3,1,3,3,3,3,1,3,13,9,4,13,9,4,13,9,4,2,1,1,11,8,3,,,,,,,,,,,,,,
102553,5,5,1,2,3,3,2,1,5,3431,1460,1971,2369,994,1375,990,441,549,665,316,349,325,125,200,,,,,,,,,,,,,,
102614,1,3,1,3,3,3,1,1,3,1402,636,766,907,426,481,678,314,364,538,277,261,140,37,103,83,12,110,16,560,680,550,680,17,27,15,26,16,25
102632,1,3,1,2,3,2,2,1,3,464,164,300,261,97,164,149,62,87,111,46,65,38,16,22,,,,,,,,,,,,,,
102669,1,3,1,2,3,3,3,1,3,504,120,384,484,113,371,40,6,34,35,6,29,5,0,5,,,,,,,,,,,,,,
104151,2,2,1,2,3,3,3,1,3,61603,29380,32223,54329,25323,29006,14250,6996,7254,14097,6917,7180,153,79,74,,,,,,,,,,,,,,
104179,1,5,1,2,5,2,5,5,3,48065,20619,27446,41946,17626,24320,8436,3363,5073,5844,2354,3490,2592,1009,1583,1059,13,1572,19,560,680,560,690,21,29,20,29,20,28
104586,5,5,1,1,5,3,5,1,3,3659,2512,1147,2699,1872,827,749,535,214,744,531,213,5,4,1,226,30,197,26,570,660,570,690,22,29,21,30,23,29
104717,1,3,1,3,3,3,2,1,3,36861,12447,23334,30534,10744,19776,7620,2862,4758,6730,2565,4165,890,297,593,,,,,,,,,,,,,,
105330,1,3,1,3,3,3,2,1,3,42872,14236,28636,33592,11024,22568,5297,1947,3350,4749,1681,3068,548,266,282,,,,,,,,,,,,,,
105589,1,3,1,3,1,3,3,1,3,147,41,106,146,41,105,37,11,26,36,11,25,1,0,1,,,,,,,,,,,,,,
105899,1,3,1,3,5,3,5,1,5,1222,813,409,928,587,341,311,203,108,304,202,102,7,1,6,41,13,67,22,480,590,480,580,16,23,14,22,16,23
106245,1,3,1,2,3,3,1,1,3,3786,1302,2484,2184,776,1408,481,214,267,446,199,247,35,15,20,25,5,409,85,520,590,500,590,19,25,19,26,17,24
106342,1,3,3,2,3,3,5,3,3,2444,1651,766,665,434,225,138,90,48,138,90,48,,,,15,11,85,62,520,590,530,605,21,26,20,26,19,26
106397,1,5,1,5,3,3,1,5,3,21462,8507,12955,17743,6871,10872,6065,2534,3531,6012,2507,3505,53,27,26,1566,26,4735,78,530,620,520,600,21,28,21,29,20,27
106412,1,2,1,2,3,3,1,1,3,4699,1725,2974,3173,1125,2048,677,278,399,590,236,354,87,42,45,78,12,549,81,420,508,390,508,14,18,12,18,14,17
106458,1,2,1,2,3,3,1,1,3,5835,2317,3516,3693,1388,2305,1301,528,773,1225,497,728,76,31,45,32,2,1162,89,510,590,520,610,20,26,21,28,18,25
106467,1,2,1,2,3,3,2,1,3,6218,2482,3736,5868,2328,3540,1396,665,731,1337,646,691,59,19,40,,,,,,,,,,,,,,
106546,1,3,1,3,1,3,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
106704,1,3,1,2,3,3,5,1,3,6057,2152,3905,5595,1969,3626,1854,670,1184,1844,663,1181,10,7,3,54,3,1751,94,500,600,480,560,19,26,20,28,17,25
106713,1,1,1,2,3,3,1,1,3,349,210,139,215,124,91,138,83,55,136,82,54,2,1,1,16,12,109,79,450,588,453,548,18,23,17,23,16,24
