UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,APPLCN,APPLCNM,APPLCNW,APPLCNAN,APPLCNUN,ADMSSN,ADMSSNM,ADMSSNW,ADMSSNAN,ADMSSNUN,ENRLT,ENRLM,ENRLW,ENRLAN,ENRLUN,ENRLFT,ENRLFTM,ENRLFTW,ENRLFTAN,ENRLFTUN,ENRLPT,ENRLPTM,ENRLPTW,ENRLPTAN,ENRLPTUN,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR50,SATVR75,SATMT25,SATMT50,SATMT75,ACTCM25,ACTCM50,ACTCM75,ACTEN25,ACTEN50,ACTEN75,ACTMT25,ACTMT50,ACTMT75
100654,1,3,1,3,3,3,5,1,3,3,3,3,8907,2924,5983,,0,6092,1932,4160,,0,1724,689,1035,,0,1684,675,1009,,0,40,14,26,,0,1195,69,20,1,430,470,523,400,450,510,15,17,19,13,16,20,15,16,18
100663,1,3,1,1,3,3,5,3,3,3,3,3,9947,3451,6496,,0,8622,2870,5752,,0,2217,755,1462,,0,2172,733,1439,,0,45,22,23,,0,145,7,1081,49,610,650,690,590,650,720,23,27,30,22,27,33,20,25,28
100706,1,3,1,3,3,3,5,1,3,3,3,3,5581,2822,2759,,0,4359,2320,2039,,0,1172,753,419,,0,1154,743,411,,0,18,10,8,,0,74,6,649,55,613,650,700,613,685,730,25,26,30,24,28,34,23,26,30
100724,1,3,1,3,3,3,5,1,3,1,1,5,6731,2147,4529,,55,6502,2036,4412,,54,943,361,582,,0,938,360,578,,0,5,1,4,,0,166,18,271,29,429,480,531,399,455,510,16,18,20,14,17,20,14,16,18
100751,1,5,1,1,3,3,5,1,3,5,5,3,54072,21550,32522,,0,43290,17129,26161,,0,8037,3490,4547,,0,7981,3462,4519,,0,56,28,28,,0,1339,17,3594,45,570,630,690,560,630,720,23,28,31,23,28,34,22,26,29
100830,1,5,1,3,3,3,1,1,3,3,3,3,2290,689,1600,1,0,2112,636,1475,1,0,407,133,274,0,0,384,123,261,,0,23,10,13,,0,15,4,303,75,510,540,615,500,530,575,18,20,25,17,21,24,16,18,23
100858,1,5,1,1,5,3,5,1,3,3,3,3,45693,18548,27145,,0,19988,8261,11727,,0,5303,2481,2822,,0,5282,2469,2813,,0,21,12,9,,0,824,17,4211,86,610,650,680,610,650,700,24,27,30,24,28,33,22,26,28
100937,1,5,5,5,5,5,5,5,3,5,5,5,3019,1409,1610,,0,1726,811,915,,0,244,142,102,,0,244,142,102,,0,,,,,,33,14,122,50,590,620,670,560,590,610,22,25,29,22,25,30,20,24,26
101189,1,3,1,3,3,3,5,1,3,3,3,3,1728,786,942,,0,1424,652,772,,0,238,137,101,,0,211,128,83,,0,27,9,18,,0,13,6,92,47,470,510,570,480,520,560,17,19,24,17,21,25,16,18,23
101365,1,3,1,3,3,3,3,1,1,3,3,3,153,51,102,0,0,144,48,96,,0,99,33,66,,0,15,1,14,,0,84,32,52,,0,,,,,,,,,,,,,,,,,,,
101435,1,5,1,5,5,5,5,1,3,3,5,5,2573,1275,1298,0,0,1697,854,843,,0,258,156,102,,0,258,156,102,,0,0,0,0,,0,17,7,121,47,500,520,600,500,540,580,18,21,24,18,21,24,16,19,23
101453,5,5,1,5,1,5,1,1,5,5,1,5,4,3,1,0,0,4,3,1,,0,3,2,1,,0,3,2,1,,0,0,0,0,,0,0,0,2,67,,,,,,,,,,,,,,,
101480,1,3,1,3,3,3,5,1,3,3,3,3,12570,4480,8090,,0,9863,3505,6358,,0,1941,801,1140,,0,1911,788,1123,,0,30,13,17,,0,112,6,1025,53,480,560,600,460,540,600,16,20,23,15,20,24,16,17,22
101587,1,3,1,5,3,3,1,1,3,3,3,3,3131,984,2147,,0,2156,664,1492,,0,311,124,187,,0,300,119,181,,0,11,5,6,,0,11,4,185,60,430,450,470,450,480,510,17,19,21,16,18,20,16,18,20
101648,1,3,5,5,5,3,5,3,3,3,3,3,622,405,217,,0,390,268,122,,0,195,134,61,,0,195,134,61,,0,,,,,,0,0,,,,,,,,,,,,,,,,,
101693,1,3,5,3,3,3,5,1,3,3,3,3,1690,496,1194,,0,1421,411,1010,,0,272,107,165,,0,272,107,165,,0,0,0,0,,0,2,1,72,28,,,,,,,21,25,27,22,25,30,18,23,26
101709,1,3,1,3,3,3,3,1,3,3,3,3,6426,1910,4206,310,0,3845,1131,2653,61,0,544,220,320,4,0,540,218,318,4,0,4,2,2,0,0,,,,,,,,,,,,,,,,,,,
101879,1,3,1,3,3,3,3,1,3,3,3,3,4009,1428,2581,,0,3836,1364,2472,,0,1140,422,718,,0,1106,409,697,,0,34,13,21,,0,,,,,,,,,,,,,,,,,,,
101912,1,3,1,3,5,3,3,1,3,3,5,3,1446,567,879,,0,984,376,608,,0,378,180,198,,0,374,176,198,,0,4,4,0,,0,,,,,,,,,,,,,,,,,,,
102049,1,5,1,5,1,5,5,1,3,5,1,5,4337,1472,2865,0,0,3611,1163,2448,,0,974,289,685,,0,972,289,683,,0,2,0,2,,0,257,26,627,64,550,600,650,530,570,620,23,26,29,22,26,31,20,24,27
102094,1,3,1,3,3,3,1,1,3,3,3,3,12550,4599,7918,33,0,8203,2973,5215,15,0,1614,609,1005,0,0,1599,602,997,,0,15,7,8,,0,118,7,1395,86,510,550,600,493,545,600,20,22,26,20,22,26,17,20,25
102234,1,3,1,5,5,3,5,1,3,3,5,3,2050,762,1288,0,0,1489,569,920,,0,228,101,127,,0,224,100,124,,0,4,1,3,,0,7,3,115,52,550,580,620,560,580,610,19,21,24,20,23,28,18,22,26
102270,1,3,1,3,3,3,3,1,3,3,3,3,1791,588,1203,,0,1156,364,792,,0,149,63,86,,0,127,51,76,,0,22,12,10,,0,,,,,,,,,,,,,,,,,,,
102368,1,3,1,5,3,3,1,1,5,3,3,3,7035,2503,4532,,0,6672,2359,4313,,0,1683,638,1045,,0,1413,515,898,,0,270,123,147,,0,96,6,1008,60,490,540,590,460,505,560,17,20,24,16,21,25,16,18,23
102377,1,5,1,5,5,5,1,1,3,3,5,3,12043,3618,8425,,0,3575,1072,2503,,0,533,211,322,,0,533,211,322,,0,0,0,0,,0,40,8,455,85,495,570,620,475,530,595,18,21,24,17,20,24,16,18,22
102395,1,3,1,3,3,3,3,1,3,3,1,3,3,2,1,,0,3,2,1,,0,3,2,1,,0,1,0,1,,0,2,2,0,,0,,,,,,,,,,,,,,,,,,,
102553,5,3,1,3,3,3,3,1,5,3,3,3,4005,1672,2333,,0,2616,1079,1537,,0,1072,471,601,,0,705,330,375,,0,367,141,226,,0,,,,,,,,,,,,,,,,,,,
102632,1,3,1,5,3,5,3,1,3,5,3,3,466,159,307,0,0,292,111,181,,0,165,69,96,,0,111,51,60,,0,54,18,36,,0,,,,,,,,,,,,,,,,,,,
102669,1,3,1,3,3,3,3,1,3,3,3,3,434,129,305,,0,431,127,304,,0,30,8,22,,0,24,7,17,,0,6,1,5,,0,,,,,,,,,,,,,,,,,,,
104151,5,5,1,5,3,3,3,1,3,3,3,3,68789,34073,34632,0,84,61739,30036,31628,,75,15151,7693,7428,,30,14980,7606,7345,,29,171,87,83,,1,,,,,,,,,,,,,,,,,,,
104179,1,5,1,5,3,3,5,1,5,5,5,3,52091,23387,28704,,0,45194,19865,25329,,0,9027,3804,5223,,0,5918,2489,3429,,0,3109,1315,1794,,0,1710,19,2072,23,570,620,680,570,620,690,21,25,29,20,24,29,20,25,28
