UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
100654,1,2,387631,228498,106,26186,38684,1392,132581,415209,399869,815078,1879,196426,198305,1,2542,146,1,26,7,4,3,12,0,1162701,1,372120,35325,751351,126765,913441,17280,1098217,1115497,3563759,3191639
100663,1,2,901571,520306,573,21677,25253,27543,123641,950791,669773,1620564,27338,212934,240272,1,15394,4776,1,108.5,32,40,24.5,12,1,4053374,1,1143798,2240810,8159643,189585,10590038,14593,2724855,2739448,18526658,17382860
100690,1,2,53214,746,62,0,0,1220,0,54434,808,55242,39,35832,35871,1,0,436,1,1,1,0,0,0,0,52655,2,0,9813,79860,4044,93717,0,5038,5038,151410,151410
100706,1,2,205107,489643,251,14480,86133,852,107650,220439,683677,904116,2747,323020,325767,1,4489,2145,1,30.8,10.8,4,7.31,8.69,0,1298795,2,0,47819,1483326,30547,1561692,4516,132732,137248,2997735,2997735
100724,1,2,224634,110047,198,34696,2,1616,7113,260946,117360,378306,517,37456,37973,1,262,19,1,39,13,6,11,9,0,1256374,1,434503,45954,565249,0,611203,4623,254731,259354,2561434,2126931
100751,1,2,2181245,2781589,623,199221,227948,72442,247455,2452908,3257615,5710523,35730,349569,385299,1,9493,8233,1,163,56,21,47,39,6,7223031,2,0,1533185,11095746,684575,13313506,0,2537690,2537690,23074227,23074227
100760,1,2,26471,8656,2,472,0,0,0,26943,8658,35601,680,11,691,1,0,0,1,4,2,1,0,1,2,213333,1,50267,0,15594,3795,19389,0,4536,4536,287525,237258
100812,1,2,90400,604083,148,236,30006,81,75575,90717,709812,800529,1186,115942,117128,1,528,145,1,11,5,3,0,3,0,470659,1,161154,48368,216226,358,264952,0,13120,13120,909885,748731
100830,1,2,613706,716998,0,4253,167,959,64128,618918,781293,1400211,1897,1966,3863,1,621,1182,1,30,8,10,3,9,0,993545,1,292130,37560,395235,44887,477682,100,107026,107126,1870483,1578353
100858,1,2,1669761,1485650,358,609736,62732,66353,255636,2345850,1804376,4150226,45212,2254953,2300165,1,17673,6774,1,160.54,27,35,23.25,75.29000000000001,2,6239588,1,1479586,1066416,8449947,79742,9596105,19124,1918804,1937928,19253207,17773621
100937,1,2,247488,884131,175,31772,95000,16083,50000,295343,1029306,1324649,3880,547135,551015,1,595,726,1,12.7,6,0,4,2.7,0,473166,1,62315,51896,294109,0,346005,0,87425,87425,968911,906596
