UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW
100654,821,264,557,2,0,2,1,1,0,679,219,460,6,4,2,1,0,1,24,10,14,11,4,7,77,17,60,20,9,11
100663,6039,2109,3930,16,4,12,374,139,235,1158,322,836,213,73,140,0,0,0,3622,1274,2348,205,59,146,98,45,53,353,193,160
100690,217,83,134,1,0,1,1,0,1,119,27,92,4,1,3,0,0,0,86,52,34,0,0,0,6,3,3,0,0,0
100706,2222,1145,1077,24,9,15,95,49,46,181,68,113,87,44,43,2,2,0,1637,878,759,38,20,18,64,12,52,94,63,31
100724,652,216,436,0,0,0,5,3,2,552,173,379,10,3,7,1,0,1,54,21,33,9,4,5,11,5,6,10,7,3
100751,9315,3810,5505,26,8,18,107,40,67,854,261,593,445,174,271,9,3,6,7223,2982,4241,308,122,186,56,25,31,287,195,92
100760,238,89,149,1,0,1,1,0,1,40,13,27,6,1,5,0,0,0,184,73,111,4,1,3,1,1,0,1,0,1
100812,813,263,550,8,1,7,9,3,6,115,30,85,23,7,16,2,0,2,623,216,407,16,4,12,17,2,15,0,0,0
100830,1048,359,689,4,0,4,15,10,5,348,88,260,14,4,10,0,0,0,507,176,331,28,5,23,26,12,14,106,64,42
100858,7612,3736,3876,20,11,9,175,99,76,409,160,249,269,145,124,4,1,3,5815,2756,3059,153,74,79,23,11,12,744,479,265
100937,261,113,148,0,0,0,3,2,1,17,5,12,7,7,0,0,0,0,230,96,134,0,0,0,1,1,0,3,2,1
101028,420,127,293,2,2,0,5,1,4,156,46,110,31,9,22,0,0,0,205,64,141,17,4,13,4,1,3,0,0,0
101116,107,23,84,0,0,0,2,2,0,61,12,49,0,0,0,0,0,0,43,9,34,0,0,0,1,0,1,0,0,0
101143,203,86,117,1,0,1,0,0,0,31,12,19,13,5,8,0,0,0,146,64,82,8,3,5,4,2,2,0,0,0
101161,1272,542,730,33,15,18,17,10,7,217,72,145,40,21,19,1,0,1,910,398,512,45,21,24,9,5,4,0,0,0
101189,878,308,570,5,3,2,3,3,0,379,91,288,24,13,11,3,3,0,422,180,242,11,3,8,20,4,16,11,8,3
101240,876,342,534,5,1,4,6,2,4,125,48,77,38,15,23,0,0,0,642,256,386,32,9,23,14,6,8,14,5,9
101277,50,0,50,0,0,0,0,0,0,1,0,1,8,0,8,0,0,0,41,0,41,0,0,0,0,0,0,0,0,0
101286,862,267,595,4,1,3,10,2,8,228,42,186,30,11,19,3,0,3,569,204,365,11,2,9,6,5,1,1,0,1
101295,1494,495,999,10,5,5,16,5,11,63,21,42,89,35,54,3,1,2,1271,414,857,17,3,14,17,7,10,8,4,4
101301,317,107,210,0,0,0,2,1,1,265,91,174,2,0,2,0,0,0,44,15,29,2,0,2,2,0,2,0,0,0
101365,280,78,202,1,0,1,4,3,1,160,14,146,4,2,2,2,1,1,103,54,49,2,1,1,4,3,1,0,0,0
101435,244,103,141,2,0,2,2,2,0,38,19,19,12,6,6,0,0,0,176,70,106,10,5,5,4,1,3,0,0,0
101453,13,12,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0
101462,133,46,87,1,1,0,1,0,1,69,19,50,7,3,4,0,0,0,41,19,22,8,2,6,1,0,1,5,2,3
101471,196,150,46,1,1,0,0,0,0,119,106,13,2,2,0,0,0,0,74,41,33,0,0,0,0,0,0,0,0,0
101480,2014,689,1325,8,5,3,14,5,9,336,108,228,0,0,0,1,0,1,1475,503,972,0,0,0,123,42,81,57,26,31
101505,1046,334,712,2,1,1,18,6,12,213,52,161,50,16,34,0,0,0,700,234,466,32,12,20,8,4,4,23,9,14
101514,1918,890,1028,31,16,15,62,28,34,224,96,128,116,47,69,1,1,0,1323,635,688,99,38,61,44,18,26,18,11,7
101569,566,261,305,4,2,2,4,2,2,424,162,262,26,15,11,0,0,0,92,73,19,9,3,6,6,4,2,1,0,1
101587,1769,406,1363,21,3,18,3,1,2,517,125,392,22,5,17,1,0,1,999,228,771,35,6,29,146,23,123,25,15,10
101602,469,203,266,0,0,0,2,0,2,91,22,69,12,3,9,0,0,0,329,156,173,15,7,8,20,15,5,0,0,0
101648,86,54,32,1,1,0,2,2,0,14,8,6,2,1,1,1,1,0,61,36,25,5,5,0,0,0,0,0,0,0
101675,204,80,124,0,0,0,0,0,0,184,66,118,3,1,2,0,0,0,12,10,2,4,2,2,1,1,0,0,0,0
101693,326,98,228,4,0,4,8,4,4,56,11,45,5,1,4,0,0,0,190,68,122,8,1,7,44,8,36,11,5,6
101709,559,163,396,4,1,3,5,3,2,82,22,60,22,8,14,1,1,0,383,100,283,24,10,14,15,1,14,23,17,6
101736,1454,623,831,16,6,10,8,3,5,126,44,82,83,39,44,0,0,0,1154,495,659,16,5,11,37,22,15,14,9,5
101879,1853,683,1170,10,4,6,33,13,20,233,88,145,57,14,43,0,0,0,1365,494,871,50,21,29,15,8,7,90,41,49
101897,920,374,546,22,11,11,9,2,7,21,7,14,121,35,86,0,0,0,734,313,421,13,6,7,0,0,0,0,0,0
101912,280,104,176,1,0,1,2,0,2,210,81,129,19,9,10,0,0,0,7,1,6,11,1,10,7,2,5,23,10,13
101994,135,33,102,3,0,3,0,0,0,81,9,72,1,1,0,0,0,0,49,23,26,1,0,1,0,0,0,0,0,0
102030,539,204,335,5,1,4,8,5,3,362,134,228,8,3,5,0,0,0,131,51,80,8,4,4,7,2,5,10,4,6
102049,1629,539,1090,5,0,5,33,9,24,146,52,94,50,20,30,1,0,1,1301,426,875,37,13,24,34,8,26,22,11,11
102067,645,284,361,3,1,2,6,3,3,179,60,119,7,2,5,0,0,0,410,202,208,14,5,9,24,11,13,2,0,2
102076,434,149,285,8,1,7,4,2,2,35,10,25,84,22,62,0,0,0,282,105,177,3,1,2,17,8,9,1,0,1
102094,3657,1026,2631,33,12,21,96,31,65,667,139,528,123,31,92,3,0,3,2440,686,1754,99,35,64,87,30,57,109,62,47
102234,294,118,176,0,0,0,4,2,2,32,9,23,11,3,8,2,1,1,208,84,124,6,1,5,12,5,7,19,13,6
102270,121,43,78,0,0,0,0,0,0,111,38,73,0,0,0,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0
102298,147,56,91,0,0,0,0,0,0,133,48,85,1,1,0,1,0,1,2,0,2,3,1,2,0,0,0,7,6,1
102313,252,104,148,1,0,1,3,1,2,149,52,97,11,2,9,0,0,0,83,47,36,1,1,0,4,1,3,0,0,0
102368,3865,1382,2483,14,6,8,40,18,22,1038,257,781,147,65,82,2,0,2,1913,742,1171,119,45,74,434,166,268,158,83,75
102377,654,222,432,3,2,1,9,8,1,539,164,375,12,3,9,1,0,1,12,4,8,10,5,5,68,36,32,0,0,0
102395,63,42,21,1,1,0,3,2,1,5,2,3,4,1,3,0,0,0,43,32,11,2,1,1,4,3,1,1,0,1
102429,1020,502,518,1,1,0,6,1,5,258,142,116,16,11,5,0,0,0,715,334,381,18,12,6,6,1,5,0,0,0
102553,2005,801,1204,66,20,46,138,49,89,53,19,34,164,59,105,35,11,24,1165,477,688,234,98,136,113,52,61,37,16,21
