UNITID,AWLEVELC,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSASIAT,CSBKAAT,CSHISPT,CSNHPIT,CSWHITT,CS2MORT,CSUNKNT,CSNRALT,CSUND18,CS18_24,CS25_39,CSABV40,CSUNKN
100663,2,71,34,37,1,3,10,1,0,52,2,0,2,0,39,21,11,0
100760,2,70,13,57,0,0,4,2,0,63,0,0,1,0,35,31,4,0
101028,2,70,12,58,0,3,22,4,0,38,2,1,0,0,16,48,6,0
101143,2,3,0,3,0,0,0,0,0,2,1,0,0,0,0,1,2,0
101161,2,245,83,162,4,11,35,9,0,176,9,1,0,0,121,107,17,0
101240,2,180,88,92,0,0,12,7,0,148,8,4,1,0,92,70,18,0
101277,2,47,0,47,0,0,1,8,0,38,0,0,0,0,25,18,4,0
101286,2,162,22,140,1,2,67,4,1,85,2,0,0,0,65,75,22,0
101295,2,363,93,270,2,5,14,25,1,307,4,3,2,0,226,107,30,0
101301,2,126,58,68,0,0,112,0,0,14,0,0,0,3,84,30,9,0
101365,2,109,36,73,0,1,59,2,1,45,0,1,0,0,16,75,18,0
101462,2,37,11,26,0,0,20,1,0,13,0,0,3,0,10,16,11,0
101471,2,18,15,3,0,0,10,1,0,7,0,0,0,0,1,8,9,0
101505,2,244,115,129,0,5,58,10,0,156,6,5,4,0,104,107,33,0
101514,2,165,21,144,2,4,23,8,0,109,12,3,4,0,54,92,18,1
101569,2,105,52,53,0,0,74,7,0,22,1,1,0,0,52,35,18,0
101602,2,59,16,43,0,0,8,4,0,46,1,0,0,0,36,17,6,0
101736,2,155,63,92,4,0,18,8,0,119,2,4,0,0,110,39,6,0
101897,2,126,43,83,2,1,2,18,0,101,2,0,0,0,72,42,12,0
101994,2,101,10,91,3,0,70,0,0,27,1,0,0,0,27,61,13,0
102030,2,131,37,94,0,3,85,1,0,39,1,1,1,0,43,72,16,0
102067,2,107,22,85,1,1,29,0,0,72,1,3,0,0,64,38,5,0
102076,2,43,19,24,0,0,6,8,0,26,0,3,0,0,25,12,6,0
102094,2,19,9,10,0,0,5,2,0,12,0,0,0,0,10,9,0,0
102313,2,47,12,35,0,2,32,0,0,11,0,2,0,0,13,26,8,0
102429,2,173,55,118,0,2,32,1,0,132,6,0,0,0,96,66,11,0
102553,2,59,46,13,0,5,1,4,3,36,6,3,1,0,24,27,8,0
102614,2,157,53,104,29,3,6,10,1,85,14,8,1,0,48,71,38,0
102632,2,38,7,31,1,4,0,3,0,27,1,1,1,0,10,13,15,0
102711,2,71,53,18,10,1,1,3,0,44,9,3,0,0,51,17,3,0
102845,2,1060,234,826,70,18,39,248,42,354,157,132,0,0,444,476,140,0
103501,2,157,17,140,28,25,12,13,4,54,17,4,0,0,72,72,13,0
103741,2,49,2,47,2,0,2,29,0,12,1,3,0,1,28,16,4,0
103893,2,323,38,285,11,3,23,182,0,80,10,9,5,0,193,114,16,0
103909,2,170,21,149,27,2,6,73,1,40,17,3,1,0,93,70,7,0
103927,2,141,17,124,1,1,8,92,0,37,1,0,1,0,74,48,19,0
103954,2,8,0,8,0,0,1,4,0,3,0,0,0,0,4,4,0,0
103963,2,223,203,20,23,0,15,84,2,82,12,5,0,0,78,122,23,0
104090,2,32,3,29,0,1,4,18,0,5,0,4,0,0,30,1,1,0
104151,2,41,16,25,0,2,3,8,0,24,3,0,1,0,25,14,2,0
104160,2,605,195,410,3,13,9,446,2,86,12,12,22,10,414,154,27,0
104346,2,408,125,283,27,9,18,128,2,169,15,27,13,0,233,134,41,0
104391,2,16,0,16,0,1,0,6,0,8,0,1,0,0,5,6,5,0
