UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW,CSGUUGUN,CSGUUGAG,CSGUUGTT,CSGUGUN,CSGUGAG,CSGUGTOT,CSGUTOTUN,CSGUTOTAG,CSGUTOT,CSGUKN
100654,769,276,493,3,3,0,4,1,3,611,224,387,9,5,4,0,0,0,19,9,10,5,1,4,101,23,78,17,10,7,1,,1,1,,1,2,,2,767
100663,6035,2051,3984,11,3,8,391,163,228,1132,317,815,203,73,130,2,0,2,3679,1227,2452,194,62,132,120,39,81,303,167,136,0,,0,0,,0,0,,0,6035
100690,201,69,132,2,1,1,2,1,1,118,19,99,6,4,2,0,0,0,69,42,27,0,0,0,4,2,2,0,0,0,0,,0,0,,0,0,,0,201
100706,2248,1175,1073,10,3,7,85,47,38,197,62,135,87,42,45,3,2,1,1607,884,723,49,26,23,116,54,62,94,55,39,0,,0,0,,0,0,,0,2248
100724,625,202,423,1,0,1,2,1,1,540,169,371,10,6,4,0,0,0,48,17,31,4,2,2,6,1,5,14,6,8,0,,0,0,,0,0,,0,625
100751,9105,3686,5419,30,10,20,125,48,77,873,243,630,422,129,293,9,7,2,6979,2876,4103,280,101,179,64,35,29,323,237,86,0,,0,0,,0,0,,0,9105
100760,352,134,218,1,0,1,1,0,1,60,12,48,10,3,7,0,0,0,271,115,156,5,4,1,2,0,2,2,0,2,0,,0,0,,0,0,,0,352
100812,834,256,578,11,3,8,2,0,2,112,30,82,27,10,17,0,0,0,642,202,440,21,3,18,19,8,11,0,0,0,0,,0,0,,0,0,,0,834
100830,998,344,654,4,3,1,21,7,14,383,91,292,13,6,7,1,0,1,444,167,277,22,6,16,24,6,18,86,58,28,0,,0,0,,0,0,,0,998
100858,7693,3734,3959,23,11,12,183,88,95,414,184,230,279,130,149,3,1,2,5852,2735,3117,184,86,98,24,13,11,731,486,245,0,,0,0,,0,0,,0,7693
100937,263,107,156,2,1,1,6,2,4,39,14,25,6,3,3,0,0,0,203,83,120,5,2,3,0,0,0,2,2,0,0,,0,0,,0,0,,0,263
101028,443,156,287,1,1,0,8,4,4,155,46,109,15,3,12,0,0,0,207,78,129,42,17,25,15,7,8,0,0,0,0,,0,0,,0,0,,0,443
101116,93,21,72,0,0,0,1,0,1,60,10,50,2,0,2,0,0,0,30,11,19,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,93
101143,362,195,167,2,1,1,2,2,0,71,31,40,26,12,14,0,0,0,237,134,103,14,10,4,9,5,4,1,0,1,0,,0,0,,0,0,,0,362
101161,1302,553,749,21,8,13,13,4,9,278,111,167,47,16,31,0,0,0,848,364,484,54,23,31,39,27,12,2,0,2,0,,0,0,,0,0,,0,1302
101189,849,329,520,5,3,2,12,6,6,350,95,255,19,11,8,2,1,1,421,192,229,12,5,7,28,16,12,0,0,0,0,,0,0,,0,0,,0,849
101240,931,399,532,3,1,2,5,2,3,170,68,102,55,23,32,1,0,1,643,281,362,22,7,15,20,10,10,12,7,5,0,,0,0,,0,0,,0,931
101277,44,1,43,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,38,1,37,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,44
101286,793,240,553,3,2,1,8,0,8,228,49,179,34,12,22,0,0,0,479,163,316,23,4,19,17,10,7,1,0,1,1,,1,0,,0,1,,1,792
101295,1580,597,983,12,4,8,13,9,4,96,33,63,101,40,61,0,0,0,1310,499,811,31,5,26,6,1,5,11,6,5,0,,0,0,,0,0,,0,1580
101301,255,97,158,0,0,0,0,0,0,213,72,141,0,0,0,0,0,0,39,23,16,1,1,0,1,1,0,1,0,1,0,,0,0,,0,0,,0,255
101365,245,82,163,1,0,1,1,1,0,124,22,102,9,3,6,0,0,0,103,52,51,4,2,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,245
101435,204,94,110,2,1,1,3,1,2,49,20,29,10,3,7,0,0,0,127,65,62,8,1,7,5,3,2,0,0,0,0,,0,0,,0,0,,0,204
101453,23,23,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
101462,110,29,81,2,0,2,0,0,0,77,19,58,2,1,1,0,0,0,20,6,14,4,1,3,1,1,0,4,1,3,0,,0,0,,0,0,,0,110
101471,397,314,83,0,0,0,0,0,0,227,201,26,5,2,3,1,1,0,163,109,54,0,0,0,0,0,0,1,1,0,0,,0,0,,0,0,,0,397
101480,2013,679,1334,11,2,9,9,3,6,352,116,236,0,0,0,2,1,1,1448,485,963,0,0,0,140,49,91,51,23,28,0,,0,0,,0,0,,0,2013
101505,1291,471,820,4,2,2,25,10,15,228,66,162,79,16,63,0,0,0,873,339,534,32,15,17,21,8,13,29,15,14,0,0,0,0,,0,0,0,0,1291
101514,2185,1050,1135,30,15,15,74,41,33,245,94,151,131,67,64,1,0,1,1504,749,755,124,54,70,60,23,37,16,7,9,0,,0,0,,0,0,,0,2185
101569,490,224,266,1,0,1,5,3,2,353,135,218,20,13,7,0,0,0,89,62,27,13,8,5,6,2,4,3,1,2,0,0,0,0,,0,0,0,0,490
101587,1846,412,1434,19,3,16,6,4,2,512,107,405,22,4,18,1,1,0,1041,230,811,31,7,24,187,48,139,27,8,19,0,,0,0,,0,0,,0,1846
101602,493,218,275,3,2,1,2,0,2,92,28,64,5,2,3,0,0,0,364,173,191,26,12,14,0,0,0,1,1,0,0,,0,0,,0,0,,0,493
101648,88,57,31,1,1,0,3,1,2,26,18,8,5,4,1,0,0,0,51,32,19,2,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,88
