UNITID,LPBOOKSP,LPMEDIAP,LPSERIAP,LEBOOKSP,LEDATABP,LEMEDIAP,LESERIAP,LSALWAGP,LFRNGBNP,LEXMSBBP,LEXMSCSP,LEXMSOTP,LEXOMTLP,LEXPTOTF,LTOTLFTE,LLIBRFTE,LPROFFTE,LPAIDFTE,LSTUDFTE
100654,48,3,0,28,0,5,16,33,10,1,21,4,31,721,26.00,7.00,4.00,3.00,12.00
100663,56,1,2,32,0,2,8,22,6,12,44,1,15,896,108.50,32.00,40.00,24.50,12.00
100690,96,0,2,1,0,0,0,35,0,6,53,3,3,356,1.00,1.00,0.00,0.00,0.00
100706,23,2,0,54,0,10,12,43,0,2,49,1,5,366,30.80,10.80,4.00,7.31,8.69
100724,59,9,0,29,0,0,2,49,17,2,22,0,10,660,39.00,13.00,6.00,11.00,9.00
100751,38,3,1,49,0,4,4,31,0,7,48,3,11,660,163.00,56.00,21.00,47.00,39.00
100760,74,1,0,24,0,0,0,74,17,0,5,1,2,292,4.00,2.00,1.00,0.00,1.00
100812,11,0,0,75,0,4,9,52,18,5,24,0,1,416,11.00,5.00,3.00,0.00,3.00
100830,44,0,0,51,0,0,5,53,16,2,21,2,6,397,30.00,8.00,10.00,3.00,9.00
100858,40,15,2,36,0,2,6,32,8,6,44,0,10,651,160.54,27.00,35.00,23.25,75.29
100937,19,2,1,67,0,7,4,49,6,5,30,0,9,885,12.70,6.00,0.00,4.00,2.70
101028,38,1,0,33,0,0,29,69,25,3,0,3,0,211,3.00,1.00,2.00,0.00,0.00
101116,1,0,0,71,0,10,18,,,,,,,,1.00,1.00,0.00,0.00,0.00
101143,41,0,0,59,0,0,0,,,,,,,,4.48,0.00,2.00,0.48,2.00
101161,31,2,0,67,0,0,0,62,22,5,4,5,2,181,16.50,3.00,7.13,2.37,4.00
101189,16,0,0,67,0,0,17,52,0,0,39,4,5,180,13.00,4.00,1.00,2.00,6.00
101240,27,2,0,33,0,0,38,62,19,1,3,1,14,146,12.00,3.00,3.00,4.00,2.00
101286,90,8,0,2,0,0,0,68,19,6,6,1,0,140,8.18,2.71,0.00,0.47,5.00
