UNITID,ASCDEG,BASDEG,MASDEG,DOCDEGRS,DOCDEGPP,DOCDEGOT,CERT1,CERT2,CERT4,PBACERT,PMACERT,SASCDEG,SBASDEG,SMASDEG,SDOCDEG,SCERT1A,SCERT1B,SCERT24,SBAMACRT,CERT1A,CERT1B
100654,0,562,251,7,0,0,0,0,0,0,1,0,562,251,7,0,0,0,1,0,0
100663,0,2898,2433,149,460,0,0,71,0,224,21,0,2870,2419,609,0,0,71,228,0,0
100690,47,51,107,12,0,0,0,0,0,0,0,47,51,107,12,0,0,0,0,0,0
100706,0,1635,516,40,37,0,13,0,0,35,8,0,1604,516,77,0,13,0,42,0,13
100724,0,509,105,14,24,0,0,0,0,0,0,0,509,105,38,0,0,0,0,0,0
100751,0,7363,1859,203,161,0,0,0,0,0,26,0,7278,1840,364,0,0,0,26,0,0
100760,188,,,,,,90,72,0,,,188,,,,0,56,70,,0,90
100812,0,719,78,0,0,0,29,0,0,0,0,0,719,78,0,0,29,0,0,0,29
100830,0,718,277,0,3,0,7,0,0,18,39,0,718,277,3,0,7,0,56,0,7
100858,0,5730,1295,251,281,0,4,0,0,324,36,0,5641,1259,531,0,4,0,353,0,4
100937,0,261,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0
101028,232,,,,,,313,70,0,,,232,,,,0,308,70,,0,313
101116,39,42,25,0,1,0,0,0,0,0,0,39,42,25,1,0,0,0,0,0,0
101143,214,,,,,,9,3,0,,,196,,,,0,8,3,,0,9
101161,848,,,,,,384,253,0,,,827,,,,8,295,245,,8,376
101189,13,378,433,0,54,0,0,0,0,0,0,13,378,433,54,0,0,0,0,0,0
101240,645,,,,,,269,204,0,,,633,,,,0,176,180,,0,269
101277,0,,,,,,3,47,0,,,0,,,,0,3,47,,0,3
101286,476,,,,,,432,162,0,,,475,,,,0,390,162,,0,432
101295,978,,,,,,981,363,0,,,975,,,,0,706,363,,0,981
101301,272,,,,,,11,146,0,,,202,,,,0,10,126,,0,11
101365,118,10,7,0,0,0,44,109,0,0,2,118,10,7,0,0,44,109,2,0,44
101435,0,244,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0
101453,0,11,2,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0
101462,75,,,,,,154,37,0,,,75,,,,0,83,37,,0,154
101471,0,,,,,,249,18,0,,,0,,,,0,187,18,,0,249
101480,0,1463,456,0,13,0,0,0,0,2,81,0,1463,456,13,0,0,0,83,0,0
101505,975,,,,,,300,251,0,,,969,,,,0,268,244,,0,300
101514,1373,,,,,,1311,166,0,,,1368,,,,0,987,165,,0,1311
101569,369,,,,,,147,106,0,,,366,,,,0,138,105,,0,147
101587,35,350,1181,17,0,0,0,0,0,0,186,35,350,1181,17,0,0,0,186,0,0
101602,295,,,,,,169,59,0,,,294,,,,0,159,59,,0,169
101648,86,,,,,,0,0,0,,,86,,,,0,0,0,,0,0
101675,0,204,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0
101693,6,234,85,7,0,0,0,0,0,0,0,6,228,85,7,0,0,0,0,0,0
101709,0,432,109,0,0,0,0,0,0,0,18,0,432,109,0,0,0,0,18,0,0
101736,485,,,,,,1374,155,0,,,477,,,,8,1139,155,,8,1366
101879,0,1262,561,0,0,0,1,0,0,43,35,0,1257,561,0,0,1,0,78,0,1
101897,464,,,,,,626,138,0,,,429,,,,0,554,126,,0,626
101912,3,261,12,0,0,0,0,0,0,13,0,3,253,12,0,0,0,0,13,0,0
101994,28,,,,,,6,101,0,,,28,,,,0,6,101,,0,6
102030,353,,,,,,134,131,0,,,352,,,,0,134,131,,0,134
102049,0,923,264,46,423,0,0,0,0,8,9,0,921,264,469,0,0,0,17,0,0
102067,537,,,,,,127,107,0,,,529,,,,0,118,107,,0,127
102076,411,,,,,,105,57,0,,,408,,,,0,70,43,,0,105
102094,0,1954,1230,39,252,0,82,19,0,0,165,0,1944,1228,291,28,54,19,162,28,54
102234,0,239,42,0,0,0,3,0,0,24,0,0,239,42,0,0,3,0,22,0,3
102270,0,122,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0
102298,0,143,4,0,0,0,0,0,0,0,0,0,143,4,0,0,0,0,0,0,0
102313,171,,,,,,52,47,0,,,171,,,,0,38,47,,0,52
102368,338,2326,1137,8,24,0,4,0,0,12,37,338,2326,1137,32,0,4,0,49,0,4
102377,0,530,76,6,59,0,0,0,0,0,0,0,513,76,65,0,0,0,0,0,0
102395,0,20,34,0,0,15,0,0,0,0,0,0,20,28,15,0,0,0,0,0,0
102429,528,,,,,,495,173,0,,,526,,,,175,218,173,,179,316
102553,670,1044,190,6,3,0,57,69,0,40,0,665,1039,190,9,0,57,59,40,0,57
102580,1,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
102614,258,568,195,39,0,0,69,167,0,39,0,254,558,195,39,0,64,157,39,0,69
102632,77,144,122,0,0,0,165,43,0,31,0,77,144,122,0,0,164,38,31,0,165
102669,5,52,57,0,1,0,0,0,0,19,0,5,52,54,1,0,0,0,19,0,0
102711,0,,,,,,19,71,0,,,0,,,,0,19,71,,0,19
102845,257,36,0,0,0,0,0,1060,0,0,0,257,36,0,0,0,0,1060,0,0,0
103501,29,,,,,,51,157,0,,,29,,,,0,51,157,,0,51
103741,0,,,,,,15,49,0,,,0,,,,0,15,49,,0,15
103893,154,,,,,,0,323,0,,,154,,,,0,0,323,,0,0
103909,129,,,,,,0,170,0,,,129,,,,0,0,170,,0,0
103927,37,,,,,,0,141,0,,,37,,,,0,0,141,,0,0
103954,0,,,,,,20,8,0,,,0,,,,0,20,8,,0,20
103963,0,,,,,,0,223,0,,,0,,,,0,0,223,,0,0
104090,97,212,14,0,0,0,297,32,0,0,0,94,212,14,0,0,297,32,0,0,297
104151,0,14794,3926,614,283,0,1271,41,0,172,20,0,13952,3914,897,0,1177,41,185,0,1271
104160,893,,,,,,100,644,0,,,776,,,,23,68,605,,23,77
104179,0,7543,2256,486,524,0,183,0,0,232,10,0,7345,2227,1008,0,182,0,241,0,183
104346,587,,,,,,166,411,0,,,583,,,,8,142,408,,8,158
104391,0,,,,,,0,16,0,,,0,,,,0,0,16,,0,0
104425,1521,,,,,,156,275,0,,,1505,,,,70,84,273,,70,86
104443,0,,,,,,3,24,0,,,0,,,,0,3,24,,0,3
104568,0,,,,,,153,60,0,,,0,,,,0,153,60,,0,153
104577,440,,,,,,214,80,0,,,427,,,,1,213,79,,1,213
104586,0,612,14,0,0,0,0,0,0,0,0,0,607,14,0,0,0,0,0,0,0
104665,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
104708,1720,,,,,,632,1315,0,,,1518,,,,121,405,1233,,149,483
104717,0,13492,14378,829,0,0,14,0,0,205,221,0,13491,14206,829,0,14,0,423,0,14
105145,588,,,,,,475,226,24,,,577,,,,102,348,246,,109,366
105154,1592,,,,,,422,1070,0,,,1463,,,,118,228,1024,,140,282
105206,414,,,,,,289,216,0,,,396,,,,0,218,208,,0,289
105215,0,,,,,,0,453,36,,,0,,,,0,0,489,,0,0
105297,89,39,0,0,0,0,11,0,0,0,0,85,39,0,0,0,11,0,0,0,11
105330,0,6198,1328,77,143,0,525,33,0,138,7,0,6070,1324,220,0,497,33,144,0,525
105349,160,,,,,,268,136,0,,,150,,,,0,201,115,,0,268
105367,0,136,168,0,17,0,0,0,0,0,0,0,136,168,17,0,0,0,0,0,0
105428,951,,,,,,348,644,0,,,898,,,,42,211,627,,43,305
105525,1617,,,,,,800,1291,0,,,1603,,,,15,722,1286,,15,785
105534,436,279,0,0,0,0,172,340,0,0,0,436,279,0,0,0,172,340,0,0,172
105543,96,,,,,,102,295,0,,,96,,,,0,102,295,,0,102
105589,0,126,176,5,0,0,0,0,0,9,11,0,125,176,5,0,0,0,20,0,0
105659,42,,,,,,361,292,0,,,42,,,,0,353,285,,0,361
105668,795,,,,,,2411,955,0,,,695,,,,206,2182,939,,206,2205
105677,0,,,,,,38,0,0,,,0,,,,0,38,0,,0,38
105747,811,,,,,,170,369,0,,,769,,,,44,105,351,,44,126
105792,399,,,,,,147,333,0,,,322,,,,9,93,309,,10,137
105899,2,126,0,0,0,0,1,3,0,0,0,2,126,0,0,0,1,3,0,0,1
106041,630,,,,,,0,235,0,,,622,,,,0,0,235,,0,0
106111,0,,,,,,5,15,0,,,0,,,,0,5,15,,0,5
106148,699,,,,,,702,549,0,,,693,,,,176,466,536,,177,525
106245,320,1365,416,50,131,0,27,2,0,76,4,318,1305,415,181,0,26,2,80,0,27
106263,0,312,225,31,348,0,0,0,0,34,0,0,312,225,379,0,0,0,34,0,0
106306,12,14,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0
106315,0,,,,,,62,11,0,,,0,,,,0,62,11,,0,62
106324,0,,,,,,3,8,0,,,0,,,,0,3,8,,0,3
106342,0,144,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0
106351,0,,,,,,1,14,0,,,0,,,,0,1,14,,0,1
106360,0,,,,,,0,14,0,,,0,,,,0,0,14,,0,0
106397,0,5291,1231,208,130,0,8,0,0,348,9,0,5192,1230,338,0,8,0,324,0,8
106412,4,364,34,0,0,0,0,0,0,0,0,4,364,34,0,0,0,0,0,0,0
106449,712,,,,,,222,409,0,,,511,,,,23,174,384,,23,199
106458,629,1785,1850,19,69,0,117,0,0,95,615,626,1759,1850,88,0,107,0,710,0,117
106467,1008,1276,261,10,0,0,744,353,2,14,7,973,1195,261,10,66,620,337,21,66,678
106485,284,353,155,0,0,0,210,133,30,0,0,264,340,155,0,75,135,163,0,75,135
106494,0,,,,,,1,13,0,,,0,,,,0,1,13,,0,1
106546,179,,,,,,0,118,38,,,179,,,,0,0,156,,0,0
106625,389,,,,,,359,247,0,,,273,,,,86,271,219,,86,273
