unitid,ASCDEG,BASDEG,MASDEG,CERT1,CERT1a,CERT1b,CERT2,CERT4,PBACERT,PMACERT,DocDegRS,DocDegPP,DocDegOT,SDOCDEG,SMASDEG,SBASDEG,SASCDEG,SBAMACRT,SCERT24,SCERT1a,SCERT1b
100654,0,511,249,0,0,0,0,0,0,0,9,0,0,9,249,511,0,0,0,0,0
100663,0,2785,2512,25,0,25,55,0,245,26,166,504,0,670,2495,2751,0,255,55,0,25
100690,38,54,96,0,0,0,0,0,0,0,20,0,0,20,96,54,38,0,0,0,0
100706,0,1624,570,21,0,21,0,0,29,6,41,19,0,60,570,1599,0,35,0,0,21
100724,0,480,119,0,0,0,0,0,0,2,2,22,0,24,119,480,0,2,0,0,0
100751,0,6740,2180,0,0,0,0,6,19,92,215,181,0,396,2164,6654,0,110,6,0,0
100760,221,,,280,0,280,59,0,,,,,,,,,221,,59,0,180
100812,0,738,80,22,0,22,0,0,1,0,0,0,0,0,80,738,0,1,0,0,22
100830,0,672,300,6,0,6,0,0,7,24,0,1,0,1,300,672,0,31,0,0,6
100858,0,5653,1415,8,0,8,0,0,336,39,284,271,0,555,1376,5568,0,367,0,0,8
100937,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0
101028,227,,,356,0,356,63,0,,,,,,,,,223,,62,0,324
101116,44,31,17,0,0,0,0,0,0,0,0,1,0,1,17,31,44,0,0,0,0
101143,233,,,62,0,62,152,0,,,,,,,,,214,,102,0,57
101161,849,,,422,0,422,244,0,,,,,,,,,830,,232,0,325
101189,10,448,347,0,0,0,0,0,0,0,0,44,0,44,347,448,10,0,0,0,0
101240,691,,,482,0,482,349,0,,,,,,,,,666,,308,0,326
101277,0,,,0,0,0,44,0,,,,,,,,,0,,44,0,0
101286,458,,,395,0,395,165,0,,,,,,,,,456,,165,0,358
101295,911,,,1253,0,1253,337,0,,,,,,,,,908,,334,0,923
101301,229,,,18,0,18,82,0,,,,,,,,,187,,78,0,18
101365,90,16,2,30,0,30,107,0,0,0,0,0,0,0,2,16,90,0,107,0,30
101435,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0
101453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0
101462,75,,,62,0,62,30,0,,,,,,,,,75,,28,0,38
101471,0,,,557,0,557,74,0,,,,,,,,,0,,72,0,376
101480,0,1415,492,0,0,0,0,0,8,57,7,36,0,43,492,1415,0,65,0,0,0
101505,1217,,,241,0,241,194,0,,,,,,,,,1216,,187,0,214
101514,1358,,,1737,0,1737,173,0,,,,,,,,,1350,,173,0,1391
101569,303,,,165,0,165,141,0,,,,,,,,,303,,140,0,161
101587,41,397,1214,0,0,0,0,0,0,183,14,0,0,14,1214,397,41,183,0,0,0
101602,301,,,180,0,180,60,0,,,,,,,,,298,,60,0,171
101648,88,,,0,0,0,0,0,,,,,,,,,88,,0,0,0
101675,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0
101693,3,210,96,0,0,0,0,0,0,0,5,0,0,5,96,210,3,0,0,0,0
101709,0,414,126,0,0,0,0,0,0,14,0,0,0,0,126,414,0,14,0,0,0
101736,397,,,850,1,849,196,0,,,,,,,,,393,,196,1,678
101879,0,1116,796,9,0,9,0,0,31,45,0,0,0,0,796,1111,0,76,0,0,6
101897,446,,,609,0,609,72,0,,,,,,,,,414,,52,0,521
101912,0,226,21,0,0,0,0,0,0,0,0,0,0,0,20,226,0,0,0,0,0
101994,29,,,26,0,26,64,0,,,,,,,,,29,,64,0,26
102030,292,,,244,0,244,115,0,,,,,,,,,291,,115,0,244
102049,0,838,342,0,0,0,0,0,19,12,25,403,0,427,342,835,0,31,0,0,0
102058,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0
102067,572,,,145,0,145,136,0,,,,,,,,,565,,135,0,129
102076,395,,,214,0,214,31,0,,,,,,,,,394,,27,0,173
102094,0,1868,1197,64,28,36,19,0,24,160,44,273,0,317,1196,1859,0,180,19,28,30
102234,0,209,54,9,0,9,0,0,21,0,0,0,0,0,54,209,0,21,0,0,9
102270,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
102298,0,153,8,0,0,0,0,0,0,0,0,0,0,0,8,153,0,0,0,0,0
102313,208,,,53,0,53,28,0,,,,,,,,,208,,28,0,40
102368,268,2273,1204,0,0,0,0,0,22,52,3,23,0,26,1204,2273,268,74,0,0,0
102377,0,402,67,0,0,0,0,0,0,0,7,47,0,54,67,402,0,0,0,0,0
102395,0,11,25,0,0,0,0,0,0,0,0,0,16,16,25,11,0,0,0,0,0
102429,436,,,570,0,570,194,0,,,,,,,,,434,,194,0,454
102553,581,893,172,159,0,159,42,0,44,0,3,1,0,4,172,892,579,44,37,0,152
102580,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0
102614,226,493,182,75,0,75,152,0,49,0,32,0,0,32,182,487,224,49,149,0,74
102632,81,104,76,111,0,111,50,0,41,0,0,0,0,0,76,104,81,41,48,0,107
102669,24,63,41,2,0,2,1,0,2,0,0,1,0,1,33,61,23,2,1,0,1
102711,0,,,26,0,26,66,0,,,,,,,,,0,,66,0,26
102845,214,42,0,36,36,0,1013,0,0,0,0,0,0,0,0,42,213,0,1013,36,0
103501,35,,,53,0,53,127,0,,,,,,,,,35,,127,0,53
103741,0,,,43,0,43,48,0,,,,,,,,,0,,48,0,43
103893,229,,,0,0,0,575,0,,,,,,,,,229,,575,0,0
103909,119,,,0,0,0,237,0,,,,,,,,,119,,237,0,0
103927,39,,,0,0,0,293,0,,,,,,,,,39,,293,0,0
103954,0,,,11,0,11,10,0,,,,,,,,,0,,10,0,11
103963,0,,,0,0,0,224,0,,,,,,,,,0,,224,0,0
104090,100,248,16,178,0,178,0,0,0,0,0,0,0,0,16,248,97,0,0,0,178
104151,0,14960,3727,1172,0,1172,45,0,185,8,591,274,0,865,3715,14019,0,186,45,0,1067
104160,864,,,148,5,143,589,0,,,,,,,,,737,,560,5,133
104179,0,7410,2358,179,0,179,0,0,300,25,410,583,0,992,2325,7224,0,317,0,0,178
104346,491,,,248,16,232,309,0,,,,,,,,,470,,301,16,211
104391,0,,,14,0,14,21,0,,,,,,,,,0,,21,0,14
104425,1483,,,204,102,102,285,0,,,,,,,,,1475,,280,101,98
104443,0,,,1,0,1,17,0,,,,,,,,,0,,17,0,1
104568,0,,,201,0,201,126,0,,,,,,,,,0,,126,0,201
104577,457,,,486,0,486,84,0,,,,,,,,,456,,84,0,486
104586,0,541,13,0,0,0,0,0,0,0,0,0,0,0,13,535,0,0,0,0,0
104665,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
104708,1568,,,617,114,503,1168,0,,,,,,,,,1424,,1121,97,441
104717,0,14037,13998,8,0,8,0,0,219,221,781,0,0,781,13789,14031,0,437,0,0,8
105145,662,,,928,445,483,243,19,,,,,,,,,647,,259,241,352
105154,1815,,,678,273,405,1295,0,,,,,,,,,1693,,1248,221,339
105206,387,,,302,0,302,229,0,,,,,,,,,375,,221,0,239
105215,54,,,0,0,0,444,13,,,,,,,,,54,,457,0,0
105297,116,58,0,13,0,13,10,0,0,0,0,0,0,0,0,58,111,0,10,0,13
105330,0,5874,1370,452,0,452,39,0,130,5,83,145,0,228,1370,5788,0,134,39,0,423
105349,171,,,292,0,292,111,0,,,,,,,,,166,,98,0,224
105367,0,145,205,0,0,0,0,0,0,0,0,13,0,13,205,145,0,0,0,0,0
105428,1033,,,415,24,391,631,0,,,,,,,,,988,,621,21,312
105525,1807,,,872,37,835,1628,0,,,,,,,,,1794,,1608,37,790
105534,567,274,0,163,0,163,307,0,0,0,0,0,0,0,0,274,567,0,307,0,163
105543,117,,,94,0,94,270,0,,,,,,,,,117,,270,0,94
105589,0,120,201,0,0,0,0,0,6,13,12,0,0,12,199,106,0,19,0,0,0
105659,28,,,406,0,406,394,0,,,,,,,,,25,,371,0,394
105668,699,,,2569,452,2117,736,0,,,,,,,,,611,,723,451,2081
105677,0,,,29,0,29,0,0,,,,,,,,,0,,0,0,29
105747,735,,,170,33,137,469,0,,,,,,,,,698,,446,33,118
105792,368,,,164,12,152,322,0,,,,,,,,,316,,299,7,123
105899,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2,0,0,0,0
106041,828,,,0,0,0,253,0,,,,,,,,,812,,253,0,0
106148,689,,,743,132,611,534,0,,,,,,,,,684,,524,132,524
106245,361,1253,369,19,0,19,12,6,64,0,52,143,0,195,369,1209,359,63,18,0,19
106263,0,389,178,0,0,0,0,0,46,0,28,305,0,333,178,389,0,46,0,0,0
106306,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0
