UNITID,EFLEVEL,EFTOTAL,EFMEN,EFWOM,EFFT,EFFTMEN,EFFTWOM,EFPT,EFPTMEN,EFPTWOM
100654,10,5969,2353,3616,5064,1986,3078,905,367,538
100663,10,22289,8111,14178,14926,5613,9313,7363,2498,4865
100690,10,723,293,430,289,121,168,434,172,262
100706,10,9636,5485,4151,6897,4080,2817,2739,1405,1334
100724,10,3964,1364,2600,3378,1149,2229,586,215,371
100751,10,38316,16228,22088,31895,13914,17981,6421,2314,4107
100760,10,1578,646,932,494,235,259,1084,411,673
100812,10,2794,863,1931,1168,357,811,1626,506,1120
100830,10,5068,1746,3322,3417,1228,2189,1651,518,1133
100858,10,31526,15681,15845,26269,12799,13470,5257,2882,2375
100937,10,1058,515,543,1041,504,537,17,11,6
101028,10,1360,471,889,498,192,306,862,279,583
101116,10,395,64,331,252,43,209,143,21,122
101143,10,1796,945,851,913,500,413,883,445,438
101161,10,7048,2947,4101,2826,1122,1704,4222,1825,2397
101189,10,2866,1181,1685,2062,852,1210,804,329,475
101240,10,4308,1710,2598,1854,840,1014,2454,870,1584
101277,10,57,2,55,57,2,55,,,
101286,10,3899,1255,2644,1298,426,872,2601,829,1772
101295,10,5204,1758,3446,2384,909,1475,2820,849,1971
101301,10,1627,662,965,480,237,243,1147,425,722
101365,10,615,143,472,279,81,198,336,62,274
101435,10,844,463,381,797,452,345,47,11,36
101453,10,131,113,18,40,34,6,91,79,12
101462,10,872,374,498,255,118,137,617,256,361
101471,10,400,303,97,291,213,78,109,90,19
101480,10,9540,3664,5876,6729,2669,4060,2811,995,1816
101505,10,8519,3086,5433,2247,885,1362,6272,2201,4071
101514,10,8702,3930,4772,2503,1159,1344,6199,2771,3428
101569,10,3094,1046,2048,1214,455,759,1880,591,1289
101587,10,5594,1365,4229,4751,1085,3666,843,280,563
101602,10,1816,821,995,763,302,461,1053,519,534
101648,10,314,232,82,314,232,82,,,
101675,10,1520,709,811,1421,651,770,99,58,41
101693,10,1911,677,1234,1107,372,735,804,305,499
101709,10,2625,893,1732,2118,744,1374,507,149,358
101736,10,3371,1452,1919,900,407,493,2471,1045,1426
101879,10,8526,3049,5477,5127,1796,3331,3399,1253,2146
101897,10,2489,824,1665,885,308,577,1604,516,1088
101912,10,1452,624,828,1313,564,749,139,60,79
101994,10,374,145,229,144,74,70,230,71,159
102030,10,2479,822,1657,887,374,513,1592,448,1144
102049,10,5758,1897,3861,5490,1819,3671,268,78,190
102058,10,30,21,9,11,8,3,19,13,6
102067,10,4659,1794,2865,1671,770,901,2988,1024,1964
102076,10,2245,869,1376,997,392,605,1248,477,771
102094,10,13992,4462,9530,11548,3658,7890,2444,804,1640
102234,10,1107,481,626,971,405,566,136,76,60
102270,10,728,320,408,643,268,375,85,52,33
102298,10,1203,579,624,1061,515,546,142,64,78
102313,10,1846,731,1115,758,356,402,1088,375,713
102368,10,14901,5295,9606,8580,2953,5627,6321,2342,3979
102377,10,2654,929,1725,2482,870,1612,172,59,113
102395,10,168,123,45,47,34,13,121,89,32
102429,10,3371,1337,2034,1061,455,606,2310,882,1428
102553,10,10845,4163,6682,4194,1852,2342,6651,2311,4340
102580,10,44,28,16,24,19,5,20,9,11
102614,10,6826,2625,4201,2711,1290,1421,4115,1335,2780
102632,10,1997,670,1327,534,202,332,1463,468,995
102669,10,554,134,420,344,79,265,210,55,155
102711,10,259,193,66,83,63,20,176,130,46
102845,10,2215,570,1645,2215,570,1645,,,
103501,10,317,42,275,317,42,275,,,
103741,10,138,5,133,112,5,107,26,0,26
103893,10,1281,262,1019,1281,262,1019,,,
103909,10,591,66,525,591,66,525,,,
103927,10,517,80,437,517,80,437,,,
103954,10,48,3,45,48,3,45,,,
103963,10,398,359,39,397,359,38,1,0,1
104090,10,1032,133,899,1032,133,899,,,
