UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
100654,1,5969,426,2513,3030,276,125,25,0,0
100663,1,22289,6460,8202,7627,4315,2113,0,4,28
100690,1,723,723,,,345,378,0,0,0
100706,1,9636,1324,5117,3195,1074,237,10,3,0
100724,1,3964,644,2783,537,484,156,4,0,0
100751,1,38316,6086,9339,22891,3291,2644,63,88,0
100760,1,1578,372,504,702,368,4,0,0,0
100812,1,2794,1673,879,242,1563,110,0,0,0
100830,1,5068,976,2079,2013,915,41,0,8,12
100858,1,31526,2745,11718,17063,1205,1473,15,2,50
100937,1,1058,0,0,1058,,,,,
101028,1,1360,244,503,613,186,58,0,0,0
101116,1,395,207,54,134,204,3,0,0,0
101143,1,1796,466,548,782,450,16,0,0,0
101161,1,7048,2070,2193,2785,2005,64,1,0,0
101189,1,2866,1219,384,1263,928,270,21,0,0
101240,1,4308,1211,1601,1496,1178,33,0,0,0
101277,1,57,,,57,,,,,
101286,1,3899,695,881,2323,638,56,1,0,0
101295,1,5204,1156,1630,2418,1147,7,2,0,0
101301,1,1627,624,310,693,612,12,0,0,0
101365,1,615,204,96,315,195,9,0,0,0
101435,1,844,0,96,748,,,,,
101453,1,131,60,42,29,15,41,0,4,0
101462,1,872,119,392,361,119,0,0,0,0
101471,1,400,,,400,,,,,
101480,1,9540,2222,4335,2983,2097,125,0,0,0
101505,1,8519,3273,1967,3279,3237,36,0,0,0
101514,1,8702,3375,2095,3232,3321,54,0,0,0
101569,1,3094,1518,899,677,1509,9,0,0,0
101587,1,5594,4118,502,974,3321,755,11,31,0
101602,1,1816,423,716,677,409,14,0,0,0
101648,1,314,0,80,234,,,,,
101675,1,1520,113,91,1316,87,26,0,0,0
101693,1,1911,129,309,1473,96,33,0,0,0
101709,1,2625,203,1087,1335,198,5,0,0,0
101736,1,3371,609,833,1929,593,16,0,0,0
101879,1,8526,3305,3267,1954,2149,980,50,126,0
101897,1,2489,756,1043,690,747,9,0,0,0
101912,1,1452,129,213,1110,61,64,0,4,0
101994,1,374,19,173,182,18,1,0,0,0
102030,1,2479,602,739,1138,590,12,0,0,0
102049,1,5758,379,1305,4074,244,134,0,0,1
102058,1,30,0,0,30,,,,,
102067,1,4659,1804,1326,1529,1743,61,0,0,0
102076,1,2245,1086,739,420,1021,65,0,0,0
102094,1,13992,4100,4252,5640,1156,2931,0,13,0
102234,1,1107,152,578,377,90,61,0,1,0
102270,1,728,222,293,213,162,60,0,0,0
102298,1,1203,274,714,215,185,89,0,0,0
102313,1,1846,514,616,716,508,6,0,0,0
102368,1,14901,7465,2064,5372,3750,3444,0,266,5
102377,1,2654,2,0,2652,1,1,0,0,0
102395,1,168,168,,,14,147,1,6,0
102429,1,3371,687,720,1964,667,20,0,0,0
102553,1,10845,5421,4019,1405,5187,207,6,2,19
102580,1,44,0,0,44,,,,,
102614,1,6826,3455,1947,1424,2937,491,6,4,17
102632,1,1997,1064,343,590,967,87,1,9,0
102669,1,554,78,162,314,64,14,0,0,0
102711,1,259,,,259,,,,,
102845,1,2215,564,1651,0,258,306,0,0,0
103501,1,317,,,317,,,,,
103741,1,138,,,138,,,,,
103893,1,1281,163,311,807,128,35,0,0,0
103909,1,591,0,161,430,,,,,
103927,1,517,0,130,387,,,,,
103954,1,48,,,48,,,,,
103963,1,398,,,398,,,,,
104090,1,1032,283,749,0,175,108,0,0,0
104151,1,77881,4453,37856,35572,3830,343,1,273,6
104160,1,8081,2576,3123,2382,2449,113,0,2,12
104179,1,48274,8727,18254,21293,4024,4435,0,263,5
104346,1,4841,962,3086,793,917,45,0,0,0
104391,1,56,,,56,,,,,
104425,1,3473,1179,1202,1092,842,325,0,6,6
104443,1,43,,,43,,,,,
104568,1,377,0,377,0,,,,,
104577,1,4583,423,697,3463,416,5,0,2,0
104586,1,3071,20,222,2829,2,14,0,4,0
104665,1,6,,,6,,,,,
104708,1,13882,3624,4622,5636,3601,2,0,0,21
104717,1,103072,79865,13482,9725,13650,65789,2,424,0
105145,1,4673,1463,1183,2027,1453,0,0,2,8
105154,1,16494,4709,5094,6691,4588,83,0,0,38
105206,1,3793,963,1000,1830,870,93,0,0,0
105215,1,781,,,781,,,,,
105297,1,1315,1121,165,29,890,231,0,0,0
105330,1,28711,6208,9603,12900,2965,1013,0,115,2115
105349,1,2786,1049,386,1351,1046,3,0,0,0
105367,1,938,651,276,11,361,282,0,8,0
105428,1,9050,2777,3021,3252,2749,9,0,1,18
105525,1,15000,4477,3028,7495,4123,342,0,3,9
105534,1,2551,1400,30,1121,284,1113,0,3,0
105543,1,782,44,0,738,44,0,0,0,0
105589,1,1047,803,0,244,220,566,0,17,0
105659,1,1007,0,50,957,,,,,
105668,1,15682,6068,514,9100,5633,374,0,13,48
105677,1,12,,,12,,,,,
105747,1,7320,1849,2438,3033,1833,0,0,0,16
105792,1,3597,1067,1109,1421,1062,0,0,0,5
105899,1,1053,124,132,797,84,39,0,1,0
106041,1,1986,,,1986,,,,,
106111,1,48,,,48,,,,,
106148,1,7550,2457,1225,3868,2356,99,0,2,0
106245,1,8295,3830,2392,2073,3557,269,0,4,0
106263,1,3088,893,536,1659,335,550,0,8,0
106306,1,414,,,414,,,,,
106315,1,28,,,28,,,,,
106324,1,33,,,33,,,,,
106342,1,579,,,579,,,,,
106351,1,62,,,62,,,,,
106360,1,25,,,25,,,,,
106397,1,29068,3258,6821,18989,1763,1442,0,53,0
106412,1,2670,260,1800,610,201,58,0,1,0
106449,1,2776,600,856,1320,596,4,0,0,0
106458,1,12863,5279,3587,3997,2736,2542,0,1,0
106467,1,9640,2666,3435,3539,2553,95,0,18,0
106485,1,2677,530,1087,1060,477,53,0,0,0
106494,1,38,,,38,,,,,
106546,1,666,0,8,658,,,,,
106625,1,1380,486,477,417,469,17,0,0,0
106704,1,10105,1295,3405,5405,1112,171,0,12,0
106713,1,622,35,213,374,29,5,0,1,0
106795,1,1360,315,514,531,300,15,0,0,0
106810,1,197,1,156,40,1,0,0,0,0
106883,1,1056,344,339,373,341,3,0,0,0
106892,1,62,,,62,,,,,
106908,1,330,,,330,,,,,
106980,1,2325,604,805,916,597,7,0,0,0
106999,1,1060,113,475,472,109,2,2,0,0
107044,1,4973,916,577,3480,474,306,130,6,0
107071,1,2919,674,1446,799,626,43,0,5,0
107080,1,1120,,,1120,,,,,
107099,1,85,,,85,,,,,
107123,1,66,,,66,,,,,
107141,1,2459,622,437,1400,521,97,0,0,4
107220,1,196,,,196,,,,,
107293,1,53,,,53,,,,,
107318,1,1077,242,336,499,222,20,0,0,0
107327,1,1457,945,169,343,697,248,0,0,0
107442,1,33,,,33,,,,,
107460,1,1792,389,618,785,380,9,0,0,0
107488,1,155,,,155,,,,,
107512,1,1764,31,244,1489,26,5,0,0,0
107521,1,1597,134,128,1335,134,0,0,0,0
107549,1,1007,323,332,352,294,29,0,0,0
107558,1,784,4,324,456,2,0,0,2,0
107585,1,1953,244,678,1031,243,1,0,0,0
107600,1,710,20,587,103,18,2,0,0,0
107619,1,1289,114,261,914,113,1,0,0,0
107637,1,997,290,243,464,289,1,0,0,0
