UNITID,EFCSTATE,LINE,EFRES01,EFRES02
100663,1,1,1989,1961
100706,1,1,816,697
100724,1,1,273,264
100751,1,1,2851,2838
100760,1,1,285,222
100830,1,1,490,405
100858,1,1,2923,2865
100937,1,1,149,144
101143,1,1,377,298
101161,1,1,1281,957
101189,1,1,158,133
101240,1,1,792,515
101286,1,1,745,523
101295,1,1,1228,920
101301,1,1,262,190
101435,1,1,173,170
101453,1,1,3,2
101462,1,1,104,48
101480,1,1,1439,1322
101514,1,1,1545,1113
101569,1,1,651,445
101602,1,1,387,315
101648,1,1,65,48
101709,1,1,406,333
101736,1,1,576,458
101897,1,1,429,358
101912,1,1,32,21
101994,1,1,77,47
102030,1,1,419,208
102049,1,1,246,235
102067,1,1,827,610
102094,1,1,1335,1219
102234,1,1,82,81
102313,1,1,363,189
102368,1,1,1238,910
102429,1,1,650,464
102553,1,1,1,1
102614,1,1,3,2
104151,1,1,5,5
104179,1,1,5,5
104717,1,1,8,1
105154,1,1,1,0
105330,1,1,1,1
105668,1,1,1,0
106245,1,1,1,1
106397,1,1,9,8
106412,1,1,1,1
106458,1,1,2,2
106704,1,1,5,5
107071,1,1,2,2
107141,1,1,1,1
107512,1,1,4,3
107558,1,1,1,1
107983,1,1,1,1
108232,1,1,2,1
108807,1,1,2,1
110097,1,1,1,1
110422,1,1,1,1
110583,1,1,3,3
110635,1,1,1,1
110644,1,1,3,3
110653,1,1,4,4
110662,1,1,6,6
110671,1,1,1,1
110680,1,1,1,1
110705,1,1,1,1
111896,1,1,1,1
111948,1,1,2,2
113698,1,1,1,0
114433,1,1,1,1
115126,1,1,2,0
117104,1,1,1,0
117195,1,1,1,0
117751,1,1,2,2
121150,1,1,2,2
122436,1,1,2,2
122612,1,1,2,2
122931,1,1,1,1
123961,1,1,6,6
124113,1,1,1,0
125231,1,1,5,0
126562,1,1,1,1
126614,1,1,9,9
126775,1,1,5,5
126818,1,1,4,4
126827,1,1,45,6
127060,1,1,6,4
127185,1,1,2,1
127556,1,1,1,1
127714,1,1,1,0
128106,1,1,1,1
128391,1,1,1,1
129774,1,1,1,1
130183,1,1,55,6
130253,1,1,1,1
130493,1,1,1,1
130624,1,1,5,5
130697,1,1,1,1
130794,1,1,11,11
131113,1,1,5,0
131450,1,1,1,0
131469,1,1,2,2
131496,1,1,6,6
131520,1,1,26,26
132602,1,1,10,10
132903,1,1,11,11
133021,1,1,20,10
133492,1,1,4,4
133553,1,1,7,6
133650,1,1,14,0
133711,1,1,3,2
133809,1,1,18,18
133881,1,1,1,1
134097,1,1,13,12
134130,1,1,15,15
134343,1,1,9,4
135160,1,1,1,1
135717,1,1,2,0
135726,1,1,13,13
136233,1,1,3,3
136330,1,1,2,2
136473,1,1,46,27
136950,1,1,2,2
137078,1,1,1,0
137096,1,1,4,2
137351,1,1,8,8
137546,1,1,1,1
137564,1,1,41,41
137759,1,1,5,4
137962,1,1,1,1
138187,1,1,3,0
138275,1,1,2,1
138309,1,1,2,0
138558,1,1,4,4
138716,1,1,11,10
138761,1,1,8,7
138840,1,1,2,2
138947,1,1,18,18
139144,1,1,28,26
139199,1,1,3,0
139205,1,1,3,3
139278,1,1,17,6
139311,1,1,1,0
139357,1,1,67,24
139366,1,1,40,35
139384,1,1,3,2
139393,1,1,13,13
139463,1,1,2,1
139621,1,1,1,1
139630,1,1,2,2
139658,1,1,14,14
139719,1,1,7,6
139755,1,1,24,24
139764,1,1,3,3
139931,1,1,8,7
139940,1,1,20,16
139959,1,1,13,12
139968,1,1,2,1
139986,1,1,1,1
140012,1,1,1,0
140234,1,1,3,3
140243,1,1,1,1
140331,1,1,1,1
140447,1,1,12,12
140720,1,1,4,1
140818,1,1,1,1
140872,1,1,4,4
140942,1,1,1,1
140951,1,1,40,40
140960,1,1,2,2
140988,1,1,26,26
141006,1,1,12,8
141060,1,1,11,7
141264,1,1,20,16
141334,1,1,34,29
141796,1,1,2,1
141990,1,1,1,1
142276,1,1,1,1
142285,1,1,1,1
143118,1,1,5,5
144218,1,1,1,0
144281,1,1,2,2
144351,1,1,1,1
144740,1,1,3,3
144892,1,1,1,1
144971,1,1,2,2
145372,1,1,1,1
145619,1,1,1,1
145637,1,1,4,4
145691,1,1,4,2
145813,1,1,1,1
146348,1,1,1,0
146719,1,1,2,2
147369,1,1,1,1
147916,1,1,1,1
148380,1,1,1,1
148487,1,1,4,3
149222,1,1,4,4
150163,1,1,1,1
150400,1,1,2,2
150774,1,1,1,1
150987,1,1,3,0
151111,1,1,2,2
151263,1,1,1,1
151324,1,1,1,0
151351,1,1,9,9
152080,1,1,4,4
152318,1,1,3,3
152390,1,1,1,1
153366,1,1,2,2
153384,1,1,1,1
153524,1,1,2,2
153533,1,1,1,1
153630,1,1,2,2
153658,1,1,1,1
154013,1,1,1,1
154642,1,1,1,1
154697,1,1,1,0
154721,1,1,1,1
154925,1,1,2,2
154998,1,1,9,0
155098,1,1,12,12
155195,1,1,1,1
155317,1,1,5,5
155399,1,1,1,1
155414,1,1,2,2
155618,1,1,1,1
155715,1,1,2,1
155812,1,1,3,3
156125,1,1,2,1
156213,1,1,1,1
156286,1,1,1,1
156295,1,1,23,22
156365,1,1,8,8
156392,1,1,1,1
156408,1,1,2,2
156620,1,1,3,2
157058,1,1,3,3
157085,1,1,13,13
157216,1,1,8,8
157289,1,1,2,2
157401,1,1,10,10
157535,1,1,6,6
157809,1,1,1,1
157951,1,1,9,9
158802,1,1,4,4
159391,1,1,41,41
159407,1,1,2,0
159647,1,1,7,7
159656,1,1,16,16
159717,1,1,1,1
159939,1,1,2,2
159993,1,1,3,2
160010,1,1,1,0
160612,1,1,1,1
160621,1,1,15,15
160658,1,1,4,4
160667,1,1,1,0
160755,1,1,17,14
160904,1,1,15,9
161004,1,1,2,2
161253,1,1,1,1
161341,1,1,1,1
161509,1,1,1,1
162706,1,1,1,1
163204,1,1,2,0
163286,1,1,2,2
163453,1,1,2,2
164155,1,1,13,10
164465,1,1,2,2
164492,1,1,1,1
164988,1,1,5,5
165015,1,1,1,1
165334,1,1,3,3
165662,1,1,2,2
165936,1,1,4,4
166027,1,1,9,9
166629,1,1,3,3
166638,1,1,2,2
166683,1,1,6,6
166939,1,1,1,1
167358,1,1,4,4
167835,1,1,2,2
168148,1,1,5,4
168421,1,1,1,1
169798,1,1,2,1
169910,1,1,2,2
171100,1,1,5,4
171456,1,1,1,1
172699,1,1,2,2
173142,1,1,1,1
173258,1,1,2,2
174066,1,1,4,4
174914,1,1,1,1
175430,1,1,13,13
175519,1,1,1,0
175573,1,1,1,1
175616,1,1,17,16
175643,1,1,2,2
175652,1,1,15,11
175786,1,1,4,0
175810,1,1,2,2
175829,1,1,28,25
175856,1,1,27,22
175883,1,1,8,8
175935,1,1,14,12
175980,1,1,14,14
176017,1,1,98,96
176035,1,1,22,21
176053,1,1,72,72
176080,1,1,341,341
176372,1,1,108,104
176479,1,1,4,3
176910,1,1,1,1
177065,1,1,2,0
177135,1,1,1,0
177144,1,1,4,4
177940,1,1,2,2
177986,1,1,1,0
177995,1,1,1,0
178369,1,1,7,7
178387,1,1,1,1
178396,1,1,2,2
178402,1,1,1,1
178411,1,1,1,1
178721,1,1,1,1
179043,1,1,1,1
179326,1,1,1,1
179557,1,1,1,1
179867,1,1,8,6
179946,1,1,1,1
180249,1,1,1,1
180461,1,1,4,3
180595,1,1,1,1
180814,1,1,9,0
180948,1,1,1,1
181020,1,1,1,1
181464,1,1,3,3
181534,1,1,1,1
182670,1,1,3,2
183026,1,1,203,0
185262,1,1,1,0
185509,1,1,3,0
185828,1,1,1,1
185873,1,1,1,1
186131,1,1,8,5
186584,1,1,2,2
187648,1,1,1,1
187912,1,1,3,3
187985,1,1,1,1
187994,1,1,1,0
188100,1,1,1,1
189097,1,1,4,4
190099,1,1,2,2
190415,1,1,2,1
190503,1,1,5,5
191126,1,1,1,1
191199,1,1,1,1
191241,1,1,4,4
191649,1,1,2,2
192448,1,1,5,4
192703,1,1,3,3
192712,1,1,2,2
193654,1,1,1,1
193900,1,1,6,5
194028,1,1,1,1
194392,1,1,1,0
194578,1,1,1,1
195003,1,1,4,4
195526,1,1,1,1
196112,1,1,1,1
196130,1,1,1,1
196291,1,1,1,1
196413,1,1,3,3
197869,1,1,5,5
198066,1,1,1,1
198136,1,1,1,1
198154,1,1,1,1
198260,1,1,3,1
198330,1,1,1,1
198385,1,1,3,3
198464,1,1,1,1
198516,1,1,6,6
198534,1,1,1,0
198598,1,1,2,2
198835,1,1,1,1
198862,1,1,2,1
198899,1,1,1,1
199102,1,1,6,6
199111,1,1,1,1
199120,1,1,5,5
199139,1,1,1,1
199184,1,1,1,1
199193,1,1,2,2
199218,1,1,1,1
199306,1,1,1,1
199412,1,1,3,3
199740,1,1,1,0
199971,1,1,5,0
200004,1,1,2,2
200217,1,1,1,1
200280,1,1,1,1
200341,1,1,1,1
201195,1,1,1,1
201441,1,1,1,1
201645,1,1,3,3
201654,1,1,2,2
201885,1,1,2,1
202170,1,1,1,1
202222,1,1,1,0
203128,1,1,2,2
203331,1,1,43,3
203517,1,1,1,1
204486,1,1,1,1
204635,1,1,1,1
204705,1,1,1,1
204796,1,1,2,2
204857,1,1,10,10
205470,1,1,2,1
206589,1,1,2,2
206914,1,1,1,1
207236,1,1,1,1
207290,1,1,1,0
207324,1,1,1,1
207351,1,1,3,2
207388,1,1,2,2
207458,1,1,2,2
207564,1,1,1,0
207582,1,1,1,1
207935,1,1,1,0
207962,1,1,1,0
208035,1,1,1,1
209542,1,1,3,2
209551,1,1,4,4
209746,1,1,1,0
209922,1,1,1,1
210155,1,1,2,2
210270,1,1,1,0
211440,1,1,2,2
212054,1,1,2,1
212805,1,1,3,3
213367,1,1,1,0
213385,1,1,2,2
213598,1,1,1,1
213996,1,1,1,1
215062,1,1,5,5
215275,1,1,1,1
215293,1,1,7,7
215442,1,1,1,1
215655,1,1,2,1
216287,1,1,2,1
216597,1,1,1,1
217156,1,1,1,1
217484,1,1,1,1
217624,1,1,5,5
217633,1,1,6,5
217749,1,1,6,4
217819,1,1,5,5
217864,1,1,6,6
217873,1,1,1,1
217882,1,1,15,15
217925,1,1,2,1
217934,1,1,2,2
217961,1,1,1,1
217989,1,1,1,1
218061,1,1,1,1
218070,1,1,15,15
218113,1,1,1,1
218229,1,1,2,2
218353,1,1,1,0
218441,1,1,3,0
218539,1,1,1,1
218645,1,1,1,1
218681,1,1,1,0
218724,1,1,1,1
218733,1,1,3,2
218894,1,1,1,0
218919,1,1,1,0
218964,1,1,1,0
218973,1,1,10,9
219204,1,1,2,0
219259,1,1,1,1
219471,1,1,1,1
219602,1,1,13,13
219806,1,1,6,6
219824,1,1,4,4
219879,1,1,3,3
219949,1,1,3,3
220057,1,1,1,1
220075,1,1,9,9
220181,1,1,6,6
220473,1,1,1,0
220516,1,1,4,4
220598,1,1,14,13
220604,1,1,5,5
220710,1,1,16,16
220862,1,1,17,17
221096,1,1,2,2
221148,1,1,24,13
221184,1,1,1,1
221397,1,1,1,1
221485,1,1,5,5
221519,1,1,36,36
221661,1,1,3,3
221740,1,1,23,22
221768,1,1,9,9
221838,1,1,96,84
221847,1,1,4,4
221999,1,1,30,29
222053,1,1,1,1
222178,1,1,1,0
222992,1,1,1,1
223232,1,1,12,12
223816,1,1,9,1
224642,1,1,1,1
225399,1,1,1,1
227146,1,1,1,0
227216,1,1,4,4
227331,1,1,2,2
227757,1,1,11,11
227854,1,1,6,1
227924,1,1,1,1
228246,1,1,13,12
228316,1,1,1,1
228459,1,1,2,2
228723,1,1,6,6
228778,1,1,2,2
228787,1,1,2,2
228875,1,1,15,15
229115,1,1,3,0
229267,1,1,4,4
229355,1,1,1,1
229841,1,1,1,1
230162,1,1,1,1
230171,1,1,1,1
230597,1,1,1,1
230603,1,1,2,2
230728,1,1,10,9
230746,1,1,1,1
230764,1,1,3,3
230782,1,1,2,0
230807,1,1,1,1
230861,1,1,1,1
230959,1,1,3,3
231174,1,1,1,1
231624,1,1,1,1
232025,1,1,2,2
232043,1,1,1,1
232186,1,1,6,6
232557,1,1,68,28
232706,1,1,1,1
232946,1,1,1,0
233019,1,1,1,1
233374,1,1,1,1
233541,1,1,1,1
233921,1,1,8,7
234030,1,1,2,2
234076,1,1,13,13
234085,1,1,1,1
234155,1,1,1,1
234164,1,1,1,0
234207,1,1,5,5
235316,1,1,1,1
236753,1,1,1,0
236939,1,1,1,1
237057,1,1,1,1
237118,1,1,4,4
237367,1,1,1,1
237525,1,1,1,1
237950,1,1,1,1
238032,1,1,2,2
238980,1,1,1,1
239017,1,1,2,2
239071,1,1,4,3
239248,1,1,1,1
240107,1,1,1,1
240268,1,1,3,3
240338,1,1,1,1
240444,1,1,3,3
240462,1,1,1,1
240471,1,1,1,0
243744,1,1,6,5
243780,1,1,11,11
244437,1,1,9,5
246813,1,1,1,0
247603,1,1,1,0
248934,1,1,2,1
251260,1,1,942,764
262341,1,1,2,0
366465,1,1,1,0
366535,1,1,97,9
384254,1,1,1,1
417008,1,1,22,12
420398,1,1,1,0
420440,1,1,1,0
426314,1,1,11,0
433387,1,1,10,0
434061,1,1,1,0
434672,1,1,3,0
437103,1,1,1,1
441371,1,1,58,3
442329,1,1,18,11
445027,1,1,45,0
445708,1,1,6,6
446233,1,1,1,0
447689,1,1,4,3
454652,1,1,12,9
459949,1,1,1,1
476805,1,1,7,3
480091,1,1,9,0
480569,1,1,1,0
482158,1,1,3,2
482468,1,1,1,0
482477,1,1,34,0
482680,1,1,4,3
482699,1,1,3,2
483045,1,1,1,0
483124,1,1,16,3
483595,1,1,3,3
484473,1,1,1,1
484613,1,1,63,7
485111,1,1,6,5
486840,1,1,6,5
487092,1,1,4,4
488077,1,1,22,0
488730,1,1,1,0
488916,1,1,18,4
489779,1,1,17,0
490133,1,1,1,1
490407,1,1,1,1
490805,1,1,1,0
492962,1,1,1,0
495767,1,1,9,7
100706,2,2,2,1
100724,2,2,1,1
100751,2,2,3,3
100858,2,2,1,1
101161,2,2,1,1
102234,2,2,1,1
102368,2,2,1,0
102553,2,2,909,604
102614,2,2,558,387
102632,2,2,126,87
104151,2,2,28,26
104179,2,2,16,12
104425,2,2,1,1
104577,2,2,5,5
104586,2,2,5,5
104717,2,2,43,30
105154,2,2,2,2
105330,2,2,53,49
105525,2,2,3,2
107071,2,2,1,1
108232,2,2,6,2
108807,2,2,2,1
110097,2,2,3,2
110413,2,2,2,2
110422,2,2,4,3
110556,2,2,1,1
110574,2,2,1,1
110592,2,2,1,1
110617,2,2,3,2
110635,2,2,3,2
110644,2,2,2,2
110653,2,2,1,1
110662,2,2,5,4
110705,2,2,1,1
110714,2,2,4,3
111188,2,2,6,6
111948,2,2,1,1
112075,2,2,2,0
113333,2,2,1,0
113698,2,2,1,0
114433,2,2,4,3
114859,2,2,1,1
115755,2,2,1,1
117751,2,2,5,0
117946,2,2,2,2
120342,2,2,1,1
121309,2,2,1,1
122409,2,2,1,1
122612,2,2,3,2
122931,2,2,2,2
123572,2,2,1,1
123961,2,2,5,5
125028,2,2,1,1
125727,2,2,1,1
126182,2,2,3,2
126562,2,2,4,4
126580,2,2,5,5
126614,2,2,11,10
126775,2,2,11,10
126818,2,2,15,13
126827,2,2,5,1
127060,2,2,7,6
127185,2,2,69,42
127200,2,2,1,0
127556,2,2,7,5
127741,2,2,4,4
128106,2,2,2,2
128258,2,2,1,1
128391,2,2,10,9
130183,2,2,2,0
130624,2,2,3,3
130697,2,2,1,1
130794,2,2,6,6
131469,2,2,12,11
131496,2,2,1,1
133492,2,2,1,1
133553,2,2,4,4
133881,2,2,1,1
134130,2,2,1,1
135717,2,2,1,1
135726,2,2,3,3
136172,2,2,1,1
137078,2,2,1,0
138187,2,2,1,1
139393,2,2,1,1
139630,2,2,1,1
139658,2,2,1,1
139755,2,2,1,1
139931,2,2,1,0
140818,2,2,1,1
140942,2,2,1,0
140951,2,2,4,3
141565,2,2,14,13
141574,2,2,11,11
141680,2,2,1,1
141796,2,2,2,0
141811,2,2,1,0
141839,2,2,1,1
141990,2,2,1,0
142115,2,2,20,19
142276,2,2,6,5
142285,2,2,13,9
142294,2,2,1,1
142443,2,2,6,5
142461,2,2,5,5
142559,2,2,2,0
143118,2,2,1,0
143215,2,2,1,1
144281,2,2,2,1
144564,2,2,1,0
146427,2,2,1,0
146719,2,2,1,1
147013,2,2,1,0
147369,2,2,3,2
150987,2,2,2,1
151111,2,2,1,0
151263,2,2,1,1
151324,2,2,1,1
151351,2,2,3,3
152080,2,2,6,6
152390,2,2,3,3
153250,2,2,3,1
153366,2,2,1,1
153630,2,2,2,1
153658,2,2,1,1
154095,2,2,2,2
154493,2,2,1,1
154642,2,2,1,1
154721,2,2,1,1
155140,2,2,3,1
155177,2,2,1,1
155317,2,2,1,1
155399,2,2,1,1
155618,2,2,1,1
155627,2,2,2,2
156125,2,2,1,1
156356,2,2,1,0
156408,2,2,1,1
156620,2,2,1,0
157076,2,2,3,3
159391,2,2,2,2
160658,2,2,1,0
160755,2,2,1,1
161004,2,2,1,1
161509,2,2,1,0
161554,2,2,1,1
163204,2,2,1,1
163286,2,2,1,1
164155,2,2,2,1
164988,2,2,4,4
165015,2,2,1,1
165662,2,2,1,0
165820,2,2,1,1
166027,2,2,3,3
166683,2,2,1,1
167729,2,2,2,2
168148,2,2,2,2
168421,2,2,1,1
168528,2,2,2,2
169248,2,2,1,1
169442,2,2,1,1
170082,2,2,1,1
170806,2,2,1,1
171100,2,2,2,1
171456,2,2,5,5
171483,2,2,1,1
171571,2,2,1,1
172699,2,2,1,0
173258,2,2,4,4
173647,2,2,2,2
174066,2,2,2,2
174251,2,2,3,1
174747,2,2,1,1
176017,2,2,1,1
176053,2,2,1,1
177214,2,2,1,1
177940,2,2,1,1
178396,2,2,1,1
178411,2,2,1,1
178697,2,2,1,1
178721,2,2,1,1
179557,2,2,1,1
179867,2,2,2,1
180151,2,2,1,1
180179,2,2,1,0
180258,2,2,2,2
180276,2,2,3,2
180416,2,2,5,5
180461,2,2,102,91
180595,2,2,3,3
180692,2,2,3,3
180814,2,2,2,0
181002,2,2,1,1
181312,2,2,4,3
181330,2,2,6,6
181464,2,2,2,2
181534,2,2,1,0
182005,2,2,1,1
182290,2,2,13,9
182670,2,2,5,3
183026,2,2,21,0
183822,2,2,1,1
186131,2,2,2,2
187985,2,2,6,6
188030,2,2,1,0
188100,2,2,1,1
188687,2,2,1,0
190415,2,2,2,1
190503,2,2,2,1
191241,2,2,1,1
192448,2,2,1,1
192819,2,2,1,1
193584,2,2,1,1
193654,2,2,1,1
193900,2,2,3,3
194392,2,2,2,2
194578,2,2,3,2
195003,2,2,6,6
195474,2,2,1,1
196097,2,2,2,2
196158,2,2,1,0
196413,2,2,2,2
197869,2,2,1,1
198136,2,2,1,0
198206,2,2,1,0
198516,2,2,2,2
199999,2,2,1,1
200022,2,2,1,0
200059,2,2,2,2
200217,2,2,4,4
200280,2,2,8,5
200332,2,2,5,5
200572,2,2,12,12
201654,2,2,8,8
202170,2,2,1,0
202523,2,2,1,1
203331,2,2,51,12
204796,2,2,1,1
207324,2,2,1,1
207564,2,2,1,1
207582,2,2,2,1
207962,2,2,1,1
208318,2,2,2,0
208646,2,2,3,3
208822,2,2,3,2
