UNITID,EFFYDLEV,EFYDETOT,EFYDEEXC,EFYDESOM,EFYDENON
100654,1,6628,1689,4694,245
100663,1,26322,7914,13127,5281
100690,1,1087,1087,,
100706,1,11318,3956,6861,501
100724,1,4478,1346,2902,230
100751,1,41992,9378,30543,2071
100760,1,2108,1373,439,296
100812,1,3792,2209,1390,193
100830,1,6141,1121,3758,1262
100858,1,33175,2794,8584,21797
100937,1,1192,2,504,686
101028,1,1898,424,1004,470
101116,1,604,219,178,207
101143,1,2508,890,1023,595
101161,1,8971,1956,3478,3537
101189,1,3670,1815,911,944
101240,1,5601,2067,2386,1148
101277,1,130,,,130
101286,1,5088,1291,1988,1809
101295,1,6298,1406,3141,1751
101301,1,2104,814,693,597
101365,1,1215,403,353,459
101435,1,995,164,184,647
101453,1,150,111,18,21
101462,1,1191,190,676,325
101471,1,626,,,626
101480,1,10752,3018,6402,1332
101505,1,12293,9108,1595,1590
101514,1,12424,8265,2130,2029
101569,1,4239,2651,1071,517
101587,1,8711,7070,1146,495
101602,1,2295,465,1107,723
101648,1,423,0,188,235
101675,1,1649,200,136,1313
101693,1,2108,283,624,1201
101709,1,2960,482,2298,180
101736,1,4416,834,1676,1906
101879,1,10003,4479,4752,772
101897,1,3469,1318,1635,516
101912,1,1970,147,84,1739
101994,1,441,6,228,207
102030,1,3549,689,1486,1374
102049,1,6160,399,4001,1760
102067,1,5769,3419,1683,667
102076,1,4006,2627,1095,284
102094,1,16311,4926,5241,6144
102234,1,1322,189,1062,71
102270,1,829,51,535,243
102298,1,1398,246,990,162
102313,1,2294,1027,1048,219
102368,1,20866,11886,4721,4259
102377,1,3058,2,0,3056
102395,1,446,446,0,0
102429,1,4595,1570,1660,1365
102553,1,19093,13228,3755,2110
102580,1,43,0,5,38
102614,1,10725,6113,2831,1781
102632,1,3470,2053,638,779
102669,1,591,484,101,6
102711,1,801,,,801
102845,1,4002,881,2861,260
103501,1,553,,,553
103741,1,208,,,208
103893,1,1734,192,584,958
103909,1,875,0,328,547
103927,1,636,0,268,368
103954,1,83,,,83
103963,1,655,,,655
104090,1,2008,651,1357,0
104151,1,82869,7411,66538,8920
104160,1,9712,3971,3912,1829
104179,1,52329,10431,29028,12870
104346,1,6317,1487,3512,1318
104391,1,87,,,87
104425,1,9841,2578,1531,5732
104443,1,79,,,79
104568,1,601,0,601,0
104577,1,6080,830,1619,3631
104586,1,3207,107,1394,1706
104665,1,15,2,0,13
104708,1,20920,13970,3547,3403
104717,1,158889,134849,19738,4302
105145,1,7371,4191,1698,1482
105154,1,25089,19749,2428,2912
105206,1,4782,1251,1785,1746
105215,1,1262,,,1262
105297,1,1872,1745,127,0
105330,1,33349,8196,16977,8176
105349,1,4622,2991,478,1153
105367,1,1382,428,953,1
105428,1,14469,10900,2619,950
105525,1,32802,23199,3951,5652
105534,1,3871,2178,163,1530
105543,1,1364,46,0,1318
