UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
100654,129441,,15095,4315,629,4315,629,,2
100663,363142,,171846,12105,7160,12105,7160,1411,2
100690,6520,,4984,217,208,217,208,,2
100706,205418,,30484,6847,1270,6847,1270,83,2
100724,101826,,9900,3394,413,3394,413,72,2
100751,889116,,112623,29637,4693,29637,4693,619,2
100760,29507,,,984,,984,,,2
100812,59927,,4560,1998,190,1998,190,,2
100830,100645,,20174,3355,841,3770,933,4,2
100858,730851,,99108,24362,4130,24362,4130,1093,2
100937,32839,,,1095,,1095,,,2
101028,27314,,,910,,910,,,2
101116,13474,,1220,299,34,299,34,11,2
101143,42987,,,1433,,1433,,,2
101161,150843,,,5028,,5028,,,2
101189,52669,,23166,1756,965,1756,965,226,2
101240,95834,,,3194,,3194,,,2
101277,,66321,,74,,74,,,1
101286,80189,,,2673,,2673,,,2
101295,116379,,,3879,,3879,,,2
101301,33983,,,1133,,1268,,,2
101365,17474,,177,582,7,582,7,,2
101435,23698,,150,790,6,790,5,,2
101453,1656,,583,55,24,55,24,,2
101462,16941,,,565,,565,,,2
101471,13843,,,461,,461,,,2
101480,207526,,21992,6918,916,6918,916,122,2
101505,152469,,,5082,,5082,,,2
101514,165630,,,5521,,5521,,,2
101569,65652,,,2188,,2188,,,2
101587,64597,,65952,2153,2748,2153,2748,,2
101602,38258,,,1275,,1275,,,2
101648,9734,,,324,,324,,,2
101675,44331,,,1478,,1478,,,2
101693,33339,,3045,1111,127,1196,127,,2
101709,60230,,7871,2008,328,2008,328,,2
101736,57645,,,1922,,1922,,,2
101879,154319,,42252,5144,1761,5144,1761,,2
101897,49085,,,1636,,1636,,,2
101912,41281,,1409,1376,59,1376,59,,2
101994,9302,,,310,,310,,,2
102030,51587,,,1720,,1720,,,2
102049,113210,,23836,3774,993,3774,993,1218,2
102058,446,,126,15,5,15,5,,2
102067,91923,,,3064,,3064,,,2
102076,59734,,,1991,,1991,,,2
102094,259049,,113702,8635,4738,8635,4738,301,2
102234,31684,,2104,1056,88,1056,88,,2
102270,24803,,,827,,827,,,2
102298,42626,,478,1421,20,1421,20,,2
102313,40847,,,1362,,1362,,,2
102368,273588,,55553,9120,2315,9120,2315,112,2
102377,71480,,4077,2383,170,2383,170,239,2
102395,1677,,1431,56,60,56,60,,2
102429,68275,,,2276,,2276,,,2
102553,182159,,18005,6072,750,6072,750,33,2
102580,864,,,29,,29,,,2
102614,110443,,14685,3681,612,3681,612,,2
102632,27788,,4793,926,200,926,200,,2
102669,10142,,2274,338,95,338,95,18,2
102711,,102919,,114,,114,,,1
102845,201690,,,6723,,6723,,,2
103501,14102,,,470,,470,,,2
103741,,139028,,154,,154,,,1
103893,40754,,,1358,,1358,,,2
103909,18682,,,623,,623,,,2
103927,16595,,,553,,553,,,2
103954,,37010,,41,,41,,,1
103963,21481,,,716,,716,,,2
104090,30958,,909,1032,38,1032,38,,2
104151,1936832,,259212,64561,10801,64561,10801,1036,2
104160,145365,140662,,5002,,5065,,,3
104179,1112352,,152306,37078,6346,37078,6346,5447,2
104346,97016,,,3234,,3234,,,2
104391,,43894,,49,,49,,,1
104425,176860,,,5895,,5895,,,2
104443,,40162,,45,,45,,,1
104568,,380520,,423,,423,,,1
104577,82572,,,2752,,2752,,,2
104586,89683,,501,2989,21,2989,21,,2
104665,,,183,,8,,8,,-2
104708,220736,,,7358,,7358,,,2
104717,1805101,,760280,60170,31678,60170,31678,,2
105145,77949,,,2598,,2598,,,2
105154,254552,,,8485,,8485,,,2
105206,64772,,,2159,,2159,,,2
105215,31444,,,1048,,1048,,,2
105297,26538,,,885,,885,,,2
105330,639090,,73883,21303,3078,23506,3693,894,2
