UNITID,F2A01,F2A19,F2A20,F2A02,F2A03,F2A03A,F2A04,F2A05,F2A05A,F2A05B,F2A06,F2A11,F2A12,F2A13,F2A15,F2A16,F2A17,F2A18,F2B01,F2B02,F2B03,F2B04,F2B05,F2B06,F2B07,F2C01,F2C02,F2C03,F2C04,F2C05,F2C06,F2C07,F2C08,F2C09,F2C10,F2C12,F2C121,F2C122,F2C13,F2C131,F2C132,F2C14,F2C141,F2C142,F2C15,F2C151,F2C152,F2C16,F2C161,F2C162,F2C17,F2C171,F2C172,F2D01,F2D012,F2D013,F2D014,F2D02,F2D022,F2D023,F2D024,F2D03,F2D032,F2D033,F2D034,F2D04,F2D042,F2D043,F2D044,F2D05,F2D052,F2D053,F2D054,F2D06,F2D062,F2D063,F2D064,F2D07,F2D072,F2D073,F2D074,F2D08,F2D082,F2D083,F2D084,F2D08A,F2D082A,F2D083A,F2D084A,F2D08B,F2D082B,F2D083B,F2D084B,F2D09,F2D092,F2D093,F2D094,F2D10,F2D102,F2D103,F2D104,F2D11,F2D112,F2D12,F2D122,F2D13,F2D132,F2D14,F2D142,F2D143,F2D144,F2D15,F2D152,F2D153,F2D154,F2D16,F2D162,F2D163,F2D164,F2D17,F2D172,F2D173,F2D174,F2D18,F2D182,F2D183,F2D184,F2E011,F2E012,F2E021,F2E022,F2E031,F2E032,F2E041,F2E042,F2E051,F2E052,F2E061,F2E062,F2E071,F2E072,F2E081,F2E091,F2E092,F2E101,F2E102,F2E121,F2E122,F2E131,F2E132,F2E133,F2E134,F2E135,F2E136,F2E137,F2FHA,F2H01,F2H02,F2H03,F2H03A,F2H03B,F2H03C,F2H03D,F2I01,F2I02,F2I03,F2I04,F2I05,F2I06,F2I07
100690,9244107,2750077,0,15676767,842459,0,14323159,511149,174818,336331,14834308,1340625,1065662,3070170,0,0,5476457,2726380,7940291,7258355,0,681936,14152372,0,14834308,1030965,22412,0,0,0,1117447,2170824,1117447,0,1117447,1030965,1030965,0,22412,22412,0,0,0,0,0,0,0,0,0,0,64070,64070,0,7751424,7751424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21350,21350,0,0,0,0,0,0,0,0,0,0,87981,87981,0,0,87981,87981,0,0,0,0,0,0,0,0,0,0,31752,36497,0,-4745,0,0,0,0,0,0,0,0,0,0,47784,47784,0,0,7940291,7945036,0,-4745,0,0,0,0,7940291,7945036,0,-4745,2409549,1719744,0,0,0,0,646408,466174,1105578,847467,3096820,1055263,0,0,0,0,0,0,0,0,0,7258355,4088648,513147,224078,157485,0,2274997,1,174818,174817,-1,0,0,0,-1,686681,7258355,681936,14152372,14834308,0,7258355
100937,45420770,85937348,0,148584093,42824628,32038349,46922381,58837084,50509099,8327985,105759465,25317015,155043138,31189513,0,0,211549666,125612318,43188270,41417929,0,1770341,103989124,0,105759465,1225167,2848492,0,0,5254516,4201350,13529525,9455866,0,9455866,0,0,0,0,0,0,0,0,0,0,0,0,3798178,3798178,0,5657688,5657688,0,12093165,12093165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4699557,4699557,0,0,13360,13360,0,0,0,0,0,0,5725389,1462164,2531141,1732084,5639439,1376214,2531141,1732084,85950,85950,0,0,0,0,0,0,7559452,1952,7338318,219182,0,0,12377301,12377301,0,0,0,0,0,0,720046,641751,78295,0,43188270,31289250,9947754,1951266,0,7422238,-7422238,0,43188270,38711488,2525516,1951266,14157499,8726640,0,0,0,0,3271348,619484,7755584,3283728,8715706,3364684,7292087,388550,225704,0,0,0,0,1,0,41417929,16383086,0,5055570,2781676,1670540,15527057,1,49403369,53984787,4581418,1732084,7557500,-4708166,0,-2706441,38007888,1770341,103989124,-7263371,40729467,41417929
101189,24489701,59754748,0,102264403,46734766,32013448,35510925,20018712,13538003,6480709,55529637,8096644,74854202,32797758,10560,0,115759164,56004416,57337646,46649762,0,10687884,44841753,0,55529637,5460873,1378661,1323990,0,286879,13037025,21487428,12567721,1158493,13726214,0,0,0,273472,250391,23081,128837,117963,10874,0,0,0,286880,262667,24213,13037025,11936700,1100325,32348171,32348171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10623852,0,10623852,0,0,0,0,0,0,0,0,0,5515478,910150,4458025,147303,5515478,910150,4458025,147303,0,0,0,0,0,0,0,0,4191479,23502,4041005,126972,0,0,3196945,3196945,0,0,0,0,0,0,1461721,1667692,-218471,12500,57337646,38146460,18904411,286775,0,17328753,-17328753,0,57337646,55475213,1575658,286775,18702957,11222920,0,0,0,0,2916760,1055449,9529685,3336964,9252378,3044523,4899793,205045,0,0,0,0,0,1348189,0,46649762,18864901,4196158,4453444,3160820,1303061,14671378,1,17838794,21332492,3493698,159803,3771872,-437977,0,8825451,55475213,10687884,44841753,14566559,32013448,46649762
101365,0,3496531,0,15858201,4204940,0,11653261,0,0,0,11653261,280000,3153703,665204,655332,0,4754239,1257708,8823445,6034809,40303,2828939,8824322,0,11653261,2268231,111538,25471,0,0,871229,3276469,871229,0,871229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871229,871229,0,8608881,8608881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214564,214564,0,0,8823445,8823445,0,0,0,0,0,0,8823445,8823445,0,0,2413642,1357816,0,0,0,0,361731,186332,1883908,516139,1017816,312631,0,0,0,0,0,0,0,357712,32341,6034809,2405259,395656,150438,77509,0,3005947,2,,,,,,,,2828939,8823445,2828939,8824322,0,0,6034809
101435,60237137,31396919,0,97943913,25948177,22201716,11627640,60368096,54053693,6314403,71995736,3049311,49235997,13588633,760882,0,66634823,35237904,35997787,24281776,0,11716011,60279725,0,71995736,1686212,168129,736250,0,3421842,6370168,12382601,10696389,0,10696389,0,0,0,168129,168129,0,736250,736250,0,0,0,0,9792010,9792010,0,0,0,0,11496855,11496855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7192347,7192347,0,0,0,0,0,0,0,0,0,0,1988403,1728745,119070,140588,1812668,1728745,83923,0,175735,0,35147,140588,0,0,0,0,9257693,1268376,2858332,5130985,0,0,5290073,5290073,0,0,428744,428744,0,0,343672,212950,130722,0,35997787,27618090,3108124,5271573,0,128736,-128736,0,35997787,27746826,2979388,5271573,6300259,3994469,0,0,0,0,1672164,828569,6174464,3080643,4884387,2161241,4025168,296399,0,0,0,0,0,1225334,0,24281776,10361321,2005644,1642339,1993665,577684,7701123,1,51910937,60206711,8295774,175735,8332989,212950,-425900,3465050,27746826,11716011,60279725,8746839,22201716,24281776
101453,19231716,2946118,0,22978534,2119918,0,5339544,15519072,8318867,7200205,20858616,1019751,2689289,3774915,0,0,7483955,4537837,7201618,3508300,0,3693318,17165298,0,20858616,159403,6377,0,0,533516,0,699296,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,893150,893150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805110,2239444,8060,557606,2805110,2239444,8060,557606,0,0,0,0,0,0,0,0,3037212,442097,2593929,1186,0,0,52838,52838,0,0,0,0,0,0,413308,413308,0,0,7201618,4040837,2601989,558792,0,383028,-383028,0,7201618,4423865,2218961,558792,668381,466595,63828,53000,68264,52980,313698,192248,391107,260672,1588408,594718,44459,6000,0,0,0,0,0,370155,0,3508300,1626213,247849,531270,225467,0,877501,1,12502663,15150265,2647602,565666,2477764,-395828,0,752192,3886341,3693318,17165298,7126751,0,3508300
101675,29292997,52541088,0,96100201,18185354,15609992,73944650,3970197,3012279,957918,77914847,6045395,74543421,20924134,3988120,0,105501070,52959982,47667401,30500633,0,17166768,60748079,0,77914847,6580408,2954907,1002772,71442,2163594,2762951,15536074,4926546,0,4926546,0,0,0,737269,737269,0,1024654,1024654,0,495685,495685,0,0,0,0,2668938,2668938,0,6580408,6580408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8955666,8955666,0,0,1002772,1002772,0,0,71442,71442,0,0,2570701,2570701,0,0,0,0,0,0,2570701,2570701,0,0,0,0,0,0,4890343,4890343,0,0,0,0,5553841,5553841,0,0,0,0,0,0,18042228,18042228,0,0,47667401,47667401,0,0,0,-12863898,12863898,0,47667401,34803503,12863898,0,5661317,3884196,0,0,10840,6250,1928090,1284406,6889271,3412369,12794993,2103255,3216122,443984,0,0,0,0,0,0,0,30500633,11134460,1867983,3281086,1613581,707521,11896002,1,24402543,29292887,4890344,0,4890343,244517,-244516,16922251,37667689,17166768,60748079,79471623,15609992,30500633
101693,19747490,37240171,0,74039844,36292721,32550590,10294923,27452200,19378087,8074113,37747123,1297996,60353400,13433563,528488,1042470,76655917,39415746,34990340,29849059,0,5141281,32605842,0,37747123,2446318,2788856,878293,0,2319547,12345379,20778393,14777306,0,14777306,0,0,0,112380,112380,0,0,0,0,0,0,0,2319547,2319547,0,12345379,12345379,0,14622526,14622526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098547,2883974,1214573,0,1188984,1188984,0,0,0,0,0,0,5561242,1572046,3827660,161536,3966398,1572046,2232816,161536,1594844,0,1594844,0,0,0,0,0,3420861,154460,3090212,176189,0,0,5807039,5807039,0,0,0,0,0,0,291141,447154,-169085,13072,34990340,26676183,7963360,350797,0,5822480,-5822480,0,34990340,32498663,2140880,350797,9710557,5425339,0,0,0,0,678946,159093,3063078,1454892,5198279,1988528,8529843,1066852,0,0,0,0,0,2668356,0,29849059,10094704,3332216,3147472,2212030,1964676,9097961,1,17265742,20155794,2890052,161536,3366006,-736683,99193,2649605,32498664,5141281,32605842,18408657,32550590,29849059
101912,31949393,58990086,0,115223075,21667855,12572757,57782924,35772296,0,35772296,93555220,5592910,83255727,35967615,0,4764074,129580326,70590240,61654689,53353027,0,8301662,85253558,0,93555220,3039844,393501,99152,0,10035938,62227,13630662,8507024,5123638,13630662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13630662,8507024,5123638,18229391,18229391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11198878,5248320,5950558,0,0,0,0,0,0,0,0,0,7256882,4823908,2226166,206808,3177275,1555238,1415229,206808,4079607,3268670,810937,0,7998110,7998110,0,0,720940,419655,117842,183443,238859,238859,6379176,6379176,0,0,2110111,2110111,0,0,7522342,2606675,3328960,1586707,61654689,48054205,11623526,1976958,0,8449963,-8449963,0,61654689,56504168,3173563,1976958,11111471,6973730,352256,154936,147985,11394,4436483,1937368,4301329,1666151,11700926,3452756,4830178,450196,0,0,0,2938201,379614,13534198,678132,53353027,15704277,7699220,3607024,4487987,315549,21538970,1,20201402,26286780,6085378,0,5999999,0,85379,3151141,56504168,8301662,85253558,36095035,12572757,53353027
102049,373113178,337256741,0,801305714,405933980,283220677,90677487,304694247,172132422,132561825,395371734,86837624,447750076,96258086,9827995,0,640673781,303417040,263217953,170878015,46585258,138925196,256446538,0,395371734,1786895,1699101,1193079,0,5805000,61210000,71694075,67015000,0,67015000,0,0,0,0,0,0,0,0,0,0,0,0,5805000,5805000,0,61210000,61210000,0,122128093,122128093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13126765,11431020,1695745,0,0,0,0,0,0,0,0,0,20191875,11405150,2877147,5909578,18913392,11081525,1922289,5909578,1278483,323625,954858,0,0,0,0,0,78928417,31793929,46802772,331716,0,0,23570720,23570720,0,0,0,0,0,0,5272083,5190162,81921,0,263217953,205519074,51457585,6241294,0,-11606623,11606623,0,263217953,193912451,63064208,6241294,86251053,49998611,0,0,3588400,582740,12494165,5087785,28206188,10053951,21375257,11507270,18962952,1418319,0,0,0,0,0,0,0,170878015,78648676,23267601,11814531,16215185,9480617,31451405,1,332869066,368437572,35568506,5931695,80783374,-13754486,-37392077,86144330,187347473,138925196,256446538,154316242,283220677,170878015
