UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C142,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E122,F1E13,F1E131,F1E132,F1E14,F1E141,F1E142,F1E15,F1E151,F1E152,F1E16,F1E161,F1E162,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07
100724,113191113,243082139,901027,243983166,357174279,44017518,5093714,26998366,32092080,45290000,97975535,143265535,175357615,54213399,200340602,26981742,250000,-55951561,171620783,21259653,89542243,284878644,30722402,965263,427368205,189570873,5284808,0,173916291,162611000,11305291,160845494,-530002,171620783,35863560,37849487,4010325,2947183,0,2947183,13742749,0,0,0,10014276,104427580,0,55021738,0,14317676,291061,0,122784,-3276318,0,66476941,170904521,3011770,0,0,0,3011770,173916291,36266697,27747310,4489287,1878007,4029044,2380650,17613184,7803214,20991021,10375892,41065705,11539621,25765563,12390499,2302862,0,0,0,0,0,0,162611000,64027556,10601831,16681793,12228808,3297164,55773848,1,-3187164,60041352,19489000,15044500,1,-786279,34013081,34724399,28584747,14066676,9303072,291061,0,647664,18349060,42657533,14444644,2447326,16891970,25765563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16891970,14444644,2447326,1,130589167,108202146,-22387021,75693,-13402577,-930010,-8130127,353775,183937797,353775,273542856,0,45290000,163541010
100733,26209698,15961161,11667501,27628662,53838360,8043396,0,5094529,5094529,0,20873175,20873175,25967704,9404500,15848938,19570533,0,-8909919,26509552,106750,76802,20195439,196059,6930,20581980,4847359,0,226539,39941083,21003861,18937222,7575305,-2975,26509552,0,0,0,0,0,0,0,,0,,22176709,22176709,0,19570533,0,0,0,0,24494,-1841903,11250,17764374,39941083,0,0,0,0,0,39941083,0,0,0,0,0,0,0,0,0,0,19645256,13694563,0,0,0,,,,,1358605,0,21003861,13694563,3293719,0,586787,3598,3425194,1,1161150,15386000,3622500,3181396,1,197455,5437399,5782000,4862000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,18937221,39941083,18937221,7572331,8909919,0,21003861
100751,867733598,2291578878,2053896758,4345475636,5213209234,344140710,45898865,509793352,555692217,1105798605,793461642,1899260247,2454952464,377201632,1460621877,561259065,600413389,102901517,2725195848,189609855,195041734,2703728588,412979262,91697132,3593056571,1090933605,59263831,4281286,1054248871,1192566497,-138317626,2863513474,0,2725195848,485015783,87186540,33028646,8978351,1766951,7211400,220599553,0,16934239,0,92211504,943954616,0,194970221,0,37082202,0,0,44942506,-286146166,5382704,-3768533,940186083,20953780,33892304,58711463,505241,114062788,1054248871,311837789,166873390,169667611,88575977,62750063,31800035,112645297,51113841,73513669,29244040,119034755,54301234,33834238,248604525,74218112,0,0,0,0,60678550,0,1192566497,496126629,164888107,93201422,91059806,34270601,313019932,1,46340744,553948000,177238000,151789003,1,5289405,220215581,191460865,175147900,30448171,6751890,888019,0,16848557,272793552,327730189,280492218,13403733,293895951,33834238,30448171,30448171,0,5369001,5369001,0,888019,888019,0,0,0,0,8619889,8619889,0,248570871,235167138,13403733,1,1237611651,1144632976,-92978675,80213832,-102247571,-70273090,-671846,112847773,1369338726,-157141890,3908502304,1525995652,1230527399,1256490953
100760,17253193,31968552,0,31968552,49221745,4131758,280000,4917388,5197388,5356907,13940968,19297875,24495263,8139738,26297046,152857,491437,-6222838,20718502,1699274,2366988,44335030,9243840,331461,57976593,26058363,50322,0,38043960,20026772,18017188,2701313,1,20718502,2981765,1467682,1919080,0,0,0,0,,0,,0,6368527,0,20537993,0,5602643,0,4490975,66696,7214,969912,31675433,38043960,0,0,0,0,0,38043960,8253483,4829092,0,0,22552,0,1025289,577682,2657747,1373383,4067113,1549783,3347472,0,0,,,,,653116,0,20026772,8329940,1365348,2240348,1471885,160504,6458747,1,345699,9601000,3770000,2409039,1,307417,3895157,4369738,1722719,2479608,80750,2552417,0,0,607900,5720675,2373203,0,2373203,3347472,1432310,1432310,0,30403,30403,0,302590,302590,0,0,0,0,0,0,0,607900,607900,0,1,146977,144975,-2002,0,276,0,-2278,16697329,38043960,16697299,19056747,7731993,5622243,18706880
100812,30277415,44152527,7781391,51933918,82211333,12001687,1474000,7803132,9277132,6218000,35698049,41916049,51193181,16188956,33818495,954335,200000,-8141947,26830883,2593856,2633789,53344126,4222665,2611763,65406199,21253672,0,0,48439493,43358613,5080880,21750003,0,26830883,14973463,5151018,3613307,0,0,0,408000,0,0,0,0,24145788,0,19349390,0,5333254,0,0,0,-1192329,803390,24293705,48439493,0,0,0,0,0,48439493,19201167,12971113,0,0,0,0,3682605,2149827,3730367,2411034,9244687,3767585,5448299,439295,185704,0,0,0,0,1612193,0,43358613,21485263,6855561,1873339,1212432,207313,11724705,1,2225429,24931000,7908000,7351975,1,-613236,9475316,8280956,4473262,5333254,3166767,579726,0,0,757278,9837025,4388726,0,4388726,5448299,2094377,2094377,0,1107910,1107910,0,90594,90594,0,0,0,0,0,0,0,1095845,1095845,0,1,5701551,4982337,-719214,0,0,0,-719214,-19005512,48439493,5080880,26830883,-7187612,7692000,43358613
100830,23215564,97369361,89131747,186501108,209716672,32278687,134927,30964496,31099423,134410,147026909,147161319,178260742,34793246,22684617,30727131,5378064,-29848441,28941371,15407483,10835336,137049750,34579364,1858354,199730287,102360927,0,0,121477165,105810653,15666512,13250201,24658,28941371,39293170,1683396,2548967,61369,0,61369,7734228,0,1572126,0,651210,53544466,0,43666861,0,23206551,0,0,949495,0,0,67822907,121367373,0,0,109792,0,109792,121477165,37364196,22447899,738295,424776,3132053,1939182,5656920,3898238,10220522,5317866,11549870,6517184,9729533,6788744,1647477,0,0,0,0,20630520,1305565,105810653,43498187,12034835,7221542,5529899,2300464,35225726,1,-498153,55980170,15528225,14810694,1,-174807,22083644,19265021,17467993,9363756,6324354,196468,0,1676228,10676042,28236848,16560085,1947230,18507315,9729533,9363756,8378557,985199,512945,458976,53969,196468,175797,20671,0,0,0,1936749,1732976,203773,6497397,5813779,683618,1,64217660,57070175,-7147485,895235,-5303621,-2739100,1,15556720,121367373,15666512,28941371,878690,74589652,105810653
100858,307029186,2007300890,1802457291,3809758181,4116787367,396747211,61811213,416276857,478088070,1134798599,964946556,2099745155,2577833225,406407157,1390254690,220957551,25234617,-107152662,1529294196,214007492,289763115,2357983527,534834093,146822560,3543410787,1336293981,0,3467291,1201744560,1266871197,-65126637,1595106792,-685959,1529294196,507624046,141755912,16094493,21211331,2763472,18447859,198268014,0,58340496,0,18495225,961789517,0,289742794,0,16330225,0,0,52178255,-130507169,0,227744105,1189533622,0,12029012,181926,0,12210938,1201744560,251264353,142452131,263777680,125563773,115481749,51703433,159868807,88655444,44463981,20094191,110677682,61085815,17085757,230602646,62596468,0,0,0,0,73648542,0,1266871197,552151255,175573195,130632911,105512727,36361685,266639424,1,67456869,599044361,178953005,166036980,1,5993536,284479568,221547746,199824068,15957869,1519065,131274,2947,61511807,97703794,176826756,150555527,9185472,159740999,17085757,15957869,15040255,917614,4135414,3897618,237796,394444,371763,22681,0,0,0,27083021,25525686,1557335,112170251,105720205,6450046,1,993955140,911152148,-82802992,50025692,-94733790,-38094895,1,-77337575,1189533622,-65126637,1529294196,116804889,1196609812,1266871197
101028,8853089,19731783,0,19731783,28584872,4552647,0,2203840,2203840,5855000,12589796,18444796,20648636,6171999,13876783,19698,30000,-7609597,6316884,506000,1806374,25667314,4083948,169586,32233222,12549239,47800,0,23992360,18418549,5573811,568259,174814,6316884,3500944,2738074,1274795,0,0,0,0,,0,,3387588,10901401,0,8272863,0,4813532,0,0,0,4564,0,13090959,23992360,0,0,0,0,0,23992360,5060731,3938692,0,0,0,0,787170,530871,2198942,1439727,3179431,1471556,4870313,0,0,,,,,2321962,406131,18418549,7786977,1693860,4527484,774092,166906,3469230,1,755000,8551000,2850982,2674933,1,-237464,3663684,3321017,1877714,3216906,1517427,1274795,0,0,1989415,7998543,3128230,0,3128230,4870313,2082140,2082140,0,478834,478834,0,0,0,0,0,0,0,0,0,0,567256,567256,0,1,49698,49698,0,0,0,0,0,-7299569,23992360,5573812,6276253,19698,5855000,18200970
101143,28186014,25998141,0,25998141,54184155,5154015,189630,3231133,3420763,4595507,15465538,20061045,23481808,7752451,21504318,0,17239,6582354,28103911,857453,4134361,28167908,10184637,5485059,48829418,22850920,0,19643,30581901,26504511,4077390,24282799,-256278,28103911,4110812,4399670,4720235,43995,43995,0,17191,,0,,2600,13294503,0,10639652,0,6450764,0,0,31301,59188,106493,17287398,30581901,0,0,0,0,0,30581901,8614133,5779458,0,0,1209994,95888,845317,321508,3251159,1783553,4715884,1623621,7480086,0,0,,,,,387938,0,26504511,9604028,1951148,1564696,1301959,127715,11954965,1,775000,10662000,3361000,2863906,1,-387183,4365906,4391451,2204340,3900536,2767433,1373312,0,0,3322561,11363842,3883756,0,3883756,7480086,3883756,3883756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17221,17239,18,0,0,0,18,4250927,30542713,3821112,28103911,28186014,25998141,26504511
100654,140845210,213647087,0,213647087,354492297,34808821,0,54538350,54538350,47330016,125328260,172658276,227196626,30095027,125378711,4965785,0,1664969,132009465,5598193,0,246343454,45424955,58879738,356246340,152914822,0,10315569,213968238,220191717,-6223479,138232944,0,132009465,52768565,50875247,1431067,0,0,0,26518907,0,1272445,0,1715100,134581331,4151771,53817222,0,18071287,0,0,3000000,93797,0,79134077,213715408,0,0,0,252830,252830,213968238,34969711,25714782,13021062,5916003,14694606,6709878,6216069,3888151,55109188,5342792,23566167,6513039,33292674,22524273,4856948,0,0,0,0,16797967,3191878,220191717,62133471,18167508,1716718,6972369,442520,130759131,1,8288567,86756000,3365000,20211803,1,2902635,35751021,26730027,14597018,18071287,10886800,310064,0,0,28058233,57326384,24033710,0,24033710,33292674,0,0,0,89275,89275,0,23450,23450,0,0,0,0,0,0,0,23920985,23920985,0,2,,,,,,,,34456945,213968238,-6223479,138232944,6630754,18492073,220191717
