UNITID,F3A01,F3A01A,F3A01B,F3A01C,F3A02,F3A02A,F3A03,F3A04,F3A05,F3A06,F3A07,F3A08,F3A09,F3A10,F3A11,F3A12,F3B01,F3B02,F3B03,F3B04,F3B05,F3B06,F3B07,F3B08,F3C01,F3C02,F3C03,F3C03A,F3C03B,F3C04,F3C05,F3C06,F3C07,F3C08,F3C12,F3C121,F3C122,F3C13,F3C131,F3C132,F3C14,F3C141,F3C142,F3C15,F3C151,F3C152,F3C16,F3C161,F3C162,F3C17,F3C171,F3C172,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D03D,F3D04,F3D05,F3D06,F3D07,F3D12,F3D08,F3D09,F3E011,F3E012,F3E02A1,F3E02A2,F3E02B1,F3E02B2,F3E03A1,F3E03A2,F3E03B1,F3E03B2,F3E03C1,F3E03C2,F3E041,F3E042,F3E051,F3E101,F3E102,F3E061,F3E062,F3E071,F3E072,F3E073,F3E074,F3E075,F3E076,F3E077,F3F01,F3F02,F3F03,F3G01,F3G02,F3G03,F3G04,F3G05,F3G06,F3G07
101116,2865382,0,819082,0,338245,0,2527137,2865382,0,1247300,412894,0,134740,1794934,975852,819082,5850359,6495658,0,-645299,954479,2218958,-1001,2527137,1062403,476721,132380,132380,0,556291,2227795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070933,1539124,0,1539124,132380,0,132380,0,0,0,0,0,104183,0,3739,5850359,2432459,1314281,0,0,0,0,165393,114902,755808,678166,2910487,253772,0,0,0,0,0,231511,182881,6495658,2544002,143417,1396568,234901,0,2176770,0,0,1,-645299,5850359,2527137,2865382,954479,0,6495658
101277,,,,,,,,,,,,,,,,,,,,,,,,,351570,0,0,0,0,0,351570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712708,0,0,0,0,0,0,0,0,0,0,96375,,,0,809083,233354,117348,0,0,0,0,23552,23552,17924,17924,277575,115004,,,0,,,0,0,552405,273828,8011,174458,3811,0,92297,,,-2,,,,,,,
102845,42184017,0,964233,1389277,3632201,0,38551816,42184017,0,9261520,7752942,4250,0,17018712,16054479,964233,42171107,42926506,-236738,-992137,0,39543953,0,38551816,10793862,4354207,1713431,1291426,422005,6023607,22885107,6023607,0,6023607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6023607,6023607,0,42079759,0,0,0,0,0,0,0,0,0,91348,0,0,0,0,42171107,15785897,7692505,0,0,0,0,3127602,2088707,15472611,6690156,7068724,3078107,0,0,0,0,0,1471672,70541,42926506,19620016,3873350,5310938,768915,0,13353287,0,0,1,-992137,42171107,38551816,42184017,36198306,0,42926506
103501,6342937,2396821,2469904,0,2255537,365168,4087400,6342937,450000,2775507,637441,0,1089784,4952732,2482828,2469904,5342408,4169730,0,1172678,0,3215392,-300670,4087400,1184109,422519,737768,737768,0,5500,2349896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4341845,0,0,0,0,0,0,0,0,0,904154,96409,0,,0,5342408,1744406,688029,0,0,0,0,2245616,1042237,144108,142594,35600,20775,0,0,0,,,0,0,4169730,1893635,49110,31073,0,0,2195912,,,-2,0,5342408,4087400,6342937,1117496,365168,4169730
103741,,,,,,,,,,,,,,,,,,,,,,,,,676220,254973,75384,75384,0,36994,1043571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548620,0,0,0,0,0,0,0,0,0,0,104436,,,247737,1900793,1109822,374400,0,0,0,0,0,0,37996,32259,199979,133000,,,0,,,1,0,1347798,539659,95985,383804,10331,0,318019,,,-2,,,,,,,
103893,,,,,,,,,,,,,,,,,,,,,,,,,4566341,36200,0,0,0,4190,4606731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16543969,4602541,0,4602541,0,0,0,0,0,4190,0,0,0,,44223,21194923,7222756,3728672,0,0,0,0,236255,62516,2472172,1354515,7781840,1599036,0,0,0,,,0,0,17713023,6744739,625166,436092,370271,28,9536727,,,-2,,,,,,,
103909,,,,,,,,,,,,,,,,,,,,,,,,,2061078,42650,0,0,0,0,2103728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8989819,2103728,0,2103728,0,0,0,0,0,0,0,0,0,,34871,11128418,5249193,2914892,0,0,0,0,56903,9047,1281747,815190,4592479,1247840,0,0,0,,,0,0,11180322,4986969,516561,431055,93655,0,5152082,,,-2,,,,,,,
103927,,,,,,,,,,,,,,,,,,,,,,,,,2177862,56500,0,0,0,0,2234362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5694897,2234362,0,2234362,0,0,0,0,0,0,0,0,0,,53529,7982788,2926398,1594813,0,0,0,0,129292,47819,990458,584372,3050349,888557,0,0,0,,,0,0,7096497,3115561,298711,192244,294689,0,3195292,,,-2,,,,,,,
103954,,,,,,,,,,,,,,,,,,,,,,,,,188375,10943,0,0,0,0,199318,500,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,0,489383,0,0,0,0,0,0,0,0,0,950,41965,,,0,532298,71014,71014,0,0,0,0,0,0,51004,51004,243135,138958,,,0,,,0,0,365153,260976,0,51437,0,950,51790,,,-2,,,,,,,
103963,1004224,201500,472154,0,616014,0,388210,1004224,0,922001,869199,0,0,1791200,1319046,472154,6638477,6794710,99130,-57103,131027,314286,0,388210,1696260,25534,0,0,0,0,1721794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6631844,0,0,0,0,0,0,0,0,0,0,0,0,,6633,6638477,2878315,1399201,0,0,0,0,604020,390226,374574,224281,653494,422902,0,0,0,,,2284307,0,6794710,2436610,486565,835726,83525,0,2952284,-2785000,200000,1,-57103,6638477,388210,1004224,-83944,0,6794710
