surveyNumber,OrderInSurvey,FileNumber,fileName,tableTitle,multiRecord,qualifyingField1,searchable,qualifyingField2,defaultValue1,defaultValue2,q1type,q2type,qualifyingField3,defaultValue3,q3type,permitLevel,caveat,showCodeValue1,showCodeValue2,showCodeValue3
1,1,1,"Directory","Directory information, institution classifications, and response status information",0,,"Y",,,,,,,,,1,,,,
1,2,2,"ICData","Student services",0,,"Y",,,,,,,,,1,,,,
3,6,3,"C_HD","Response status",0,,"Y",,,,,,,,,1,,,,
3,2,4,"Comp_A","Awards/degrees conferred by program (CIP), award level, race/ethnicity, and gender: July 1, 2020 to June 30, 2021",3,"CIPCODE","Y","AWLEVEL","99","5","A","N","MAJORNUM","1","N",1,,1,0,0
1,3,5,"StudentCharges","Student charges",0,,"Y",,,,,,,,,1,,,,
2,20,6,"EF_HD","Response status - Fall enrollment",0,,"Y",,,,,,,,,1,,,,
2,4,7,"EF_A","Race/ethnicity, gender, attendance status, and level of student:  Fall 2021",1,"EFALEVEL","Y",,"1",,"N",,,,,1,,0,,
2,5,8,"EF_CP","Major field of study, race/ethnicity, gender, attendance status, and level of student: Fall 2021",1,"EFCIPLEV","Y",,"101",,"N",,,,,4,,0,,
2,6,9,"EF_B","Age category, gender, attendance status, and level  of student:  Fall 2021",2,"LSTUDY","Y","EFBAGE","1","1","N","N",,,,1,,0,0,
2,7,10,"EF_C","Residence and migration of first-time freshman:  Fall 2021",1,"EFCSTATE","Y",,"99",,"N",,,,,1,,0,,
2,8,11,"EF_D","Total entering class:  Fall 2021",0,,"Y",,,,,,,,,1,,,,
14,16,12,"EFFY","12-month unduplicated headcount by race/ethnicity, gender and level of student: 2020-21",1,"EFFYALEV","Y",,"1",,"N",,,,,1,,0,,
14,18,13,"EFIA","12-month instructional activity: 2020-21",0,,"Y",,,,,,,,,1,,,,
14,19,14,"EFFYDIST","12-month unduplicated headcount by distance education status and student level: 2020-21",1,"EFFYDLEV","Y",,"1",,"N",,,,,1,,,,
4,5,15,"SAL_HD","Response status ",0,,"Y",,,,,,,,,1,,0,,
4,2,16,"SAL_IS","Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2021-22",1,"ARANK","Y",,"7",,"N",,,,,1,,0,0,
4,4,17,"SAL_NIS","Number and salary outlays for full-time nonmedical  noninstructional staff by occupation: Academic year 2021-22",0,,"Y",,,,,,,,,1,,0,0,
5,8,18,"S_HD","Response status",0,,"Y",,,,,,,,,1,,0,,
5,2,19,"S_OC","Number of staff by occupational category, race/ethnicity, and gender:  Fall 2021",1,"STAFFCAT","Y",,"1100",,"N",,,,,1,,0,,
5,5,20,"S_IS","Full-time instructional staff, by faculty and tenure status, academic rank, race/ethnicity, and gender: Fall 2021",1,"SISCAT","Y",,"1",,"N",,,,,1,,0,,
5,6,21,"S_NH","New hires by occupational category, race/ethnicity, and gender (Degree-granting institutions):  Fall 2021",1,"SNHCAT","Y",,"13",,"N",,,,,1,,0,,
5,4,22,"S_SIS","Full-time instructional staff, by faculty and tenure status, and academic rank: Fall 2021",1,"FACSTAT","Y",,"0",,"N",,,,,1,,,,
11,3,23,"EAPHD","Response status",0,,"Y",,,,,,,,,1,,,,
11,2,24,"EAP","Number of staff by occupation, faculty and tenure status:  Fall 2021",1,"EAPCAT","Y",,"10000",,"N",,,,,1,,0,,
2,9,25,"EF_D1","Retention rates for the 2020 cohort, by attendance status:  Fall 2021",0,,"Y",,,,,,,,,1,,,,
6,8,26,"F_HD","Response status for all institutions",0,,"Y",,,,,,,,,1,,0,0,0
6,6,28,"F_FASB","Private not-for-profit institutions or Public institutions using FASB:  Fiscal year 2021",0,,"Y",,,,,,,,,1,,0,0,0
6,7,29,"F_F3","Private for-profit institutions:  Fiscal year 2021",0,,"Y",,,,,,,,,1,,0,0,0
6,3,35,"F_GASB","Public institutions - GASB 34/35:  Fiscal year 2021",0,,"Y",,,,,,,,,1,,0,0,0
7,6,38,"SFAHD","Response status  ",0,,"Y",,,,,,,,,1,,0,0,0
7,1,39,"SFA","Financial aid for all undergraduates and full-time, first-time, degree/certificate-seeking undergraduate students, 2020-21",0,,"Y",,,,,,,,,1,,0,0,0
8,5,40,"GR200","Graduation rate data, 200% of normal time to complete - cohort year 2013 (4-year) and cohort year 2017 (less-than-4-year)  institutions",0,,"Y",,,,,,,,,1,,,,
8,7,41,"GRHD","Response status ",0,,"Y",,,,,,,,,1,,0,0,0
8,2,42,"GR4YR2YR","Graduation rate data, 150% of normal time to complete  - cohort year 2015 (4-year) and cohort year 2018 (2-year)  institutions",1,"GRTYPE","Y",,"1",,"N",,,,,1,,0,,
8,3,45,"GRL2","Graduation rate data, 150% of normal time to complete -  cohort year 2018 (less-than-2-year institutions)",0,,"Y",,,,,,,,,1,,0,0,0
18,3,47,"OMHD","Response status - Outcome measures",0,,"Y",,,,,,,,,1,,,,
18,2,48,"OM","Award and enrollment data of entering degree/certificate-seeking undergraduate cohorts from 2013-14 at degree-granting institutions, by Pell status",1,"OMCHRT","Y",,"1",,"N",,,,,1,,0,,
10,2,49,"FREQ_IC_ADM","Selectivity and admissions yield",0,,"Y",,,,,,,,,1,,,,
10,3,50,"FREQ_IC_COST","Total cost of attendance",0,,"Y",,,,,,,,,1,,,,
10,1,51,"Freq_IC","Institutions",0,,"Y",,,,,,,,,1,,,,
10,6,53,"Freq_EF_Fall","Enrollment and retention rates: Fall 2021",0,,"Y",,,,,,,,,1,,,,
10,7,54,"Freq_EF_12MN","12-month enrollment: 2020-21",0,,"Y",,,,,,,,,1,,,,
10,9,55,"FREQ_C","Degrees/awards: July 1, 2020 to June 30, 2021",0,,"Y",,,,,,,,,1,,,,
10,10,56,"Freq_GR","Graduation rates",0,,"Y",,,,,,,,,1,,,,
10,4,57,"FREQ_SFA","Student financial aid of full-time first-time degree or certificate-seeking undergraduate students: 2020-21",0,,"Y",,,,,,,,,1,,,,
10,12,58,"FREQ10_F","Revenues and expenditures: Fiscal year 2021",0,,"Y",,,,,,,,,1,,,,
10,13,59,"FREQ_HR","Average salaries and full-time equivalent staff: Fall 2021",0,,"Y",,,,,,,,,1,,,,
2,1,61,"EFFREQfall","Frequently used enrollment variables: Fall 2021",0,,"Y",,,,,,,,,1,,,,
14,2,62,"EFFREQ12MN","Frequently used enrollment variables: 2020-21",0,,"Y",,,,,,,,,1,,,,
