UNITID,BAREVCT,BAEXCLU,BAAC150,BANC100,BAGR100,BANC150,BAGR150,BAAEXCL,BAAC200,BANC200A,BASTEND,BANC200,BAGR200,L4REVCT,L4EXCLU,L4AC150,L4NC100,L4GR100,L4NC150,L4GR150,L4AEXCL,L4AC200,L4NC200A,L4STEND,L4NC200,L4GR200
100654,1001,3,998,105,11,286,29,0,998,33,21,319,32,,,,,,,,,,,,,
100663,1718,4,1714,654,38,1048,61,1,1713,40,15,1088,64,,,,,,,,,,,,,
100690,4,0,4,1,25,1,25,0,4,0,0,1,25,,,,,,,,,,,,,
100706,714,0,714,222,31,408,57,0,714,30,12,438,61,,,,,,,,,,,,,
100724,1067,0,1067,156,15,339,32,0,1067,31,5,370,35,,,,,,,,,,,,,
100751,6794,3,6791,3552,52,4899,72,0,6791,79,30,4978,73,,,,,,,,,,,,,
100760,,,,,,,,,,,,,,315,0,315,43,14,69,22,0,315,16,5,85,27
100830,557,1,556,53,10,169,30,0,556,20,11,189,34,,,,,,,,,,,,,
100858,4552,3,4549,2325,51,3580,79,0,4549,66,20,3646,80,,,,,,,,,,,,,
100937,352,1,351,228,65,249,71,0,351,0,0,249,71,,,,,,,,,,,,,
101028,,,,,,,,,,,,,,329,0,329,29,9,52,16,0,329,4,18,56,17
101116,17,0,17,2,12,3,18,0,17,0,0,3,18,,,,,,,,,,,,,
101143,,,,,,,,,,,,,,317,0,317,58,18,95,30,0,317,17,6,112,35
101161,,,,,,,,,,,,,,1441,0,1441,266,18,362,25,0,1441,28,27,390,27
101189,373,3,370,59,16,101,27,0,370,3,2,104,28,,,,,,,,,,,,,
101240,,,,,,,,,,,,,,865,0,865,165,19,234,27,0,865,55,71,289,33
101277,,,,,,,,,,,,,,30,0,30,4,13,22,73,0,30,0,0,22,73
101286,,,,,,,,,,,,,,659,0,659,100,15,172,26,0,659,45,0,217,33
101295,,,,,,,,,,,,,,934,0,934,303,32,416,45,0,934,24,24,440,47
101301,,,,,,,,,,,,,,279,1,278,60,22,98,35,0,278,13,12,111,40
101365,2,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
101435,227,0,227,74,33,95,42,0,227,0,0,95,42,,,,,,,,,,,,,
101453,2,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
101462,,,,,,,,,,,,,,74,0,74,7,9,10,14,0,74,0,1,10,14
101471,,,,,,,,,,,,,,203,0,203,16,8,44,22,0,203,0,0,44,22
101480,1169,0,1169,252,22,532,46,0,1169,39,29,571,49,,,,,,,,,,,,,
101505,,,,,,,,,,,,,,1029,0,1029,83,8,220,21,0,1029,53,135,273,27
101514,,,,,,,,,,,,,,1182,0,1182,219,19,379,32,0,1182,92,56,471,40
101569,,,,,,,,,,,,,,678,2,676,95,14,167,25,0,676,27,35,194,29
101587,310,0,310,100,32,130,42,0,310,22,1,152,49,,,,,,,,,,,,,
101602,,,,,,,,,,,,,,431,0,431,108,25,178,41,0,431,79,0,257,60
101648,,,,,,,,,,,,,,230,0,230,77,33,80,35,0,230,0,0,80,35
101675,485,0,485,69,14,114,24,0,485,9,4,123,25,,,,,,,,,,,,,
101693,273,2,271,88,32,131,48,1,270,3,7,134,50,,,,,,,,,,,,,
101709,530,0,530,185,35,287,54,0,530,6,1,293,55,,,,,,,,,,,,,
101736,,,,,,,,,,,,,,639,0,639,93,15,166,26,0,639,43,43,209,33
101879,931,0,931,247,27,465,50,0,931,28,14,493,53,,,,,,,,,,,,,
101897,,,,,,,,,,,,,,474,0,474,171,36,239,50,0,474,26,12,265,56
101912,367,0,367,100,27,183,50,0,367,4,3,187,51,,,,,,,,,,,,,
101994,,,,,,,,,,,,,,78,0,78,15,19,21,27,0,78,3,0,24,31
102030,,,,,,,,,,,,,,624,0,624,133,21,172,28,0,624,9,6,181,29
102049,728,0,728,481,66,562,77,0,728,11,0,573,79,,,,,,,,,,,,,
102067,,,,,,,,,,,,,,757,0,757,120,16,208,27,0,757,36,46,244,32
102076,,,,,,,,,,,,,,449,0,449,122,27,208,46,0,449,11,13,219,49
102094,2030,0,2030,537,26,908,45,0,2030,49,28,957,47,,,,,,,,,,,,,
102234,362,0,362,165,46,206,57,0,362,5,1,211,58,,,,,,,,,,,,,
102270,265,0,265,26,10,56,21,0,265,0,0,56,21,,,,,,,,,,,,,
102298,225,0,225,26,12,58,26,0,225,2,0,60,27,,,,,,,,,,,,,
