UNITID,PSGRTYPE,PGREVCT,PGEXCLU,PGADJCT,PGCMBAC,PGCMOBA,PGCMTOT,SSREVCT,SSEXCLU,SSADJCT,SSCMBAC,SSCMOBA,SSCMTOT,NRREVCT,NREXCLU,NRADJCT,NRCMBAC,NRCMOBA,NRCMTOT,TTREVCT,TTEXCLU,TTADJCT,TTCMBAC,TTCMOBA,TTCMTOT
100654,1,933,0,933,261,0,261,85,0,85,27,0,27,204,0,204,55,0,55,1222,0,1222,343,0,343
100663,1,539,1,538,271,2,273,214,1,213,120,0,120,840,1,839,600,0,600,1593,3,1590,991,2,993
100690,1,8,0,8,3,0,3,0,0,0,0,0,0,1,0,1,1,0,1,9,0,9,4,0,4
100706,1,260,0,260,124,0,124,118,0,118,58,0,58,648,0,648,441,0,441,1026,0,1026,623,0,623
100724,1,764,0,764,202,0,202,78,0,78,31,0,31,164,0,164,53,0,53,1006,0,1006,286,0,286
100751,1,1277,1,1276,696,0,696,1199,2,1197,807,0,807,4700,4,4696,3675,0,3675,7176,7,7169,5178,0,5178
100830,1,288,2,286,88,0,88,68,0,68,22,0,22,212,0,212,92,0,92,568,2,566,202,0,202
100858,1,620,1,619,410,0,410,671,0,671,521,0,521,3564,6,3558,2990,0,2990,4855,7,4848,3921,0,3921
100937,1,92,0,92,52,0,52,83,0,83,55,0,55,266,0,266,201,0,201,441,0,441,308,0,308
101116,1,21,1,20,2,0,2,4,0,4,0,0,0,4,0,4,1,0,1,29,1,28,3,0,3
101189,1,169,0,169,17,4,21,42,0,42,14,1,15,70,0,70,15,1,16,281,0,281,46,6,52
101365,1,14,0,14,3,0,3,5,0,5,1,2,3,5,1,4,2,1,3,24,1,23,6,3,9
101435,1,121,1,120,53,0,53,58,0,58,28,0,28,73,0,73,30,0,30,252,1,251,111,0,111
101453,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0
101480,1,449,0,449,185,0,185,118,0,118,60,0,60,454,0,454,262,0,262,1021,0,1021,507,0,507
101587,1,218,0,218,62,15,77,71,0,71,27,4,31,130,0,130,48,8,56,419,0,419,137,27,164
101675,1,376,0,376,87,0,87,24,0,24,7,0,7,23,0,23,7,0,7,423,0,423,101,0,101
101693,1,121,0,121,52,0,52,60,0,60,36,0,36,103,0,103,56,2,58,284,0,284,144,2,146
101709,1,211,0,211,108,0,108,72,0,72,32,0,32,218,0,218,119,0,119,501,0,501,259,0,259
