UNITID,GRCHRTYR,GRTOTLT,GRGNDRUN,GRGNDRAN,GRGNDRUA,GRGNDRKN
100654,1,1407,0,,0,1407
100663,1,1948,0,,0,1948
100690,1,2,0,0,0,2
100706,1,1193,0,,0,1193
100724,1,1143,0,0,0,1143
100751,1,7541,0,,0,7541
100830,1,558,0,0,0,558
100858,1,4487,0,,0,4487
100937,1,328,0,,0,328
101116,1,22,0,,0,22
101189,1,297,0,,0,297
101365,1,10,0,,0,10
101435,1,277,0,,0,277
101453,1,1,0,0,0,1
101480,1,1294,0,,0,1294
101587,1,377,0,0,0,377
101675,1,428,0,,0,428
101693,1,223,0,,0,223
101709,1,473,0,,0,473
101879,1,1176,0,,0,1176
101912,1,390,0,,0,390
102049,1,916,0,0,0,916
102094,1,1955,0,,0,1955
102234,1,385,0,,0,385
102270,1,125,0,0,0,125
102298,1,136,0,,0,136
102368,1,1830,0,,0,1830
102377,1,654,0,,0,654
102553,1,1322,1,,1,1321
102580,1,4,0,,0,4
102614,1,670,1,,1,669
102632,1,118,0,,0,118
102669,1,39,0,0,0,39
102845,1,1493,105,,105,1388
104090,1,190,0,,0,190
104151,1,11435,0,0,0,11435
104179,1,5997,0,,0,5997
104586,1,599,0,,0,599
104717,1,2353,2,,2,2351
105297,1,116,0,,0,116
105330,1,5010,0,,0,5010
105534,1,697,1,,1,696
105589,1,47,0,,0,47
105899,1,128,0,,0,128
106245,1,768,0,,0,768
106306,1,266,0,,0,266
106342,1,201,0,0,0,201
106397,1,4938,0,,0,4938
106412,1,763,0,0,0,763
106458,1,1609,0,,0,1609
106467,1,1819,0,,0,1819
106485,1,489,0,0,0,489
106704,1,1867,0,,0,1867
106713,1,125,0,,0,125
106810,1,84,0,,0,84
107044,1,1013,0,,0,1013
107071,1,742,0,0,0,742
107080,1,352,0,0,0,352
107141,1,323,0,,0,323
107512,1,395,0,,0,395
107558,1,189,0,,0,189
107600,1,279,0,0,0,279
107877,1,109,0,,0,109
107983,1,845,1,0,1,844
108092,1,941,0,,0,941
108232,1,618,0,0,0,618
109350,1,1100,15,0,15,1085
109651,1,216,0,0,0,216
109785,1,1131,0,0,0,1131
109819,1,1984,67,0,67,1917
110060,1,23,0,,0,23
110097,1,863,0,,0,863
110219,1,362,0,,0,362
110361,1,1117,0,0,0,1117
110370,1,255,0,,0,255
110404,1,235,0,,0,235
110413,1,638,0,,0,638
110422,1,4321,0,,0,4321
110486,1,1290,0,,0,1290
110495,1,1330,0,,0,1330
110510,1,2736,0,,0,2736
110529,1,4079,0,,0,4079
110538,1,2725,0,,0,2725
110547,1,1257,0,,0,1257
