UNITID,LINE_10,LINE_45,LINE_50,LINE_55,LINE_11,LINE_30,LINE_51,LINE_52,PGLIN10,PGLIN45,PGLIN50,PGLIN11,SSLIN10,SSLIN45,SSLIN50,SSLIN11,NRLIN10,NRLIN45,NRLIN50,NRLIN11
101277,75,0,75,18,44,0,0,31,34,0,34,16,6,0,6,4,35,0,35,24
102711,84,0,84,72,72,0,0,12,31,0,31,31,2,0,2,2,51,0,51,39
103741,56,0,56,1,32,0,0,24,53,0,53,30,1,0,1,1,2,0,2,1
103954,7,0,7,4,4,0,0,3,7,0,7,4,0,0,0,0,0,0,0,0
104391,35,0,35,6,26,0,1,8,18,0,18,18,5,0,5,5,12,0,12,3
104443,22,0,22,1,8,0,0,14,18,0,18,7,1,0,1,0,3,0,3,1
104568,176,0,176,81,114,0,0,62,75,0,75,34,9,0,9,8,92,0,92,72
105677,20,0,20,19,19,0,0,1,3,0,3,2,5,0,5,5,12,0,12,12
106315,2,0,2,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0
106324,23,0,23,7,11,0,1,11,11,0,11,9,1,0,1,1,11,0,11,1
106351,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
106360,19,0,19,3,12,4,3,0,16,0,16,10,1,0,1,1,2,0,2,1
106494,20,0,20,2,10,1,0,9,19,0,19,10,0,0,0,0,1,0,1,0
106908,104,0,104,5,65,0,1,38,74,0,74,39,11,0,11,8,19,0,19,18
107099,19,0,19,0,16,0,0,3,16,0,16,13,3,0,3,3,0,0,0,0
107220,81,0,81,29,52,0,0,29,71,0,71,45,5,0,5,4,5,0,5,3
107293,30,0,30,0,16,0,0,14,30,0,30,16,0,0,0,0,0,0,0,0
107442,13,0,13,0,6,0,0,7,13,0,13,6,0,0,0,0,0,0,0,0
107488,172,0,172,7,120,2,48,2,58,0,58,58,0,0,0,0,114,0,114,62
107655,16,0,16,1,7,0,1,8,13,0,13,5,0,0,0,0,3,0,3,2
107789,42,0,42,2,27,0,0,15,25,0,25,15,8,0,8,5,9,0,9,7
107831,18,1,17,1,6,0,0,11,15,1,14,4,2,0,2,1,1,0,1,1
108065,14,0,14,4,10,1,0,3,14,0,14,10,0,0,0,0,0,0,0,0
108977,30,0,30,4,12,0,0,18,24,0,24,9,2,0,2,1,4,0,4,2
109721,252,0,252,196,207,0,0,45,232,0,232,206,0,0,0,0,20,0,20,1
109730,37,0,37,19,24,0,1,12,36,0,36,24,0,0,0,0,1,0,1,0
110194,190,0,190,152,166,0,0,24,152,0,152,132,27,0,27,26,11,0,11,8
110875,18,0,18,17,17,0,1,0,14,0,14,14,1,0,1,1,3,0,3,2
111054,17,1,16,0,13,0,0,3,6,1,5,3,1,0,1,1,10,0,10,9
111513,38,0,38,0,28,0,0,10,21,0,21,13,0,0,0,0,17,0,17,15
111708,81,0,81,4,64,0,0,17,42,0,42,28,8,0,8,7,31,0,31,29
111717,80,0,80,0,38,0,0,42,54,0,54,33,7,0,7,3,19,0,19,2
111726,79,0,79,0,65,0,0,14,49,0,49,40,0,0,0,0,30,0,30,25
111744,69,1,68,1,37,0,0,31,64,0,64,34,2,0,2,2,3,1,2,1
111762,64,0,64,0,45,0,0,19,25,0,25,19,1,0,1,1,38,0,38,25
111799,83,0,83,0,44,0,0,39,41,0,41,20,1,0,1,0,41,0,41,24
112181,83,0,83,4,32,0,0,51,38,0,38,18,17,0,17,4,28,0,28,10
112288,289,0,289,4,121,0,0,168,264,0,264,116,9,0,9,2,16,0,16,3
112367,249,0,249,180,180,0,69,0,156,0,156,156,0,0,0,0,93,0,93,24
112455,35,0,35,3,17,0,0,18,26,0,26,11,2,0,2,0,7,0,7,6
