UNITID,TUITION1,FEE1,HRCHG1,TUITION2,FEE2,HRCHG2,TUITION3,FEE3,HRCHG3,TUITION5,FEE5,HRCHG5,TUITION6,FEE6,HRCHG6,TUITION7,FEE7,HRCHG7,ISPROF1,ISPFEE1,OSPROF1,OSPFEE1,ISPROF2,ISPFEE2,OSPROF2,OSPFEE2,ISPROF3,ISPFEE3,OSPROF3,OSPFEE3,ISPROF4,ISPFEE4,OSPROF4,OSPFEE4,ISPROF5,ISPFEE5,OSPROF5,OSPFEE5,ISPROF6,ISPFEE6,OSPROF6,OSPFEE6,ISPROF7,ISPFEE7,OSPROF7,OSPFEE7,ISPROF8,ISPFEE8,OSPROF8,OSPFEE8,ISPROF9,ISPFEE9,OSPROF9,OSPFEE9,CHG1AT0,CHG1AF0,CHG1AY0,CHG1AT1,CHG1AF1,CHG1AY1,CHG1AT2,CHG1AF2,CHG1AY2,CHG1AT3,CHG1AF3,CHG1AY3,CHG1TGTD,CHG1FGTD,CHG2AT0,CHG2AF0,CHG2AY0,CHG2AT1,CHG2AF1,CHG2AY1,CHG2AT2,CHG2AF2,CHG2AY2,CHG2AT3,CHG2AF3,CHG2AY3,CHG2TGTD,CHG2FGTD,CHG3AT0,CHG3AF0,CHG3AY0,CHG3AT1,CHG3AF1,CHG3AY1,CHG3AT2,CHG3AF2,CHG3AY2,CHG3AT3,CHG3AF3,CHG3AY3,CHG3TGTD,CHG3FGTD,CHG4AY0,CHG4AY1,CHG4AY2,CHG4AY3,CHG5AY0,CHG5AY1,CHG5AY2,CHG5AY3,CHG6AY0,CHG6AY1,CHG6AY2,CHG6AY3,CHG7AY0,CHG7AY1,CHG7AY2,CHG7AY3,CHG8AY0,CHG8AY1,CHG8AY2,CHG8AY3,CHG9AY0,CHG9AY1,CHG9AY2,CHG9AY3
101675,11164,1550,470,11164,1550,470,11164,1550,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10632,1500,12132,11164,1300,12464,11164,1550,12714,11164,1550,12714,,,10632,1500,12132,11164,1300,12464,11164,1550,12714,11164,1550,12714,,,10632,1500,12132,11164,1300,12464,11164,1550,12714,11164,1550,12714,,,200,250,250,250,7254,7348,7348,7348,2832,2832,2832,2832,10845,10845,10845,10845,2992,2992,2992,2992,2992,2992,2992,2992
101693,23160,1695,830,23160,1695,830,23160,1695,830,11260,380,550,11260,380,550,11260,380,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21620,1610,23230,22250,1610,23860,22700,1610,24310,23160,1695,24855,,,21620,1610,23230,22250,1610,23860,22700,1610,24310,23160,1695,24855,,,21620,1610,23230,22250,1610,23860,22700,1610,24310,23160,1695,24855,,,1800,1800,1800,1800,9600,9700,9886,10088,4750,4750,4750,4750,9000,9000,9000,9000,4800,4800,4800,4800,4800,4800,4800,4800
101709,12090,1620,403,12090,1620,403,25110,1620,837,10512,1404,438,10512,1404,438,25128,1404,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12090,670,12760,12090,1618,13708,12090,1620,13710,12090,1620,13710,,,12090,670,12760,12090,1618,13708,12090,1620,13710,12090,1620,13710,,,25110,670,25780,25110,1618,26728,25110,1620,26730,25110,1620,26730,,,1020,1020,1020,1020,9330,9810,9810,9936,3180,3180,3180,3180,9330,9810,9810,9810,3180,3180,5984,3180,3380,3380,6085,3380
101736,3690,1141,123,3690,1141,123,7380,1141,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,841,4711,3930,841,4771,3990,841,4831,3690,1141,4831,,,3870,841,4711,3930,841,4771,3990,841,4831,3690,1141,4831,,,7740,841,8581,7860,841,8701,7980,841,8821,7380,1141,8521,,,1785,2000,1600,1600,,,,,,,,,5500,5500,5625,5500,5230,4370,2460,4370,5230,5826,2310,3060
101879,9600,1020,320,9600,1020,320,19200,1020,640,6600,540,370,6600,540,370,13320,540,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8310,1832,10142,9600,1020,10620,9600,1020,10620,9600,1020,10620,,,8310,1832,10142,9600,1020,10620,9600,1020,10620,9600,1020,10620,,,16620,1832,18452,19200,1020,20220,19200,1020,20220,19200,1020,20220,,,1500,1500,1500,1500,7670,7830,7966,7966,2800,2800,2800,2800,7670,7830,7966,7966,2800,2800,2800,2800,2800,2800,2800,2800
101897,3690,1170,123,3690,1170,123,7380,1470,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,870,4740,3930,870,4800,3990,870,4860,3690,1170,4860,,,3870,870,4740,3930,870,4800,3990,870,4860,3690,1170,4860,,,7740,870,8610,7860,870,8730,7980,870,8850,7380,1470,8850,,,2400,2400,2400,2400,,,,,,,,,3500,3500,3500,3500,1000,1000,1000,2400,2000,2000,2000,2400
101912,18974,1016,767,18974,1016,767,18974,1016,767,13680,836,570,13680,836,570,13680,836,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18786,1006,19792,18974,1016,19990,18974,1016,19990,18974,1016,19990,,,18786,1006,19792,18974,1016,19990,18974,1016,19990,18974,1016,19990,,,18786,1006,19792,18974,1016,19990,18974,1016,19990,18974,1016,19990,,,1500,1500,1200,1200,9700,9374,9374,9374,6370,6900,6800,8000,9600,9374,10820,12840,6450,6900,7752,8370,6450,6900,6800,8000
101994,3690,1200,123,3690,1200,123,7380,1200,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,930,4800,3930,930,4860,3990,930,4920,3690,1200,4890,,,3870,930,4800,3930,930,4860,3990,930,4920,3690,1200,4890,,,7740,930,8670,7860,930,8790,7980,930,8910,7380,1200,8580,,,1125,1125,1125,1125,,,,,,,,,5000,5000,5000,5000,1500,1500,1500,1500,1500,1500,1500,1500
102030,3690,1170,123,3690,1170,123,7380,1170,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,870,4740,3930,870,4800,3990,870,4860,3690,1170,4860,,,3870,870,4740,3930,870,4800,3990,870,4860,3690,1170,4860,,,7740,870,8610,7860,870,8730,7980,870,8850,7380,1170,8550,,,1500,1500,2000,2000,,,,,,,,,3000,3000,4000,6150,3500,3500,2700,3000,3500,3500,2700,2700
102049,34410,950,1151,34410,950,1151,34410,950,1151,20935,640,906,20935,640,906,20935,640,906,,,,,,,,,,,,,,,,,,,,,34554,640,34554,640,,,,,,,,,22650,640,22650,640,30800,850,31650,32000,850,32850,33248,950,34198,34410,950,35360,,,30800,850,31650,32000,850,32850,33248,950,34198,34410,950,35360,,,30800,850,31650,32000,850,32850,33248,950,34198,34410,950,35360,,,1000,1000,1000,1000,10500,10980,11260,11260,4713,4804,4856,4894,9850,10800,11250,11250,5300,5350,5452,5490,5150,5250,5302,5340
