UNITID,CAMPUSID,PCINSTNM,PCADDR,PCCITY,PCSTABBR,PCZIP,PCFIPS,PCOBEREG,PCCHFNM,PCCHFTITLE,PCGENTELE,PCEIN,PCDUNS,PCOPEID,PCOPEFLAG,OLDUNITID,PCWEBADDR,PCADMINURL,PCFAIDURL,PCAPPLURL,PCNPRICURL,PCVETURL,PCATHURL,PCDISAURL,PCSECTOR,PCICLEVEL,PCCONTROL,PCHLOFFER,PCUGOFFER,PCGROFFER,PCHDEGOFR1,PCDEGGRANT,PCHBCU,PCTRIBAL,PCLOCALE,PCOPENPUBL,PCACT,PCCYACTIVE,PCPOSTSEC,PCPSEFLAG,PCPSET4FLG,PCCBSA,PCCBSATYPE,PCCSA,PCNECTA,PCCOUNTYCD,PCCOUNTYNM,PCCNGDSTCD,PCLONGITUD,PCLATITUDE,PCLEVEL1,PCLEVEL1A,PCLEVEL1B,PCLEVEL2,PCLEVEL3,PCLEVEL4,PCLEVEL5,PCLEVEL6,PCLEVEL7,PCLEVEL8,PCLEVEL17,PCLEVEL18,PCLEVEL19,PCFT_FTUG,PCALLONCAM,PCAPPLFEEU,PCROOM,PCCHG1AT0,PCCHG1AF0,PCCHG1AY0,PCCHG1AT1,PCCHG1AF1,PCCHG1AY1,PCCHG1AT2,PCCHG1AF2,PCCHG1AY2,PCCHG1AT3,PCCHG1AF3,PCCHG1AY3,PCCHG1TGTD,PCCHG1FGTD,PCCHG2AT0,PCCHG2AF0,PCCHG2AY0,PCCHG2AT1,PCCHG2AF1,PCCHG2AY1,PCCHG2AT2,PCCHG2AF2,PCCHG2AY2,PCCHG2AT3,PCCHG2AF3,PCCHG2AY3,PCCHG2TGTD,PCCHG2FGTD,PCCHG3AT0,PCCHG3AF0,PCCHG3AY0,PCCHG3AT1,PCCHG3AF1,PCCHG3AY1,PCCHG3AT2,PCCHG3AF2,PCCHG3AY2,PCCHG3AT3,PCCHG3AF3,PCCHG3AY3,PCCHG3TGTD,PCCHG3FGTD,PCCHG4AY0,PCCHG4AY1,PCCHG4AY2,PCCHG4AY3,PCCHG5AY0,PCCHG5AY1,PCCHG5AY2,PCCHG5AY3,PCCHG6AY0,PCCHG6AY1,PCCHG6AY2,PCCHG6AY3,PCCHG7AY0,PCCHG7AY1,PCCHG7AY2,PCCHG7AY3,PCCHG8AY0,PCCHG8AY1,PCCHG8AY2,PCCHG8AY3,PCCHG9AY0,PCCHG9AY1,PCCHG9AY2,PCCHG9AY3,PCCIPCODE1,PCCIPLGTH1,PCPRGMSR1,PCMTHCMP1,PCWKCMP1,PCLNAYHR1,PCLNAYWK1,PCCHG1PY0,PCCHG1PY1,PCCHG1PY2,PCCHG1PY3,PCCHG4PY0,PCCHG4PY1,PCCHG4PY2,PCCHG4PY3,PCCHG5PY0,PCCHG5PY1,PCCHG5PY2,PCCHG5PY3,PCCHG6PY0,PCCHG6PY1,PCCHG6PY2,PCCHG6PY3,PCCHG7PY0,PCCHG7PY1,PCCHG7PY2,PCCHG7PY3,PCCHG8PY0,PCCHG8PY1,PCCHG8PY2,PCCHG8PY3,PCCHG9PY0,PCCHG9PY1,PCCHG9PY2,PCCHG9PY3
106351,1,"Arkansas College of Barbering and Hair Design","9100 Rodney Parham  Suite 101","Little Rock","AR","72205-4949",5,5,"Gwendolyn Middleton","Campus President","5018916283","710455324 ","071265821","03023401  ",1,454254,"www.acbhd.edu/","www.acbhd.edu/","www.acbhd.edu/","https://www.acbhd.edu/","www.acbhd.edu/","https://www.acbhd.edu/","https://www.acbhd.edu/","www.acbhd.edu/",9,3,3,2,1,2,0,2,2,2,12,1,"A",1,1,1,1,30780,1,340,-2,5119,"Pulaski County",502,-92.375875,34.760221,1,0,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.0402",1500,1,10,40,900,30,18400,19400,19400,19050,1496,2000,2000,2000,,,,,,,,,10550,10550,10550,10550,5190,5190,5190,5710,5990,5990,5990,6220
107044,1,"Harding School of Theology","1000 Cherry Road","Memphis","TN","38117-5499",47,5,"Jim Martin","Vice President, Harding School of Theology","9017611352","710236896 ","078567609","00109702  ",1,107035,"hst.edu/"," ","www.harding.edu/finaid/","hst.edu/apply-online/"," ","harding.edu/registrar/va"," ","hst.edu/legal/",2,1,2,9,2,1,12,1,2,2,11,1,"A",1,1,1,1,32820,1,368,-2,47157,"Shelby County",4709,-89.914472,35.104130,0,0,0,0,0,0,0,0,1,0,1,0,0,2,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107220,1,"Career Academy of Hair Design-Siloam Springs","821 S Mount Olive","Siloam Springs","AR","72761-4217",5,5,"Jim Butenschoen","President","4792380440","710767610 ","830888389","02341702  ",1,457059,"www.beautynwa.com/","www.beautynwa.com/","www.beautynwa.com/","www.beautynwa.com/","www.beautynwa.com/npcalc/","https://beautynwa.com/","https://beautynwa.com/","www.beautynwa.com/",9,3,3,2,1,2,0,2,2,2,32,1,"A",1,1,1,1,22220,1,-2,-2,5007,"Benton County",503,-94.540615,36.177258,1,0,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.0401",1500,1,11,44,900,26,15944,15945,16695,18195,1251,1251,1251,1251,,,,,,,,,5038,5038,5038,5038,4400,4400,4400,4400,4400,4400,4400,4400
102368,1,"Troy University-Phenix City Campus","1510 Whitewater Avenue","Phenix City","AL","36869-4419",1,5,"Dr. Dionne Rosser-Mims","Interim Vice Chancellor","3344485100","636001102 ","072090939","00104703  ",1,102331,"www.troy.edu/about-us/phenix-city-campus/index.html","www.troy.edu/applications-admissions/index.html","www.troy.edu/scholarships-costs-aid/financial-aid/index.html","www.troy.edu/applications-admissions/index.html","www.troy.edu/net-price-calculator/index.html","www.troy.edu/military-veterans/","www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html","www.troy.edu/student-disability-services/index.html",1,1,1,8,1,1,20,1,2,2,21,1,"A",1,1,1,1,17980,1,194,-2,1113,"Russell County",103,-84.997001,32.474218,0,0,0,0,1,0,1,1,1,1,0,0,0,1,2,30,2,7800,1108,8908,7800,1108,8908,7800,1108,8908,9312,0,9312,,,7800,1108,8908,7800,1108,8908,7800,1108,8908,9312,0,9312,,,15600,1108,16708,16500,1108,17608,15600,1108,16708,18624,0,18624,,,1138,1300,1300,1300,,,,,,,,,6008,7586,7586,10342,5474,6766,6766,4766,5474,6766,6766,4766,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104151,1,"Arizona State University-West","4701 W Thunderbird Road","Glendale","AZ","85306",4,6,"Michael M. Crow","President","8552785080","860196696 ","623088747","00108101  ",1,407009,"www.asu.edu/","https://admission.asu.edu/contact","https://students.asu.edu/contact/financialaid","https://webapp4.asu.edu/uga_admissionsapp/","https://students.asu.edu/financialaid/net-price","https://veterans.asu.edu/benefits/start","www.ncaa.org/about/resources/research/graduation-rates","https://eoss.asu.edu/accessibility",1,1,1,9,1,1,12,1,2,2,11,1,"A",1,1,1,1,38060,1,429,-2,4013,"Maricopa County",408,-112.160021,33.607260,1,0,1,1,0,0,1,1,1,0,1,0,0,1,2,50,1,9122,718,9840,9640,628,10268,10710,628,11338,10710,638,11348,,,9122,718,9840,9640,628,10268,10710,628,11338,10710,638,11348,,,24858,718,25576,25920,628,26548,28800,628,29428,28800,638,29438,,,1148,1171,1300,1300,11588,11914,12364,12732,3430,3430,3430,3430,9684,9684,9684,9974,4412,4412,4412,4412,4412,4412,4412,4412,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107725,1,"University of Arkansas Community College at Hope -","3501 U of A Way","Texarkana","AR","71854-1467",5,5,"Dr. Christine Holt","Chancellor","8707775722","710392370 ","028128556","00573201  ",1,486895,"www.uaht.edu/","www.uaht.edu/admissions/","www.uaht.edu/admissions/financial-aid/","https://www.uaht.edu/15451-2/","www.uaht.edu/academics/college-catalog/","www.uaht.edu/academics/college-catalog/","www.uaht.edu/academics/college-catalog/","www.uaht.edu/academics/college-catalog/",4,2,1,3,1,2,40,1,2,2,41,1,"A",1,1,1,1,45500,1,-2,-2,5091,"Miller County",504,-94.004275,33.474797,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,2,2010,820,2830,2040,940,2980,2040,940,2980,2040,1030,3070,,,2250,820,3070,2310,940,3250,2310,940,3250,2310,1030,3340,,,3270,820,4090,3360,940,4300,3360,940,4300,3360,1030,4390,,,1129,1136,1136,1152,,,,,,,,,7804,7921,7921,8206,6448,6545,6545,6856,4498,4566,4566,4739,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110468,1,"Alliant International University-Fresno","5130 East Clinton Way","Fresno","CA","93727",6,8,"Andy Vaughn","President and CEO","5594562777","205683516 ","073354631","01111707  ",1,110440,"https://www.alliant.edu/","https://www.alliant.edu/admissions/","https://www.alliant.edu/admissions/financial-aid-and-scholarship-resources","https://apply.alliant.edu/","https://www.alliant.edu/net-price-calc/","https://www.alliant.edu/admissions/veterans-military-admissions"," ","https://studentservices.alliant.edu/alliant-student-services/accessibility-services/",3,1,3,9,2,1,12,1,2,2,11,1,"A",1,1,1,1,23420,1,260,-2,6019,"Fresno County",616,-119.721681,36.766789,0,0,0,0,0,0,0,0,1,0,1,0,0,2,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112570,1,"Flashpoint Chicago A Campus of Columbia College Ho","28 North Clark Street #500","Chicago","IL","60602-2716",17,3,"Bill Smith","President & CEO","3125060725","952077629 "," ","02110205  ",1,460747,"https://flashpoint.columbiacollege.edu/","https://flashpoint.columbiacollege.edu/admissions-3/","https://flashpoint.columbiacollege.edu/admissions-3/financialaid/","https://flashpoint.columbiacollege.edu/apply-online-today-select/","https://flashpoint.columbiacollege.edu/admissions-3/financialaid/net-price-calculator/","https://flashpoint.columbiacollege.edu/admissions-3/apply/military-aid/"," ","https://flashpoint.columbiacollege.edu/student-life-2/student-affairs/disability-services/",2,1,2,5,1,2,30,1,2,2,11,1,"A",1,1,1,1,16980,1,176,-2,17031,"Cook County",1707,-87.631154,41.882848,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,50,2,24990,2464,27454,24990,2464,27454,26880,495,27375,26880,495,27375,,,24990,2464,27454,24990,2464,27454,26880,495,27375,26880,495,27375,,,24990,2464,27454,24990,2464,27454,26880,495,27375,26880,495,27375,,,4000,4000,1080,1080,,,,,,,,,9150,9150,16578,16578,4000,4000,4635,4635,4000,4000,4635,4635,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114585,1,"San Jose Campus","1885 Lundy Avenue, Suite 108","San Jose","CA","95131",6,8,"Ron Zaidman","President, Chief Executive Officer","4082600208","455273465 ","181683582","03131301  ",1,469522,"www.fivebranches.edu/","www.fivebranches.edu/masters-in-tcm/admissions-masters/40","www.fivebranches.edu/masters-in-tcm/financial-aid/724","www.fivebranches.edu/masters-in-tcm/admissions-masters/41","www.fivebranches.edu/"," "," ","www.fivebranches.edu/student-life/student-services/107",3,1,3,9,2,1,13,1,2,2,11,1,"A",1,1,1,1,41940,1,488,-2,6085,"Santa Clara County",617,-121.891583,37.393096,0,0,0,0,0,0,0,0,1,0,0,1,0,2,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115773,1,"Humphreys College-Modesto","5172 Kiernan Ct. Suite D","Salida","CA","95368",6,8,"ROBERT G HUMPHREYS, JR","PRESIDENT","2095439411","941196198 ","037862273","00121203  ",1,383783,"www.humphreys.edu/","https://www.humphreys.edu/admissions-aid/","https://www.humphreys.edu/student-services/financial-aid-office/","https://www.nationalappcenter.com/applications/Humphreys_University/apply.html","www.humphreys.edu/admissions-aid/financial-aid/net-price-calculator/","https://www.humphreys.edu/student-services/fiscal-office/"," "," ",2,1,2,7,1,1,20,1,2,2,21,1,"A",1,1,1,1,33700,1,488,-2,6099,"Stanislaus County",610,-121.087352,37.713746,1,0,1,0,1,0,1,0,1,0,0,0,0,1,2,40,2,14292,0,14292,14580,0,14580,14580,0,14580,14580,0,14580,,,14292,0,14292,14580,0,14580,14580,0,14580,14580,0,14580,,,14292,0,14292,14580,0,14580,14580,0,14580,14580,0,14580,,,1917,1971,1080,1125,,,,,,,,,13779,15084,16580,17253,4248,5274,4642,4761,4365,4698,4163,4275,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
