UNITID,PRGMOFR,CIPCODE1,CIPTUIT1,CIPSUPP1,CIPLGTH1,PRGMSR1,MTHCMP1,WKCMP1,LNAYHR1,LNAYWK1,CHG1PY0,CHG1PY1,CHG1PY2,CHG1PY3,CHG4PY0,CHG4PY1,CHG4PY2,CHG4PY3,CHG5PY0,CHG5PY1,CHG5PY2,CHG5PY3,CHG6PY0,CHG6PY1,CHG6PY2,CHG6PY3,CHG7PY0,CHG7PY1,CHG7PY2,CHG7PY3,CHG8PY0,CHG8PY1,CHG8PY2,CHG8PY3,CHG9PY0,CHG9PY1,CHG9PY2,CHG9PY3,CIPCODE2,CIPTUIT2,CIPSUPP2,CIPLGTH2,PRGMSR2,MTHCMP2,CIPCODE3,CIPTUIT3,CIPSUPP3,CIPLGTH3,PRGMSR3,MTHCMP3,CIPCODE4,CIPTUIT4,CIPSUPP4,CIPLGTH4,PRGMSR4,MTHCMP4,CIPCODE5,CIPTUIT5,CIPSUPP5,CIPLGTH5,PRGMSR5,MTHCMP5,CIPCODE6,CIPTUIT6,CIPSUPP6,CIPLGTH6,PRGMSR6,MTHCMP6
101277,3,"12.0401",,,1500,1,12,47,900,28,11040,12000,12150,15150,2503,2503,2649,3040,,,,,,,,,11268,11268,11268,14171,7978,7978,7978,6239,7508,7508,7508,8531,"12.0409",10150,1633,1000,1,12,"12.0413",2150,815,650,1,5,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,
102711,9,"47.0605",,,1080,1,10,38,900,26,3963,4413,4572,4611,4999,4999,7483,7516,10545,14972,15580,17518,1900,2375,2375,2375,18525,18763,19000,19000,1900,2850,3088,3088,2375,5681,6175,6650,"48.0508",4611,8048,1080,1,9,"11.0401",4611,4550,1260,1,9,"47.0105",4611,3850,1080,1,9,"15.1001",3183,2028,630,1,4,"52.0401",4611,1809,1260,1,9
103501,7,"51.0801",,,46,2,10,40,30,30,15895,15895,16270,16245,,,,,,,,,,,,,11020,10970,11790,13070,6670,9440,10860,11040,6670,9440,10860,11040,"51.3501",16170,,48,2,10,"51.1009",10287,,27,2,7,"51.0713",12429,,34,2,11,"52.0305",25328,,66,2,15,"52.1001",25328,,66,2,15
103741,3,"12.0401",,,1600,1,12,46,900,26,19200,19200,19200,19200,2750,2750,2750,2750,,,,,,,,,9534,9810,10856,11443,8798,9051,9246,10143,8798,9051,9246,10143,"12.0409",8706,1400,600,1,5,"12.0413",3500,499,350,1,3,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,
103893,16,"51.0801",,,36,2,9,36,32,36,14763,14763,15202,17542,715,715,490,0,,,,,,,,,13779,16200,17253,17784,4248,4950,4950,4950,4365,4950,4950,4950,"51.0001",14815,0,36,2,10,"51.3801",56410,0,72,2,22,"51.0601",18442,0,36,2,8,"01.8301",17542,0,29,2,9,"51.0812",47970,0,74,2,17
103909,9,"51.3801",,,72,2,24,96,36,36,49285,49253,51202,56410,1825,1825,1280,0,,,,,,,,,41400,43200,46008,47424,12720,13200,13200,13200,12720,13200,13200,13200,"51.0601",18442,0,36,2,8,"51.0801",17542,0,36,2,8,"51.0602",63245,0,83,2,17,"01.8301",17542,0,29,2,9,"51.2604",17542,,29,2,8
103927,8,"51.0801",,,36,2,9,36,36,36,15478,15478,15692,17542,715,715,490,0,,,,,,,,,15615,16200,17253,17784,4950,4950,4950,4950,4950,4950,4950,4950,"51.3801",56410,0,72,2,22,"51.0601",18442,0,36,2,8,"01.8301",17542,0,29,2,9,"51.0714",17326,0,36,2,8,"51.0805",17542,0,36,2,8
103954,3,"12.0401",,,1600,1,13,52,900,30,17700,17700,17700,17700,1150,1175,1175,1175,,,,,,,,,14144,10400,8749,12766,13494,11973,9711,12805,2145,2821,10257,7579,"12.0410",5500,1175,600,1,5,"12.0413",4475,300,350,1,3,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,
103963,6,"48.0508",,,57,2,10,40,36,30,20663,20663,20663,20663,,,,,,,,,,,,,10400,10610,10820,11040,11380,11610,11850,12090,11380,10610,11850,12090,"47.0604",24708,,72,2,13,"47.0605",24640,,60,2,13,"15.0501",18040,,50,2,10,"47.0199",19290,,50,2,10,"52.0211",32240,,92,2,18
104090,17,"51.3801",,,122,2,30,120,30,30,85000,85000,85000,89404,0,0,0,0,,,,,,,,,36000,48840,38760,40500,31080,49800,33750,31080,23520,23760,17310,32640,"51.0899",30288,0,62,2,9,"51.0705",13356,0,28,2,9,"51.0701",15900,0,30,2,13,"51.0801",13365,0,28,2,9,"51.1004",30000,0,63,2,15
104391,4,"12.0401",,,1600,1,13,52,900,30,12500,12500,13850,13750,3400,3400,4150,4150,,,,,,,,,9672,9672,9672,9672,5707,5707,5707,5707,3653,3653,3653,3653,"51.3501",7150,750,700,1,6,"12.0410",5320,2580,600,1,5,"13.1319",5390,1010,650,1,5,"-2     ",,,,-2,,"-2     ",,,,-2,
104443,2,"12.0401",,,1600,1,12,46,900,26,19200,19200,19200,19200,2750,2750,2750,2750,,,,,,,,,8752,9085,9959,11443,8073,8384,8487,10143,8073,8384,8487,10143,"12.0413",3500,499,350,1,3,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,
104568,4,"12.0409",,,600,1,5,21,900,26,8750,8900,8900,9000,1520,1520,2002,2002,,,,,,,,,5355,5355,5429,5429,5948,5948,6027,6027,5948,5948,6027,6027,"12.0401",17600,2218,1600,1,13,"12.0413",2100,1049,350,1,5,"12.0413",2100,1009,350,1,5,"-2     ",,,,-2,,"-2     ",,,,-2,
105215,3,"47.0611",,,49,2,11,42,30,30,19950,22950,23500,24100,215,215,215,215,,,,,,,,,8138,7802,8243,9492,7214,6920,7308,8421,7214,6920,7308,8421,"47.0611",34450,215,70,2,14,"47.0611",27550,215,56,2,12,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,
105534,21,"51.0701",,,64,2,19,75,24,32,21092,21206,23175,24475,2334,2326,2592,2285,,,,,,,,,19800,23831,24675,25856,14981,6469,6563,3169,10800,6150,6244,2850,"51.0701",23730,2151,80,2,20,"51.0801",16355,791,35,2,9,"51.0911",27795,2077,64,2,16,"01.8301",16675,870,30,2,8,"51.0601",16195,907,30,2,8
105543,12,"51.0801",,,34,2,9,35,34,35,14335,14770,17155,16355,778,788,789,791,,,,,,,,,7280,11121,11515,12066,6116,3019,3063,3098,6020,2870,2914,2949,"51.0701",25549,2285,80,2,20,"51.0601",17520,907,30,2,8,"01.8101",18035,870,30,2,8,"51.0911",47556,2233,90,2,23,"51.0805",17305,914,36,2,9
105659,5,"15.0403",,,36,2,10,38,24,30,19924,19924,19924,22300,1654,1654,1654,2050,,,,,,,,,10821,10821,12645,12645,8522,8522,11011,11011,6061,6061,7638,7638,"48.0508",21500,1300,24,2,7,"47.0201",19500,1950,24,2,6,"46.0302",19500,1950,28,2,7,"15.1701",32650,3850,63,2,15,"-2     ",,,,-2,
105677,1,"47.0404",,,880,1,5,20,900,26,10950,10950,11950,11950,3000,3415,3415,3415,,,,,,,,,8025,8290,8580,8835,2925,3000,3125,3220,2875,2930,3000,3090,"-2",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,,"-2     ",,,,-2,
106041,11,"47.0604",,,61,2,13,51,30,30,36800,38100,39050,40050,215,215,215,215,,,,,,,,,9881,9473,10009,11526,8759,8402,8874,10226,8759,8402,8874,10226,"47.0604",51400,215,90,2,18,"47.0604",49300,215,81,2,16,"48.0508",22350,215,36,2,9,"47.0604",47600,215,77,2,15,"47.0605",36700,215,54,2,11
