UNITID,OMCHRT,OMRCHRT,OMEXCLS,OMACHRT,OMCERT4,OMASSC4,OMBACH4,OMAWDN4,OMAWDP4,OMCERT6,OMASSC6,OMBACH6,OMAWDN6,OMAWDP6,OMCERT8,OMASSC8,OMBACH8,OMAWDN8,OMENRYI,OMENRAI,OMENRUN,OMNOAWD,OMAWDP8,OMENRTP,OMENRYP,OMENRAP,OMENRUP
100654,10,1166,4,1162,0,0,112,112,10,0,0,308,308,27,0,0,342,342,27,396,397,820,29,36,2,34,34
100663,10,1748,7,1741,1,0,655,656,38,1,0,1055,1056,61,1,0,1097,1098,17,367,259,643,63,22,1,21,15
100690,10,9,0,9,0,0,1,1,11,0,0,1,1,11,0,0,1,1,0,3,5,8,11,33,0,33,56
100706,10,749,0,749,1,0,228,229,31,0,0,428,428,57,0,0,460,460,12,180,97,289,61,26,2,24,13
100724,10,1191,0,1191,0,0,160,160,13,0,0,346,346,29,0,0,376,376,4,421,390,815,32,36,0,35,33
100751,10,6850,3,6847,0,0,3564,3564,52,0,0,4935,4935,72,0,0,5016,5016,25,1468,338,1831,73,22,0,21,5
100760,10,607,0,607,20,162,,182,30,24,166,,190,31,20,175,,195,2,177,233,412,32,29,0,29,38
100830,10,624,2,622,0,0,58,58,9,0,0,183,183,29,0,0,203,203,11,244,164,419,33,41,2,39,26
100858,10,4585,5,4580,0,0,2331,2331,51,0,0,3600,3600,79,0,0,3665,3665,20,667,228,915,80,15,0,15,5
100937,10,353,1,352,0,0,253,253,72,0,0,253,253,72,0,0,253,253,0,82,17,99,72,23,0,23,5
101028,10,423,0,423,3,93,,96,23,1,106,,107,25,3,107,,110,3,176,134,313,26,42,1,42,32
101116,10,54,1,53,0,2,4,6,11,0,4,6,10,19,0,4,6,10,2,15,26,43,19,32,4,28,49
101143,10,345,0,345,5,69,,74,21,5,74,,79,23,5,77,,82,3,120,140,263,24,36,1,35,41
101161,10,2047,0,2047,108,387,,495,24,110,429,,539,26,114,443,,557,25,669,796,1490,27,34,1,33,39
101189,10,407,3,404,0,2,65,67,17,0,4,108,112,28,0,4,111,115,2,195,92,289,28,49,0,48,23
101240,10,1275,0,1275,120,239,,359,28,121,267,,388,30,123,273,,396,18,230,631,879,31,19,1,18,49
101286,10,1105,0,1105,145,186,,331,30,146,213,,359,32,147,224,,371,20,235,479,734,34,23,2,21,43
101295,10,1058,4,1054,186,241,,427,41,166,282,,448,43,164,297,,461,13,178,402,593,44,18,1,17,38
101301,10,571,3,568,90,83,,173,30,93,97,,190,33,93,100,,193,5,153,217,375,34,28,1,27,38
101365,10,31,0,31,3,3,0,6,19,3,3,1,7,23,3,3,1,7,0,12,12,24,23,39,0,39,39
101435,10,236,0,236,0,0,74,74,31,0,0,96,96,41,0,0,96,96,0,100,40,140,41,42,0,42,17
101453,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,100
101462,10,243,0,243,12,30,,42,17,12,34,,46,19,12,35,,47,2,24,170,196,19,11,1,10,70
101471,10,557,0,557,385,1,,386,69,391,1,,392,70,392,1,,393,2,24,138,164,71,5,0,4,25
101480,10,1213,0,1213,0,0,252,252,21,0,0,547,547,45,0,0,587,587,30,368,228,626,48,33,2,30,19
