UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,HRTOTLT,HRTOTLM,HRTOTLW,HRAIANT,HRAIANM,HRAIANW,HRASIAT,HRASIAM,HRASIAW,HRBKAAT,HRBKAAM,HRBKAAW,HRHISPT,HRHISPM,HRHISPW,HRNHPIT,HRNHPIM,HRNHPIW,HRWHITT,HRWHITM,HRWHITW,HR2MORT,HR2MORM,HR2MORW,HRUNKNT,HRUNKNM,HRUNKNW,HRNRALT,HRNRALM,HRNRALW
100654,10000,100,0,1,86,47,39,0,0,0,9,5,4,58,31,27,0,0,0,0,0,0,1,1,0,18,10,8,0,0,0,0,0,0
100663,10000,100,0,1,1205,463,742,3,2,1,64,32,32,328,103,225,27,12,15,1,0,1,581,232,349,24,6,18,39,8,31,138,68,70
100690,10000,100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100706,10000,100,0,1,268,120,148,5,1,4,15,8,7,35,6,29,11,4,7,0,0,0,189,90,99,2,2,0,0,0,0,11,9,2
100724,10000,100,0,1,121,61,60,0,0,0,5,4,1,95,48,47,1,0,1,0,0,0,7,4,3,0,0,0,13,5,8,0,0,0
100733,10000,100,0,1,15,6,9,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,13,6,7,0,0,0,0,0,0,0,0,0
100751,10000,100,0,1,901,362,539,1,0,1,32,15,17,201,63,138,31,12,19,1,0,1,583,240,343,9,1,8,5,3,2,38,28,10
100760,10000,100,0,1,20,10,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,16,10,6,0,0,0,0,0,0,0,0,0
100812,10000,100,0,1,31,14,17,0,0,0,2,1,1,6,4,2,0,0,0,0,0,0,21,7,14,1,1,0,0,0,0,1,1,0
100830,10000,100,0,1,101,37,64,0,0,0,3,0,3,30,12,18,0,0,0,0,0,0,55,20,35,0,0,0,6,1,5,7,4,3
100858,10000,100,0,1,378,182,196,2,2,0,9,6,3,48,20,28,16,6,10,0,0,0,249,111,138,7,3,4,3,1,2,44,33,11
