UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
100654,0,258,40,41,53,21,0,103
100663,0,2671,772,720,975,204,0,0
100690,0,32,12,12,7,1,0,0
100706,0,358,77,86,102,16,77,0
100724,0,211,60,53,62,33,0,3
100751,0,1583,330,409,478,366,0,0
100760,0,44,0,0,0,0,0,44
100812,0,85,24,26,31,4,0,0
100830,0,230,57,72,58,1,39,3
100858,0,1435,382,419,377,67,182,8
100937,0,103,31,27,26,0,19,0
101028,0,42,0,0,0,0,0,42
101116,0,4,0,0,0,4,0,0
101143,0,54,0,0,0,54,0,0
101161,0,173,0,0,0,0,0,173
101189,0,140,39,29,44,2,26,0
101240,0,126,0,0,0,0,0,126
101286,0,119,0,0,0,0,0,119
101295,0,119,0,0,0,0,0,119
101301,0,39,0,0,0,0,0,39
101365,0,15,1,0,7,7,0,0
101435,0,50,14,6,19,11,0,0
101453,0,5,3,1,0,1,0,0
101462,0,25,0,0,0,0,0,25
101471,0,80,0,0,0,0,0,80
101480,0,347,95,61,94,97,0,0
101505,0,130,0,0,0,0,0,130
101514,0,157,0,0,0,0,0,157
101569,0,77,0,0,0,0,0,77
101587,0,115,26,32,33,20,4,0
101602,0,54,0,0,0,0,0,54
101648,0,20,0,0,0,0,0,20
101675,0,68,6,7,17,38,0,0
101693,0,76,11,32,27,4,0,2
101709,0,138,46,49,26,17,0,0
101736,0,70,0,0,0,0,0,70
101879,0,289,83,62,85,0,59,0
101897,0,60,0,0,0,0,0,60
101912,0,112,28,35,49,0,0,0
101994,0,14,0,0,0,0,0,14
102030,0,59,0,0,0,0,0,59
102049,0,362,122,82,130,28,0,0
102067,0,104,0,0,0,0,0,104
102076,0,41,0,0,0,0,0,41
102094,0,817,164,194,343,115,1,0
102234,0,69,13,27,21,7,1,0
102270,0,49,3,23,18,4,0,1
102298,0,38,1,9,22,6,0,0
102313,0,49,0,0,0,0,0,49
102368,0,448,63,138,112,0,133,2
102377,0,194,48,73,65,7,1,0
102395,0,7,1,3,2,0,1,0
