UNITID,ARANK,SAINSTT,SAINSTM,SAINSTW,SA_9MCT,SA_9MCM,SA_9MCW,SATOTLT,SATOTLM,SATOTLW,SA09MCT,SA09MCM,SA09MCW,SA10MCT,SA10MCM,SA10MCW,SA11MCT,SA11MCM,SA11MCW,SA12MCT,SA12MCM,SA12MCW,SAOUTLT,SAOUTLM,SAOUTLW,SA09MOT,SA09MOM,SA09MOW,SA10MOT,SA10MOM,SA10MOW,SA11MOT,SA11MOM,SA11MOW,SA12MOT,SA12MOM,SA12MOW,SAEQ9OT,SAEQ9OM,SAEQ9OW,SAEQ9AT,SAEQ9AM,SAEQ9AW,SA09MAT,SA09MAM,SA09MAW,SA10MAT,SA10MAM,SA10MAW,SA11MAT,SA11MAM,SA11MAW,SA12MAT,SA12MAM,SA12MAW
100654,1,39,32,7,1,1,0,38,31,7,37,30,7,0,0,0,0,0,0,1,1,0,4050970,3363042,687928,3927028,3239100,687928,0,0,0,0,0,0,123942,123942,0,4019985,3332057,687928,105789,107486,98275,106136,107970,98275,,,,,,,123942,123942,
100663,1,257,159,98,0,0,0,257,159,98,132,94,38,0,0,0,0,0,0,125,65,60,44769895,27578730,17191165,18401947,13444261,4957686,0,0,0,0,0,0,26367948,14134469,12233479,38177908,24045113,14132795,148552,151227,144212,139409,143024,130465,,,,,,,210944,217453,203891
100690,1,12,10,2,0,0,0,12,10,2,0,0,0,2,2,0,0,0,0,10,8,2,810076,612067,198009,0,0,0,44900,44900,0,0,0,0,765176,567167,198009,614292,465785,148507,51191,46579,74253,,,,22450,22450,,,,,76518,70896,99005
100706,1,73,59,14,0,0,0,73,59,14,54,45,9,0,0,0,0,0,0,19,14,5,10294924,8491530,1803394,7177607,6071035,1106572,0,0,0,0,0,0,3117317,2420495,696822,9515595,7886406,1629189,130351,133668,116371,132919,134912,122952,,,,,,,164069,172893,139364
100724,1,62,37,25,0,0,0,62,37,25,0,0,0,62,37,25,0,0,0,0,0,0,5878110,3459228,2418882,0,0,0,5878110,3459228,2418882,0,0,0,0,0,0,5290299,3113305,2176994,85327,84143,87080,,,,94808,93493,96755,,,,,,
100751,1,334,232,102,0,0,0,334,232,102,295,206,89,0,0,0,0,0,0,39,26,13,52562676,38109769,14452907,45310693,32904329,12406364,0,0,0,0,0,0,7251983,5205440,2046543,50749680,36808409,13941271,151945,158657,136679,153596,159730,139397,,,,,,,185948,200209,157426
100812,1,26,14,12,0,0,0,26,14,12,18,11,7,0,0,0,0,0,0,8,3,5,2643001,1409586,1233415,1684687,1047299,637388,0,0,0,0,0,0,958314,362287,596027,2403423,1319014,1084408,92439,94215,90367,93594,95209,91055,,,,,,,119789,120762,119205
100830,1,51,33,18,0,0,0,51,33,18,35,22,13,0,0,0,0,0,0,16,11,5,5099958,3336298,1763660,3315166,2044806,1270360,0,0,0,0,0,0,1784792,1291492,493300,4653760,3013425,1640335,91250,91316,91130,94719,92946,97720,,,,,,,111550,117408,98660
100858,1,395,290,105,0,0,0,395,290,105,249,185,64,0,0,0,0,0,0,146,105,41,61498271,46690137,14808134,34831386,26583891,8247495,0,0,0,0,0,0,26666885,20106246,6560639,54831550,41663576,13167974,138814,143668,125409,139885,143697,128867,,,,,,,182650,191488,160016
100937,1,36,26,10,0,0,0,36,26,10,35,26,9,0,0,0,0,0,0,1,0,1,2800060,2030170,769890,2725305,2030170,695135,0,0,0,0,0,0,74755,0,74755,2781371,2030170,751201,77260,78083,75120,77866,78083,77237,,,,,,,74755,,74755
101189,1,40,27,13,0,0,0,40,27,13,15,9,6,8,6,2,3,2,1,14,10,4,3346191,2268484,1077707,1025915,609483,416432,774582,590709,183873,216898,143749,73149,1328796,924543,404253,2897058,1952115,944943,72426,72301,72688,68394,67720,69405,96823,98452,91937,72299,71875,73149,94914,92454,101063
101365,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,144566,0,144566,0,0,0,0,0,0,0,0,0,144566,0,144566,108425,0,108425,108425,,108425,,,,,,,,,,144566,,144566
101435,1,18,12,6,0,0,0,18,12,6,18,12,6,0,0,0,0,0,0,0,0,0,1475673,967801,507872,1475673,967801,507872,0,0,0,0,0,0,0,0,0,1475673,967801,507872,81982,80650,84645,81982,80650,84645,,,,,,,,,
101480,1,88,52,36,0,0,0,88,52,36,74,47,27,0,0,0,0,0,0,14,5,9,7862985,4753518,3109467,6321124,4171985,2149139,0,0,0,0,0,0,1541861,581533,960328,7477520,4608135,2869385,84972,88618,79705,85421,88766,79598,,,,,,,110133,116307,106703
101587,1,29,20,9,0,0,0,29,20,9,23,16,7,0,0,0,0,0,0,6,4,2,2255708,1582172,673536,1746728,1238741,507987,0,0,0,0,0,0,508980,343431,165549,2128463,1496314,632149,73395,74816,70239,75945,77421,72570,,,,,,,84830,85858,82775
101675,1,7,6,1,0,0,0,7,6,1,0,0,0,3,2,1,0,0,0,4,4,0,479722,439589,40133,0,0,0,149405,109272,40133,0,0,0,330317,330317,0,382202,346083,36120,54600,57680,36120,,,,49802,54636,40133,,,,82579,82579,
101693,1,13,8,5,0,0,0,13,8,5,9,6,3,1,0,1,0,0,0,3,2,1,767232,443573,323659,484106,328447,155659,76000,0,76000,0,0,0,207126,115126,92000,707851,414792,293059,54450,51849,58612,53790,54741,51886,76000,,76000,,,,69042,57563,92000
101709,1,38,24,14,0,0,0,38,24,14,38,24,14,0,0,0,0,0,0,0,0,0,3015072,1959930,1055142,3015072,1959930,1055142,0,0,0,0,0,0,0,0,0,3015072,1959930,1055142,79344,81664,75367,79344,81664,75367,,,,,,,,,
101879,1,82,50,32,0,0,0,82,50,32,79,47,32,0,0,0,0,0,0,3,3,0,7987029,5091717,2895312,7623929,4728617,2895312,0,0,0,0,0,0,363100,363100,0,7896254,5000942,2895312,96296,100019,90479,96505,100609,90479,,,,,,,121033,121033,
101912,1,23,17,6,0,0,0,23,17,6,0,0,0,12,9,3,0,0,0,11,8,3,1308744,967965,340779,0,0,0,727790,531272,196518,0,0,0,580954,436693,144261,1090727,805665,285062,47423,47392,47510,,,,60649,59030,65506,,,,52814,54587,48087
102049,1,136,86,50,0,0,0,136,86,50,97,70,27,0,0,0,0,0,0,39,16,23,15255304,9796531,5458773,10228715,7651863,2576852,0,0,0,0,0,0,5026589,2144668,2881921,13998657,9260364,4738293,102931,107679,94766,105451,109312,95439,,,,,,,128887,134042,125301
102094,1,100,69,31,0,0,0,100,69,31,67,50,17,0,0,0,0,0,0,33,19,14,9935597,7021282,2914315,6368061,4880735,1487326,0,0,0,0,0,0,3567536,2140547,1426989,9043713,6486145,2557568,90437,94002,82502,95046,97615,87490,,,,,,,108107,112660,101928
102234,1,7,3,4,0,0,0,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0,542751,248046,294705,542751,248046,294705,0,0,0,0,0,0,0,0,0,542751,248046,294705,77536,82682,73676,77536,82682,73676,,,,,,,,,
102270,1,3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,140500,92000,48500,0,0,0,140500,92000,48500,0,0,0,0,0,0,126450,82800,43650,42150,41400,43650,,,,46833,46000,48500,,,,,,
102298,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,85490,0,85490,0,0,0,0,0,0,0,0,0,85490,0,85490,64118,0,64118,64118,,64118,,,,,,,,,,85490,,85490
102368,1,60,48,12,0,0,0,60,48,12,0,0,0,36,27,9,0,0,0,24,21,3,5662192,4580406,1081786,0,0,0,3143840,2410463,733377,0,0,0,2518352,2169943,348409,4718220,3796874,921346,78637,79102,76779,,,,87329,89276,81486,,,,104931,103331,116136
102377,1,52,40,12,0,0,0,52,40,12,0,0,0,29,23,6,0,0,0,23,17,6,5780649,4294426,1486223,0,0,0,2690967,2016764,674203,0,0,0,3089682,2277662,812020,4739132,3523334,1215798,91137,88083,101316,,,,92792,87685,112367,,,,134334,133980,135337
102553,1,123,66,57,0,0,0,123,66,57,120,63,57,0,0,0,0,0,0,3,3,0,12682779,7128301,5554478,12323020,6768542,5554478,0,0,0,0,0,0,359759,359759,0,12592839,7038361,5554478,102381,106642,97447,102692,107437,97447,,,,,,,119920,119920,
102614,1,67,42,25,0,0,0,67,42,25,66,41,25,0,0,0,0,0,0,1,1,0,7038633,4740931,2297702,6884401,4586699,2297702,0,0,0,0,0,0,154232,154232,0,7000075,4702373,2297702,104479,111961,91908,104309,111871,91908,,,,,,,154232,154232,
102632,1,15,10,5,0,0,0,15,10,5,15,10,5,0,0,0,0,0,0,0,0,0,1341944,889260,452684,1341944,889260,452684,0,0,0,0,0,0,0,0,0,1341944,889260,452684,89463,88926,90537,89463,88926,90537,,,,,,,,,
102669,1,9,5,4,0,0,0,9,5,4,8,5,3,0,0,0,0,0,0,1,0,1,683049,349846,333203,563049,349846,213203,0,0,0,0,0,0,120000,0,120000,653049,349846,303203,72561,69969,75801,70381,69969,71068,,,,,,,120000,,120000
104151,1,872,560,312,0,0,0,872,560,312,764,509,255,0,0,0,0,0,0,108,51,57,141934210,94705178,47229032,120322609,83381824,36940785,0,0,0,0,0,0,21611601,11323354,10288247,136531310,91874340,44656970,156573,164061,143131,157490,163815,144866,,,,,,,200107,222027,180496
104179,1,682,460,222,0,0,0,682,460,222,588,409,179,0,0,0,0,0,0,94,51,43,99459098,67590400,31868698,82187489,58612453,23575036,0,0,0,0,0,0,17271609,8977947,8293662,95141196,65345913,29795283,139503,142056,134213,139775,143307,131704,,,,,,,183741,176038,192876
104346,1,92,41,51,0,0,0,92,41,51,87,36,51,0,0,0,0,0,0,5,5,0,5760892,2509505,3251387,5436397,2185010,3251387,0,0,0,0,0,0,324495,324495,0,5679768,2428381,3251387,61737,59229,63753,62487,60695,63753,,,,,,,64899,64899,
104577,1,28,16,12,0,0,0,28,16,12,28,16,12,0,0,0,0,0,0,0,0,0,2414211,1396577,1017634,2414211,1396577,1017634,0,0,0,0,0,0,0,0,0,2414211,1396577,1017634,86222,87286,84803,86222,87286,84803,,,,,,,,,
104586,1,23,18,5,0,0,0,23,18,5,22,17,5,1,1,0,0,0,0,0,0,0,2488872,1998725,490147,2353209,1863062,490147,135663,135663,0,0,0,0,0,0,0,2475306,1985159,490147,107622,110287,98029,106964,109592,98029,135663,135663,,,,,,,
104717,1,23,13,10,0,0,0,23,13,10,18,10,8,0,0,0,0,0,0,5,3,2,2173134,1271955,901179,1606850,862382,744468,0,0,0,0,0,0,566284,409573,156711,2031563,1169562,862001,88329,89966,86200,89269,86238,93059,,,,,,,113257,136524,78356
105297,1,12,8,4,0,0,0,12,8,4,12,8,4,0,0,0,0,0,0,0,0,0,782219,517919,264300,782219,517919,264300,0,0,0,0,0,0,0,0,0,782219,517919,264300,65185,64740,66075,65185,64740,66075,,,,,,,,,
105330,1,258,160,98,0,0,0,258,160,98,211,133,78,12,6,6,5,4,1,30,17,13,30190170,19616269,10573901,24307320,16063770,8243550,1109566,566451,543115,674609,515720,158889,4098675,2470328,1628347,28931766,18848181,10083585,112139,117801,102894,115201,120780,105687,92464,94409,90519,134922,128930,158889,136623,145313,125257
105367,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,81994,0,81994,0,0,0,0,0,0,0,0,0,81994,0,81994,61496,0,61496,61496,,61496,,,,,,,,,,81994,,81994
105899,1,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,3,2,1,0,0,0,219180,140180,79000,0,0,0,0,0,0,219180,140180,79000,0,0,0,179289,114667,64622,59763,57334,64622,,,,,,,73060,70090,79000,,,
106245,1,109,75,34,0,0,0,109,75,34,89,64,25,1,0,1,3,2,1,16,9,7,10435144,7430770,3004374,8194707,6031220,2163487,106822,0,106822,249517,182535,66982,1884098,1217015,667083,9908025,7093295,2814730,90899,94577,82786,92075,94238,86539,106822,,106822,83172,91268,66982,117756,135224,95298
106263,1,12,9,3,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,12,9,3,1620141,1221492,398649,0,0,0,0,0,0,0,0,0,1620141,1221492,398649,1215106,916119,298987,101259,101791,99662,,,,,,,,,,135012,135721,132883
106306,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,48410,48410,0,48410,48410,0,0,0,0,0,0,0,0,0,0,48410,48410,0,48410,48410,,48410,48410,,,,,,,,,,
106342,1,7,7,0,0,0,0,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,533114,533114,0,0,0,0,533114,533114,0,0,0,0,0,0,0,479803,479803,0,68543,68543,,,,,76159,76159,,,,,,,
