UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
100654,432,24973564,3,248969,0,0,12,652252,74,7061926,24,1237079,27,1677522,100,5573310,1,95249,45,1802263,1,47300,126,5659902,10,518219,9,399573
100663,3270,211104443,0,0,0,0,165,9619901,353,43865055,624,40464702,550,41198747,242,16769921,89,5487935,492,17773431,0,0,404,17383724,284,15234573,67,3306454
100690,32,3199997,0,0,0,0,8,688920,0,0,7,1146831,5,407097,0,0,0,0,0,0,0,0,10,793913,2,163236,0,0
100706,1105,79252275,0,0,0,0,12,610750,109,14176661,96,5266044,523,43573446,98,4544098,3,245552,92,3392259,0,0,162,6963845,9,453620,1,26000
100724,545,27984230,6,286068,0,0,105,4552623,49,5435261,39,2266906,38,2286080,79,4551588,4,230900,89,2879957,6,270647,91,3581267,36,1529533,3,113400
100733,86,12573809,0,0,0,0,0,0,18,4722662,19,1949984,1,66995,23,4127110,0,0,2,90558,0,0,23,1616500,0,0,0,0
100751,4509,280062556,70,7556255,0,0,192,9437510,584,71319931,571,36397253,453,28282644,598,39634106,237,13813729,665,26957269,22,649865,775,27914192,229,13241363,113,4858439
100760,63,4186412,0,0,0,0,3,200383,17,1826554,6,402185,1,38770,2,126813,0,0,12,505669,0,0,22,1086038,0,0,0,0
100812,161,10791218,0,0,0,0,30,2000298,41,4430931,12,676669,13,841154,20,942713,0,0,2,82188,0,0,33,1328628,9,436659,1,51978
100830,338,19283014,0,0,0,0,28,1308990,82,7666358,27,1258180,41,2877660,43,1926772,4,235200,30,1042130,2,96380,80,2838994,0,0,1,32350
100858,4048,276733585,54,4818998,215,13811834,183,10712765,554,72000984,438,28422357,649,41293645,662,46700527,31,3024340,316,12758183,3,139650,544,22434852,343,17778443,56,2837007
100937,175,9083762,0,0,0,0,20,1021099,34,2837076,7,387261,8,474574,46,1965627,5,200168,16,645569,0,0,28,1075644,10,447244,1,29500
101028,61,3571684,0,0,0,0,3,239977,10,1161373,1,109466,1,51896,1,70111,0,0,8,194882,0,0,36,1699152,1,44827,0,0
101116,23,1400748,0,0,0,0,11,608880,6,534224,1,75000,0,0,0,0,0,0,2,61360,0,0,3,121284,0,0,0,0
101143,61,3758203,0,0,0,0,2,115587,8,952773,6,341118,3,219559,2,106296,0,0,8,339767,0,0,32,1683103,0,0,0,0
101161,194,11751280,0,0,0,0,49,2808352,36,3939331,15,933331,7,344628,10,556830,0,0,27,1048900,0,0,48,2035286,2,84622,0,0
101189,164,7659578,0,0,0,0,34,1475256,26,2443234,4,141128,2,81071,51,2123241,0,0,14,450527,0,0,33,945121,0,0,0,0
101240,199,11266222,0,0,0,0,17,853559,38,3577528,9,536379,12,740953,26,1230291,1,41802,28,999816,0,0,54,2589615,14,696279,0,0
101286,125,7549802,0,0,0,0,25,1558963,19,2104863,4,269187,5,262847,4,279898,0,0,10,475750,0,0,51,2294590,4,189412,3,114292
101295,152,8428576,0,0,0,0,12,609672,26,2548757,5,209001,7,409621,2,93694,0,0,14,554558,0,0,72,3293871,14,709402,0,0
101301,80,4349847,0,0,0,0,12,698670,20,1616803,2,111716,2,130123,4,226253,0,0,5,171654,0,0,33,1290837,1,53916,1,49875
101365,18,1111685,0,0,0,0,12,675042,2,251545,0,0,1,50398,0,0,0,0,0,0,0,0,3,134700,0,0,0,0
101435,112,6150234,0,0,0,0,6,302581,17,1933322,3,175121,3,110806,49,2155541,1,70000,11,420116,8,320878,9,399463,5,262406,0,0
101453,26,1361583,1,53000,0,0,2,107370,8,695465,6,295379,1,39072,0,0,0,0,2,41000,0,0,6,130297,0,0,0,0
101462,46,2867140,0,0,0,0,7,429862,12,1170433,7,436947,3,135480,1,38765,0,0,2,61390,0,0,14,594263,0,0,0,0
101471,66,4618866,0,0,0,0,20,1289669,13,1392681,8,662328,1,54921,6,318469,0,0,0,0,0,0,15,745111,3,155687,0,0
101480,610,31369267,0,0,0,0,37,1625966,98,9218541,33,1797343,42,2563070,112,6696943,0,0,129,3636036,0,0,113,4141314,40,1519349,6,170705
101505,216,12946218,0,0,0,0,40,2411433,16,1924467,17,1354159,6,437058,16,1121772,0,0,31,1186728,0,0,83,4170547,7,340054,0,0
101514,226,13271147,0,0,0,0,12,625707,36,3713285,7,403127,25,1541086,29,1242407,0,0,12,571281,0,0,97,4743977,8,430277,0,0
101569,126,7418750,0,0,0,0,5,295188,24,2476505,5,312339,4,336349,10,534719,0,0,18,680773,6,364081,51,2276231,3,142565,0,0
101587,268,13442776,1,47892,11,601746,22,797700,41,3936897,24,1120641,10,507115,53,2629405,0,0,51,1544920,0,0,33,1223893,19,882474,3,150093
101602,55,3539384,0,0,0,0,2,144337,11,1120531,6,465896,4,249748,6,371391,0,0,5,259103,0,0,21,928378,0,0,0,0
101648,81,4593452,0,0,0,0,2,121646,8,820272,33,1924759,0,0,1,58147,0,0,13,568890,0,0,22,1011089,2,88649,0,0
101675,131,6649237,2,120350,0,0,18,769103,16,1816908,11,631635,6,296000,28,1297316,0,0,23,800166,0,0,27,917759,0,0,0,0
101693,115,4890999,0,0,0,0,2,97587,16,1353680,13,490000,4,185500,42,1621357,2,84960,5,145442,0,0,31,912473,0,0,0,0
101709,332,17166404,0,0,0,0,23,1154070,42,4364436,22,1051445,14,874372,93,4682969,5,184163,54,1755506,0,0,57,1998303,22,1101140,0,0
101736,131,7299182,0,0,0,0,20,798827,38,3182205,11,607288,5,254338,13,536335,0,0,20,759298,0,0,24,1160891,0,0,0,0
101879,486,25782548,0,0,0,0,76,3749300,63,7341265,39,2105027,29,1776280,48,2803588,14,709064,76,2065669,0,0,114,4141610,21,859747,6,230998
101897,73,4677013,0,0,0,0,6,355574,17,1834461,2,157933,4,213613,0,0,0,0,9,374211,0,0,32,1617842,3,123379,0,0
101912,158,6074508,2,105425,0,0,7,205984,56,2671591,4,114581,18,1050284,0,0,0,0,17,377715,0,0,47,1320418,6,198672,1,29838
101994,31,2149369,0,0,0,0,3,136141,5,604849,3,248191,0,0,0,0,0,0,2,96728,0,0,16,967744,2,95716,0,0
102030,105,6253516,0,0,0,0,9,446006,11,1216938,9,677450,3,274558,5,390787,0,0,12,488531,0,0,55,2712392,1,46854,0,0
102049,502,33123935,0,0,0,0,30,1824531,69,9541377,67,4550502,47,3117709,103,6181329,1,58663,22,914936,0,0,144,6136211,19,798677,0,0
102058,7,198240,0,0,0,0,0,0,4,129300,0,0,0,0,0,0,0,0,2,43440,0,0,1,25500,0,0,0,0
102067,162,10215146,0,0,0,0,2,111861,56,4897280,1,51896,6,426905,6,419571,0,0,6,194255,0,0,64,3290051,21,823327,0,0
102076,64,3854394,0,0,0,0,2,140007,16,1575913,5,258437,4,203756,3,123831,0,0,10,447313,0,0,23,1050216,1,54921,0,0
