UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP
100654,1525,30,0,0,807,53,718,47,0,0,5093,,,,1313,86,1016,67,6150,46,3,1502,1014,66,7714,905,59,6164,1525,5093,47716900,3490,1280,84,11047,1016,67,5888,121,8,2200,905,59,6164,0,0,,4338,85,11000,69,20177823,5782,3337,66,22994680,6891,14140022,6248695,5982448,266247,69089,7822238,5578834,5578834,0,1313,86
100663,2102,15,0,0,1728,82,374,18,0,0,13878,,,,2032,97,716,34,5915,23,1,1254,1801,86,9520,983,47,6718,2102,13878,94690539,4514,1957,93,10940,708,34,5663,186,9,1212,967,46,5208,110,5,14247,9894,71,9571,33,25737752,5702,6108,44,43294469,7088,21409068,4234817,4009360,225457,28841,17145410,6603397,5036242,1567155,2024,96
100690,0,0,,,,,,,,,298,,,,,,,,,,,,,,,,,,0,298,1249600,234,,,,,,,,,,,,,,,,275,92,4544,79,867024,3705,251,84,1865236,7431,,,,,,,,,,,
100706,1328,17,0,0,958,72,370,28,0,0,8027,,,,1281,96,679,51,3148,15,1,3129,1165,88,9643,524,39,6632,1328,8027,57901277,1908,1251,94,10727,324,24,4718,479,36,1272,513,39,5045,64,5,13858,6066,76,9545,24,8636827,4527,2872,36,18728202,6521,13419201,2137693,1528622,609071,46933,11234575,3475114,2588193,886921,1268,95
100724,926,26,0,0,431,47,406,44,89,10,3614,,,,861,93,681,74,5749,126,14,2584,512,55,9873,619,67,6271,926,3614,33705502,2604,861,93,10796,681,74,5610,88,10,1072,616,67,6058,17,2,8827,3360,93,10031,72,12782500,4909,2760,76,21181929,7675,9295405,3914903,3820560,94343,325556,5054946,3881920,3731862,150058,861,93
100751,6466,20,0,0,2742,42,3724,58,0,0,31670,,,,5511,85,1353,21,5946,251,4,927,4578,71,15703,2521,39,10195,6466,31670,309726785,5421,4899,76,16363,1197,19,4929,1156,18,1856,2376,37,5221,563,9,23617,20604,65,15032,17,25999200,4796,10940,35,69618084,6364,80164751,8045427,5900440,2144987,232603,71886721,25702161,12405862,13296299,5459,84
100760,225,15,0,0,220,98,5,2,0,0,1546,,,,205,91,186,83,4173,18,8,798,70,31,4541,58,26,3676,225,1546,4720169,461,197,88,5626,110,49,5172,171,76,1212,58,26,3676,0,0,,1326,86,3560,30,2008574,4357,230,15,841065,3657,1108329,776131,568938,207193,14361,317837,213205,213205,0,202,90
100812,0,0,,,,,,,,,2688,,,,,,,,,,,,,,,,,,0,2688,6509471,1085,,,,,,,,,,,,,,,,2268,84,2870,40,4503076,4150,1223,45,9068025,7415,,,,,,,,,,,
100830,641,15,0,0,595,93,46,7,0,0,4375,,,,632,99,383,60,5513,18,3,833,615,96,3594,333,52,5292,641,4375,28039153,2109,627,98,6916,383,60,5368,65,10,852,333,52,5292,0,0,,3812,87,7355,48,11114808,5270,2248,51,14987513,6667,4336468,2111432,2056083,55349,15000,2210036,1762402,1762402,0,627,98
100858,4869,20,0,0,2712,56,2157,44,0,0,24505,,,,3713,76,828,17,4273,144,3,4420,3178,65,9799,1405,29,9563,4869,24505,133345490,3188,3380,69,10448,542,11,4819,635,13,1459,1312,27,5232,264,5,24894,14018,57,9512,13,15502391,4863,7030,29,44724582,6362,35315449,3538240,2612090,926150,636411,31140798,13436056,6864168,6571888,3684,76
100937,256,23,,,,,,,,,1129,,,,249,97,56,22,5351,138,54,1072,248,97,9020,207,81,4063,256,1129,13976799,243,249,97,10781,55,21,4790,48,19,754,203,79,3074,16,6,13570,1103,98,12672,22,1243197,5116,766,68,5064354,6611,2684585,299629,263429,36200,147921,2237035,841063,623936,217127,249,97
101028,190,14,0,0,174,92,16,8,0,0,1399,,,,184,97,126,66,7364,36,19,1913,90,47,5925,53,28,5286,190,1399,9480711,639,179,94,8547,113,59,7501,91,48,882,53,28,5286,0,0,,1152,82,8230,46,4024539,6298,329,24,1862918,5662,1529985,927844,847592,80252,68878,533263,280173,280173,0,184,97
101116,5,2,,,,,,,,,289,,,,4,80,3,60,8188,1,20,1400,0,0,,3,60,6833,5,289,1090148,160,3,60,8655,2,40,5553,2,40,6730,3,60,6833,0,0,,226,78,4824,55,588424,3678,177,61,1482844,8378,25965,24565,11105,13460,1400,0,20500,20500,0,4,80
101143,316,17,0,0,311,98,5,2,0,0,1809,,,,268,85,165,52,6163,22,7,591,119,38,4323,66,21,4716,316,1809,5635472,671,240,76,6434,156,49,5983,57,18,1465,66,21,4716,0,0,,1039,57,5424,37,3370197,5023,356,20,1769477,4970,1544278,1016869,933369,83500,13000,514409,311242,311242,0,264,84
101161,928,14,0,0,901,97,27,3,0,0,6651,,,,842,91,457,49,5800,107,12,755,711,77,3635,243,26,4535,928,6651,20553386,2090,815,88,6522,456,49,5700,81,9,638,238,26,4537,6,1,3718,4207,63,4886,31,10282577,4920,1364,21,6846676,5020,5315824,2650676,2598998,51678,80806,2584342,1102101,1079796,22305,832,90
101189,277,13,,,,,,,,,2089,,,,276,100,136,49,6800,190,69,1232,259,94,13452,205,74,9338,277,2089,18348386,963,273,99,17008,136,49,5064,123,44,1919,204,74,8687,12,4,11836,1617,77,11347,46,4606181,4783,1258,60,10483343,8333,4643087,924749,688745,236004,234149,3484189,1914248,1772212,142036,276,100
101240,637,16,0,0,626,98,11,2,0,0,3994,,,,562,88,387,61,5550,68,11,775,244,38,2711,11,2,4586,637,3994,13614440,1806,514,81,5568,375,59,5227,128,20,1465,0,0,,11,2,4586,2915,73,4670,45,7792879,4315,0,0,0,,2861811,2147742,1960267,187475,52686,661383,50450,0,50450,514,81
101277,,,,,,,,,,,,61,47,130,47,77,37,61,4287,3,5,1250,0,0,,35,57,5639,61,130,363806,85,37,61,4388,37,61,4287,0,0,,35,57,5639,0,0,,85,65,4280,65,360056,4236,85,65,484371,5698,162357,158607,158607,0,3750,0,197355,197355,0,47,77
101286,382,10,0,0,375,98,7,2,0,0,3685,,,,332,87,213,56,6171,45,12,1662,136,36,6123,10,3,6844,382,3685,13434393,1596,303,79,7333,212,55,6095,34,9,652,0,0,,10,3,6844,2680,73,5013,43,7364007,4614,0,0,0,,2221876,1314364,1292197,22167,74795,832717,68440,0,68440,303,79
101295,925,19,0,0,907,98,18,2,0,0,4763,,,,860,93,825,89,3440,77,8,1116,190,21,4068,181,20,4901,925,4763,13703338,1900,838,91,4412,454,49,4963,713,77,821,179,19,4893,2,0,5619,4011,84,3416,40,7807687,4109,1026,22,5788051,5641,3696919,2838098,2252988,585110,85961,772860,887116,875879,11237,859,93
101301,179,14,0,0,175,98,4,2,0,0,1316,,,,176,98,174,97,7615,8,4,750,47,26,3501,0,0,,179,1316,9762342,654,176,98,8498,144,80,6276,158,88,2667,0,0,,0,0,,1201,91,8129,50,2974914,4549,0,0,0,,1495607,1325046,903683,421363,6000,164561,0,0,0,176,98
101365,16,3,,,,,,,,,612,,,,16,100,15,94,3577,0,0,,8,50,1923,15,94,8996,16,612,2236365,413,16,100,4315,15,94,3490,10,63,130,15,94,8996,0,0,,492,80,4545,67,1677826,4063,464,76,3856420,8311,69035,53649,52349,1300,0,15386,134933,134933,0,16,100
101435,219,24,,,,,,,,,920,,,,219,100,87,40,5070,137,63,1231,219,100,12904,170,78,8854,219,920,12712234,363,219,100,15688,87,40,4544,47,21,974,168,77,5366,40,18,15092,895,97,14204,39,1689681,4655,648,70,4314553,6658,3435618,441075,395311,45764,168640,2825903,1505122,901441,603681,219,100
101453,1,1,,,,,,,,,70,,,,1,100,1,100,6465,0,0,,1,100,4703,0,0,,1,70,507398,36,1,100,11168,1,100,6295,1,100,170,0,0,,0,0,,66,94,7688,51,149522,4153,3,4,12622,4207,11168,6465,6295,170,0,4703,0,0,0,1,100
101462,63,8,0,0,62,98,1,2,0,0,825,,,,56,89,51,81,5578,4,6,377,7,11,2673,1,2,10000,63,825,2510357,373,55,87,5540,50,79,5514,10,16,878,0,0,,1,2,10000,698,85,3597,45,1807174,4845,0,0,0,,304698,284482,275707,8775,1506,18710,10000,0,10000,55,87
101471,91,23,0,0,91,100,0,0,0,0,399,,,,91,100,12,13,1654,91,100,1654,0,0,,0,0,,91,399,680870,72,91,100,1872,12,13,1654,0,0,,0,0,,0,0,,399,100,1706,18,119073,1654,0,0,0,,170362,19848,19848,0,150514,0,0,0,0,91,100
101480,1290,17,0,0,1290,100,0,0,0,0,7747,,,,1276,99,1103,86,3722,292,23,2312,1268,98,4765,774,60,8086,1290,7747,46475132,3183,1275,99,8488,663,51,5200,966,75,681,759,59,7102,85,7,10209,7106,92,6540,41,16057026,5045,5376,69,29709037,5526,10822126,4105025,3447429,657596,674998,6042103,6258516,5390712,867804,1276,99
101505,938,11,0,0,927,99,11,1,0,0,8529,,,,680,72,467,50,5484,189,20,592,165,18,6151,244,26,3311,938,8529,16540138,2410,579,62,6369,457,49,5334,130,14,947,244,26,3311,0,0,,3870,45,4274,28,10465223,4342,1685,20,5875336,3487,3687746,2560938,2437819,123119,111816,1014992,807919,807919,0,652,70
101514,896,11,0,0,878,98,18,2,0,0,8278,,,,842,94,393,44,5317,77,9,1873,527,59,1813,211,24,4689,896,8278,14993292,2239,814,91,3918,383,43,5160,141,16,804,210,23,4673,2,0,3960,5576,67,2689,27,8429174,3765,1455,18,7329728,5038,3189157,2089583,1976286,113297,144253,955321,989353,981434,7919,833,93
101569,455,16,0,0,446,98,9,2,0,0,2823,,,,449,99,437,96,5967,29,6,2078,191,42,3791,0,0,,455,2823,14509098,1736,449,99,7554,361,79,5367,339,75,1976,0,0,,0,0,,2554,90,5681,61,8380423,4827,0,0,0,,3391735,2607444,1937539,669905,60250,724041,0,0,0,449,99
101587,257,11,0,0,226,88,31,12,0,0,2248,,,,241,94,177,69,4562,20,8,1467,139,54,5777,174,68,5536,257,2248,11878070,1190,230,89,7129,154,60,5084,23,9,1067,167,65,5418,7,3,8357,1739,77,6830,53,5719897,4807,1461,65,10355364,7088,1639747,807450,782903,24547,29348,802949,963257,904760,58497,241,94
101602,279,17,0,0,274,98,4,1,1,0,1666,,,,259,93,173,62,6328,17,6,1936,144,52,3030,54,19,3401,279,1666,5650314,654,239,86,6543,173,62,6112,73,26,512,0,0,,54,19,3401,1342,81,4210,39,3264562,4992,0,0,0,,1563887,1094692,1057292,37400,32915,436280,183665,0,183665,239,86
101648,255,64,0,0,92,36,163,64,0,0,401,,,,248,97,88,35,5325,4,2,6642,203,80,7163,88,35,5405,255,401,2760608,143,248,97,7860,87,34,5199,20,8,815,86,34,5043,5,2,8391,379,95,7284,36,723429,5059,146,36,749809,5136,1949283,468636,452338,16298,26568,1454079,475627,433673,41954,248,97
101675,394,27,,,,,,,,,1440,,,,341,87,310,79,6197,142,36,1223,121,31,5339,276,70,6481,394,1440,10367085,1127,341,87,8037,310,79,5440,156,40,1504,276,70,6423,2,1,8058,1289,90,8043,78,6168021,5473,1159,80,8069729,6963,2740778,1921073,1686479,234594,173687,646018,1788870,1772755,16115,341,87
101693,249,14,,,,,,,,,1750,,,,230,92,98,39,5245,153,61,1275,226,91,13240,165,66,7663,249,1750,16380888,502,230,92,16093,98,39,4970,26,10,1038,165,66,6618,12,5,14372,1165,67,14061,29,2427232,4835,854,49,7455330,8730,3701331,514015,487031,26984,195138,2992178,1264383,1091917,172466,230,92
101709,455,20,0,0,363,80,92,20,0,0,2228,,,,442,97,216,47,5426,20,4,1129,404,89,10119,271,60,6257,455,2228,24717753,880,431,95,12257,196,43,5144,188,41,872,264,58,5637,19,4,10924,1977,89,12503,39,4462903,5071,1169,52,7871345,6733,5282848,1172008,1008133,163875,22582,4088258,1695634,1488072,207562,441,97
101736,487,14,0,0,485,100,2,0,0,0,3360,,,,475,98,457,94,5168,27,6,547,135,28,2900,118,24,2779,487,3360,10643264,1243,465,95,5952,302,62,6448,386,79,1073,118,24,2779,0,0,,2828,84,3764,37,6768382,5445,656,20,2001683,3051,2767825,2361609,1947248,414361,14756,391460,327929,327929,0,474,97
101879,905,15,0,0,888,98,17,2,0,0,5946,,,,877,97,427,47,4842,5,1,2525,798,88,7366,385,43,6365,905,5946,33616398,2027,861,95,9243,312,34,4849,330,36,1681,372,41,5070,48,5,11765,4249,71,7912,34,9807056,4838,2508,42,16258383,6483,7957830,2067511,1512827,554684,12624,5877695,2450605,1885882,564723,876,97
101897,327,13,0,0,325,99,2,1,0,0,2530,,,,297,91,205,63,5794,24,7,581,91,28,4505,63,19,3184,327,2530,6923961,990,262,80,6151,205,63,5716,25,8,640,63,19,3184,0,0,,1849,73,3745,39,4619133,4666,354,14,1119746,3163,1611631,1187723,1171723,16000,13946,409962,200567,200567,0,280,86
