UNITID,SCUGFFP,GISTN2,GISTON2,GISTWF2,GISTOF2,GISTUN2,GISTT2,GISTA2,GISTN1,GISTON1,GISTWF1,GISTOF1,GISTUN1,GISTT1,GISTA1,GISTN0,GISTON0,GISTWF0,GISTOF0,GISTUN0,GISTT0,GISTA0,GIS4N2,GIS4ON2,GIS4WF2,GIS4OF2,GIS4UN2,GIS4T2,GIS4A2,GIS4N12,GIS4T12,GIS4A12,GIS4N22,GIS4T22,GIS4A22,GIS4N32,GIS4T32,GIS4A32,GIS4N42,GIS4T42,GIS4A42,GIS4N52,GIS4T52,GIS4A52,NPIST2,NPIST1,NPIST0,NPIS412,NPIS422,NPIS432,NPIS442,NPIS452,GRNTN2,GRNTON2,GRNTWF2,GRNTOF2,GRNTUN2,GRNTT2,GRNTA2,GRNTN1,GRNTON1,GRNTWF1,GRNTOF1,GRNTUN1,GRNTT1,GRNTA1,GRNTN0,GRNTON0,GRNTWF0,GRNTOF0,GRNTUN0,GRNTT0,GRNTA0,GRN4N2,GRN4ON2,GRN4WF2,GRN4OF2,GRN4UN2,GRN4T2,GRN4A2,GRN4N12,GRN4T12,GRN4A12,GRN4N22,GRN4T22,GRN4A22,GRN4N32,GRN4T32,GRN4A32,GRN4N42,GRN4T42,GRN4A42,GRN4N52,GRN4T52,GRN4A52,NPGRN2,NPGRN1,NPGRN0,NPT412,NPT422,NPT432,NPT442,NPT452,GIS4N1,GIS4ON1,GIS4WF1,GIS4OF1,GIS4UN1,GIS4T1,GIS4A1,GIS4N11,GIS4T11,GIS4A11,GIS4N21,GIS4T21,GIS4A21,GIS4N31,GIS4T31,GIS4A31,GIS4N41,GIS4T41,GIS4A41,GIS4N51,GIS4T51,GIS4A51,NPIS411,NPIS421,NPIS431,NPIS441,NPIS451,GRN4N1,GRN4ON1,GRN4WF1,GRN4OF1,GRN4UN1,GRN4T1,GRN4A1,GRN4N11,GRN4T11,GRN4A11,GRN4N21,GRN4T21,GRN4A21,GRN4N31,GRN4T31,GRN4A31,GRN4N41,GRN4T41,GRN4A41,GRN4N51,GRN4T51,GRN4A51,NPT411,NPT421,NPT431,NPT441,NPT451,GIS4N0,GIS4ON0,GIS4WF0,GIS4OF0,GIS4UN0,GIS4T0,GIS4A0,GIS4N10,GIS4T10,GIS4A10,GIS4N20,GIS4T20,GIS4A20,GIS4N30,GIS4T30,GIS4A30,GIS4N40,GIS4T40,GIS4A40,GIS4N50,GIS4T50,GIS4A50,NPIS410,NPIS420,NPIS430,NPIS440,NPIS450,GRN4N0,GRN4ON0,GRN4WF0,GRN4OF0,GRN4UN0,GRN4T0,GRN4A0,GRN4N10,GRN4T10,GRN4A10,GRN4N20,GRN4T20,GRN4A20,GRN4N30,GRN4T30,GRN4A30,GRN4N40,GRN4T40,GRN4A40,GRN4N50,GRN4T50,GRN4A50,NPT410,NPT420,NPT430,NPT440,NPT450,GIS4G2,GIS4G12,GIS4G22,GIS4G32,GIS4G42,GIS4G52,GIS4G1,GIS4G11,GIS4G21,GIS4G31,GIS4G41,GIS4G51,GIS4G0,GIS4G10,GIS4G20,GIS4G30,GIS4G40,GIS4G50,GRN4G2,GRN4G12,GRN4G22,GRN4G32,GRN4G42,GRN4G52,GRN4G1,GRN4G11,GRN4G21,GRN4G31,GRN4G41,GRN4G51,GRN4G0,GRN4G10,GRN4G20,GRN4G30,GRN4G40,GRN4G50
100654,30,693,482,158,53,0,6240985,9006,725,657,52,16,0,5740616,7918,579,531,29,19,0,4864136,8401,657,457,150,50,0,5825299,8867,381,3713735,9747,141,1357002,9624,76,487604,6416,40,208688,5217,19,58270,3067,12921,15373,14604,12177,12300,15508,16707,18857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,638,38,14,0,5462045,7916,420,3675562,8751,135,1088890,8066,76,437042,5751,33,183539,5562,26,77012,2962,14694,15379,17694,17883,20483,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,517,25,16,0,4499378,8063,348,3042403,8743,113,1040028,9204,54,251002,4648,24,96890,4037,19,69055,3634,14310,13849,18405,19016,19419,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,380,141,73,34,14,671,420,134,72,28,17,538,348,113,47,17,13,,,,,,,,,,,,,,,,,,
100663,15,1585,1325,142,56,62,15046376,9493,1747,1340,250,85,72,15399829,8815,1682,1296,229,84,73,12791059,7605,1053,883,118,50,2,10175657,9663,322,3988192,12386,195,2121276,10878,161,1513529,9401,126,1010300,8018,249,1542360,6194,16990,16978,17068,13862,15370,16847,18230,20054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232,944,209,79,0,11103213,9012,378,4573252,12099,216,2320278,10742,202,1552384,7685,204,1305802,6401,232,1351497,5825,13443,14800,17857,19141,19717,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,984,197,69,0,9426878,7542,425,4224894,9941,195,1748916,8969,220,1385668,6298,184,927433,5040,226,1139967,5044,14554,15526,18197,19455,19451,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,321,195,155,112,209,1156,377,213,189,181,196,1148,425,195,204,151,173,,,,,,,,,,,,,,,,,,
100690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100706,17,902,408,226,52,216,6724413,7455,925,508,199,47,171,7307992,7901,889,533,185,45,126,8012157,9013,515,264,140,35,76,3923644,7619,141,1440379,10215,72,736070,10223,99,623404,6297,84,475706,5663,119,648085,5446,17302,16990,15118,14654,14646,18572,19206,19423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,320,131,40,47,4117528,7653,117,1313882,11230,89,791589,8894,97,757234,7807,107,614915,5747,128,639908,4999,13631,15967,17054,19114,19862,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,322,129,46,36,4294541,8057,146,1592408,10907,80,826951,10337,93,707858,7611,98,623787,6365,116,543537,4686,13010,13580,16306,17552,19231,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,141,71,94,77,109,494,115,89,89,98,103,476,146,80,83,78,89,,,,,,,,,,,,,,,,,,
100724,26,430,367,26,29,8,3895022,9058,518,437,37,37,7,4456265,8603,540,430,47,52,11,4524317,8378,418,362,25,28,3,3488167,8345,284,2573442,9061,87,675785,7768,28,222495,7946,12,16445,1370,7,0,0,12875,13282,13476,12877,14170,13992,20568,21938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,432,37,39,0,1197687,2358,326,753531,2311,121,302074,2496,38,77465,2039,17,38617,2272,6,26000,4333,19581,19396,19853,19620,17559,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,439,48,56,6,4510582,8216,347,2892295,8335,116,947764,8170,47,314882,6700,19,189778,9988,20,165863,8293,13531,13696,15166,11878,13573,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,284,81,23,1,0,490,313,118,38,16,5,540,347,116,43,17,17,,,,,,,,,,,,,,,,,,
100751,20,2403,1989,0,0,414,23517427,9787,2275,2042,0,0,233,21606856,9498,1816,1584,0,0,232,16795431,9249,1360,1107,0,0,253,12942410,9516,441,5605889,12712,194,2120195,10929,195,1773116,9093,187,1350197,7220,343,2093013,6102,21263,20518,20623,18338,20121,21957,23830,24948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272,1153,0,0,119,11574505,9099,373,4659904,12493,206,2179876,10582,181,1514435,8367,177,1072482,6059,335,2147808,6411,17523,19434,21649,23957,23605,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189,1049,0,0,140,8650394,7275,296,3122858,10550,174,1741620,10009,182,1199105,6588,174,1003020,5764,363,1583791,4363,19322,19863,23284,24108,25509,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,440,194,179,158,274,1157,372,203,165,142,275,969,295,174,158,123,219,,,,,,,,,,,,,,,,,,
100760,15,194,,123,58,13,909082,4686,289,,242,39,8,1587520,5493,231,,136,71,24,1282977,5554,137,,87,48,2,726339,5302,67,475232,7093,26,135104,5196,21,85944,4093,13,19206,1477,10,10853,1085,8885,3776,4852,6837,8734,9837,12453,12845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,181,37,0,1344627,6168,132,941069,7129,41,233891,5705,26,136139,5236,11,17978,1634,8,15550,1944,2308,3732,4201,7803,7493,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,137,77,10,1140479,5091,132,806327,6109,43,228762,5320,35,104917,2998,7,473,68,7,0,0,4384,5173,7495,10425,10493,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,67,25,16,4,3,216,132,41,26,9,8,199,132,43,23,1,0,,,,,,,,,,,,,,,,,,
100812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100830,15,583,225,116,197,45,3647832,6257,529,231,99,149,50,3204344,6057,616,284,120,175,37,3269451,5308,444,201,89,154,0,3077638,6932,236,1901119,8056,95,650594,6848,42,208312,4960,29,97779,3372,42,219834,5234,14322,14182,14559,12565,13773,15661,17249,15387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,211,85,125,0,2756275,6547,204,1650545,8091,80,558339,6979,52,250900,4825,39,117818,3021,46,178673,3884,12134,13246,15400,17204,16341,,,,,,,,,,,,,,,,,,,,,,,,,,,,503,272,97,134,0,2948379,5862,218,1681274,7712,104,664377,6388,64,260407,4069,61,160675,2634,56,181646,3244,12137,13461,15780,17215,16605,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,236,94,42,28,41,413,203,78,50,37,45,499,217,104,63,61,54,,,,,,,,,,,,,,,,,,
100858,20,2232,1233,0,999,0,19652430,8805,2126,1225,0,901,0,17366204,8168,2093,1164,0,929,0,16802247,8028,1066,535,0,531,0,10041888,9420,171,2732129,15977,133,1777557,13365,160,1647897,10299,199,1530017,7689,403,2354288,5842,23873,24028,23562,16701,19313,22379,24989,26836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253,665,0,588,0,10247619,8178,154,2206876,14330,122,1602146,13132,160,1396431,8728,247,1681435,6807,570,3360731,5896,17866,19064,23468,25389,26300,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101,575,0,526,0,8241982,7486,226,2982226,13196,130,1464309,11264,167,1254340,7511,177,897744,5072,401,1643363,4098,18394,20326,24079,26518,27492,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,170,133,147,179,324,1151,153,121,152,220,505,912,225,130,148,138,271,,,,,,,,,,,,,,,,,,
