UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP,SCUGDGSK,SCUGNDGS,SCFA2DG,SCFY2DG,SCFY2ND,UDGAGRNTN,UDGAGRNTP,UDGAGRNTT,UDGAGRNTA,UNDAGRNTN,UNDAGRNTP,UNDAGRNTT,UNDAGRNTA,UDGPGRNTP,UDGFLOANP
100654,1417,28,0,0,712,50,705,50,0,0,5107,,,,1229,87,955,67,5816,36,3,1989,822,58,7617,717,51,6150,1417,5107,45844761,3338,1181,83,10066,955,67,5639,85,6,1993,714,50,5855,13,1,17632,4246,83,10797,65,18422240,5519,2733,54,18178556,6652,11887502,5554675,5385284,169391,71606,6261221,4409594,4180380,229214,1229,87,5094,13,5094,,,4246,83,45844761,10797,0,0,0,,66,54
100663,2361,17,0,0,1958,83,403,17,0,0,13547,,,,2268,96,907,38,6173,105,4,943,1959,83,9548,1158,49,6382,2361,13547,99459929,4482,2190,93,11142,904,38,5911,204,9,1250,1138,48,5142,115,5,13374,10058,74,9889,33,26566130,5927,5598,41,38997810,6966,24401620,5598707,5343746,254961,99016,18703897,7389887,5851864,1538023,2260,96,13284,263,13284,,,9986,75,99209206,9935,72,27,250723,3482,34,42
100690,0,0,,,,,,,,,251,,,,,,,,,,,,,,,,,,0,251,865108,195,,,,,,,,,,,,,,,,208,83,4159,78,350244,1796,148,59,76713,518,,,,,,,,,,,,251,0,251,,,208,83,865108,4159,0,0,0,,78,59
100706,1191,16,0,0,1006,84,185,16,0,0,7569,,,,1139,96,241,20,5395,18,2,3252,1050,88,8014,481,40,7054,1191,7569,52823954,1645,1088,91,8983,241,20,4949,59,5,1823,466,39,5091,70,6,14582,5324,70,9922,22,7351738,4469,2584,34,16796813,6500,9773641,1300222,1192674,107548,58531,8414888,3392964,2372192,1020772,1126,95,7360,209,7360,,,5166,70,52158772,10097,158,76,665182,4210,22,35
100724,797,23,0,0,210,26,587,74,0,0,3499,,,,776,97,624,78,6003,44,6,5072,559,70,6804,665,83,6319,797,3499,33971848,2441,775,97,10029,624,78,5558,145,18,1915,661,83,5754,47,6,8477,3235,92,10501,70,12132284,4970,2684,77,20872889,7777,7772370,3745652,3468019,277633,223153,3803565,4201966,3803565,398401,775,97,3495,4,3495,,,3235,93,33971848,10501,0,0,0,,70,77
100751,7540,24,0,0,2956,39,4584,61,0,0,31685,,,,6571,87,3407,45,3781,264,4,932,5383,71,15493,2906,39,10694,7540,31685,332379978,5664,6155,82,15683,1445,19,5145,3086,41,1766,2698,36,5192,670,9,25477,23048,73,14421,18,27876172,4922,10736,34,66963842,6237,96526426,12883362,7433922,5449440,246000,83397064,31077606,14007789,17069817,6535,87,30725,960,30725,,,22689,74,331680795,14619,359,37,699183,1948,18,35
100760,219,14,0,0,214,98,5,2,0,0,1578,,,,191,87,115,53,5538,8,4,533,84,38,5753,48,22,3243,219,1578,3681127,471,168,77,6693,115,53,5344,50,23,445,48,22,3243,0,0,,1058,67,3479,30,1920895,4078,238,15,843837,3546,1124348,636855,614605,22250,4261,483232,155673,155673,0,181,83,940,638,940,,,624,66,3136495,5026,434,68,544632,1255,50,25
100812,0,0,,,,,,,,,2559,,,,,,,,,,,,,,,,,,0,2559,9637358,1056,,,,,,,,,,,,,,,,2529,99,3811,41,5711751,5409,1102,43,8535084,7745,,,,,,,,,,,,2511,48,2511,,,2484,99,9627570,3876,45,94,9788,218,42,44
100830,517,13,0,0,475,92,42,8,0,0,4086,,,,512,99,287,56,5522,22,4,764,498,96,3886,260,50,5505,517,4086,28676369,1875,510,99,6935,286,55,5415,44,9,822,260,50,5505,0,0,,3159,77,9078,46,10139982,5408,1994,49,13517105,6779,3537041,1584791,1548605,36186,16800,1935450,1431319,1431319,0,510,99,3742,344,3742,,,3021,81,28102558,9302,138,40,573811,4158,50,53
100858,5254,21,0,0,3117,59,2137,41,0,0,24931,,,,4154,79,1275,24,4273,203,4,3686,3671,70,8679,1566,30,9579,5254,24931,157773233,3126,3887,74,9791,602,11,4969,1106,21,2221,1457,28,5238,290,6,25411,16225,65,9724,13,15083983,4825,6949,28,43478307,6257,38057494,5448368,2991610,2456758,748185,31860941,15001321,7632148,7369173,4133,79,24782,149,24782,,,16137,65,157000685,9729,88,59,772548,8779,13,28
100937,244,23,,,,,,,,,1058,,,,244,100,70,29,5579,132,54,1664,244,100,11663,210,86,7274,244,1058,14457249,240,244,100,14163,70,29,4964,44,18,977,207,85,5640,25,10,14407,1040,98,13901,23,1250909,5212,680,64,4617025,6790,3455829,390507,347507,43000,219629,2845693,1527580,1167404,360176,244,100,1054,4,1054,,,1040,99,14457249,13901,0,0,0,,23,65
101028,172,13,0,0,160,93,12,7,0,0,1360,,,,165,96,157,91,7669,27,16,847,74,43,5667,37,22,5487,172,1360,5005154,653,157,91,10486,116,67,7390,157,91,2209,37,22,5487,0,0,,1079,79,4639,48,2943020,4507,332,24,2003136,6034,1646247,1204033,857232,346801,22858,419356,203023,203023,0,165,96,1107,253,1107,,,844,76,4677373,5542,235,93,327781,1395,59,30
101116,12,4,,,,,,,,,341,,,,11,92,10,83,5149,2,17,438,2,17,1317,11,92,7144,12,341,1476533,219,11,92,5000,10,83,4899,2,17,1250,11,92,7144,0,0,,275,81,5369,64,929955,4246,233,68,1830396,7856,55001,51492,48992,2500,876,2633,78583,78583,0,11,92,337,4,337,,,275,82,1476533,5369,0,0,0,,65,69
101143,340,19,0,0,339,100,1,0,0,0,1796,,,,297,87,202,59,5687,26,8,558,133,39,4515,75,22,4431,340,1796,6332518,742,267,79,6606,199,59,5594,31,9,1146,75,22,4431,0,0,,1375,77,4605,41,3595549,4846,356,20,1911417,5369,1763738,1148717,1113177,35540,14500,600521,332346,332346,0,297,87,1336,460,1336,,,974,73,5502344,5649,401,87,830174,2070,56,27
