UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A
100654,221,1173387,5309,13,100324,7717,234,1273711,5443,7,29702,4243,2,6000,3000,9,35702,3967
100663,264,2243724,8499,159,1682377,10581,423,3926101,9282,25,70250,2810,12,23474,1956,37,93724,2533
100690,5,28990,5798,18,123990,6888,23,152980,6651,6,16000,2667,23,62750,2728,29,78750,2716
100706,285,2264421,7945,58,435150,7503,343,2699571,7870,13,41750,3212,8,17250,2156,21,59000,2810
100724,94,413384,4398,11,63409,5764,105,476793,4541,6,14250,2375,0,0,,6,14250,2375
100751,823,8772213,10659,131,849317,6483,954,9621530,10085,38,111430,2932,12,23250,1938,50,134680,2694
100760,6,22453,3742,,,,6,22453,3742,0,0,,,,,0,0,
100812,54,219753,4070,5,15943,3189,59,235696,3995,8,12597,1575,7,16100,2300,15,28697,1913
100830,139,934989,6727,33,158022,4789,172,1093011,6355,27,90500,3352,12,41809,3484,39,132309,3393
100858,688,7541962,10962,147,1999152,13600,835,9541114,11426,20,69672,3484,25,56200,2248,45,125872,2797
100937,17,291765,17163,,,,17,291765,17163,0,0,,,,,0,0,
101028,53,148757,2807,,,,53,148757,2807,5,5904,1181,,,,5,5904,1181
101116,13,126653,9743,1,2677,2677,14,129330,9238,1,516,516,0,0,,1,516,516
101143,63,215479,3420,,,,63,215479,3420,0,0,,,,,0,0,
101161,108,305595,2830,,,,108,305595,2830,8,12480,1560,,,,8,12480,1560
101189,144,671985,4667,100,614439,6144,244,1286424,5272,11,7480,680,5,6013,1203,16,13493,843
101240,42,140919,3355,,,,42,140919,3355,3,4123,1374,,,,3,4123,1374
101277,0,0,,,,,0,0,,0,0,,,,,0,0,
101286,64,222791,3481,,,,64,222791,3481,9,11318,1258,,,,9,11318,1258
101295,191,850731,4454,,,,191,850731,4454,8,20981,2623,,,,8,20981,2623
101301,5,12719,2544,,,,5,12719,2544,0,0,,,,,0,0,
101365,30,143537,4785,3,17375,5792,33,160912,4876,8,28625,3578,0,0,,8,28625,3578
101435,29,644842,22236,1,13732,13732,30,658574,21952,0,0,,0,0,,0,0,
101453,1,10771,10771,1,5325,5325,2,16096,8048,0,0,,1,3618,3618,1,3618,3618
101462,31,89393,2884,,,,31,89393,2884,0,0,,,,,0,0,
101471,0,0,,,,,0,0,,0,0,,,,,0,0,
101480,99,695107,7021,31,110288,3558,130,805395,6195,6,15500,2583,1,2250,2250,7,17750,2536
101505,80,254816,3185,,,,80,254816,3185,2,978,489,,,,2,978,489
101514,145,392372,2706,,,,145,392372,2706,1,861,861,,,,1,861,861
101569,35,93212,2663,,,,35,93212,2663,2,1678,839,,,,2,1678,839
101587,34,145069,4267,53,299579,5652,87,444648,5111,8,29700,3713,4,6000,1500,12,35700,2975
101602,22,56888,2586,,,,22,56888,2586,0,0,,,,,0,0,
101648,5,34817,6963,,,,5,34817,6963,1,4000,4000,,,,1,4000,4000
101675,14,121462,8676,,,,14,121462,8676,0,0,,,,,0,0,
101693,14,174106,12436,2,20425,10213,16,194531,12158,0,0,,0,0,,0,0,
101709,71,318145,4481,1,8926,8926,72,327071,4543,13,31519,2425,0,0,,13,31519,2425
101736,29,88907,3066,,,,29,88907,3066,0,0,,,,,0,0,
101879,249,1734107,6964,45,243393,5409,294,1977500,6726,13,36750,2827,10,23400,2340,23,60150,2615
101897,27,81470,3017,,,,27,81470,3017,1,1107,1107,,,,1,1107,1107
101912,6,49818,8303,0,0,,6,49818,8303,0,0,,0,0,,0,0,
101994,4,25101,6275,,,,4,25101,6275,0,0,,,,,0,0,
102030,54,142497,2639,,,,54,142497,2639,0,0,,,,,0,0,
102049,64,1292712,20199,20,332049,16602,84,1624761,19342,0,0,,0,0,,0,0,
102067,131,199020,1519,,,,131,199020,1519,11,10972,997,,,,11,10972,997
102076,14,42145,3010,,,,14,42145,3010,0,0,,,,,0,0,
102094,220,1934910,8795,108,915583,8478,328,2850493,8691,15,36382,2425,5,12705,2541,20,49087,2454
102234,21,174966,8332,6,27540,4590,27,202506,7500,48,18307,381,54,134887,2498,102,153194,1502
102270,7,36422,5203,,,,7,36422,5203,0,0,,,,,0,0,
102298,3,34247,11416,0,0,,3,34247,11416,0,0,,0,0,,0,0,
102313,32,97058,3033,,,,32,97058,3033,0,0,,,,,0,0,
102368,633,4095764,6470,229,1283166,5603,862,5378930,6240,801,1922100,2400,1074,2210750,2058,1875,4132850,2204
102377,26,444312,17089,5,106966,21393,31,551278,17783,0,0,,0,0,,0,0,
102395,23,181632,7897,6,65893,10982,29,247525,8535,18,31256,1736,2,5250,2625,20,36506,1825
102429,38,93648,2464,,,,38,93648,2464,1,369,369,,,,1,369,369
102553,650,4307920,6628,39,322240,8263,689,4630160,6720,211,381065,1806,3,5250,1750,214,386315,1805
102580,1,10900,10900,,,,1,10900,10900,0,0,,,,,0,0,
102614,368,2650713,7203,43,209086,4862,411,2859799,6958,151,334615,2216,7,8750,1250,158,343365,2173
102632,55,243175,4421,6,89527,14921,61,332702,5454,5,14038,2808,8,16528,2066,13,30566,2351
102669,23,272463,11846,10,81861,8186,33,354324,10737,0,0,,0,0,,0,0,
102711,2,2778,1389,,,,2,2778,1389,0,0,,,,,0,0,
102845,242,3097822,12801,,,,242,3097822,12801,0,0,,,,,0,0,
103501,27,183061,6780,,,,27,183061,6780,0,0,,,,,0,0,
103741,3,44443,14814,,,,3,44443,14814,0,0,,,,,0,0,
