fileName,sectionNumber,fileNumber,tableName,sectionTitle
"ICDATA",1,1,"HD2021","Directory information and response status"
"C_HD",1,3,"Flags2021","Response status information"
"C_A",1,4,"C2021_A","Completions, awards and degrees by 6-digit cipcode"
"EF_HD",1,6,"Flags2021","Fall enrollment response status information"
"EF_A",1,7,"EF2021A","Enrollment by race/ethnicity and gender"
"EF_CP",1,8,"EF2021CP","Enrollment by selected majors"
"EF_B",1,9,"EF2021B","Enrollment by age"
"EF_C",1,10,"EF2021C","Enrollment by residence and migration"
"EF_D",1,11,"EF2021D","Total entering class"
"EFFY",1,12,"EFFY2021","12-month enrollment"
"EFIA",1,13,"EFIA2021","Instructional activity"
"EFFYDIST",1,14,"EFFY2021_DIST","Distance education"
"SAL_HD",1,15,"Flags2021","Response status information"
"SAL_IS",1,16,"SAL2021_IS","Full-time, nonmedical instructional staff"
"SAL_NIS",1,17,"SAL2021_NIS","Full-time, nonmedical  noninstructional staff"
"S_HD",1,18,"Flags2021","Response status information"
"S_OC",1,19,"S2021_OC","Full- and part-time staff"
"S_F",1,20,"S2021_IS","Full-time instructional staff"
"S_G",1,21,"S2021_NIS","New hires by primary occupation, race/ethnicity, and gender (Degree-granting institutions)"
"S_SIS",1,22,"S2021_IS","Full-time instructional staff"
"EAP_HD",1,23,"Flags2021","Response status information"
"EAP",1,24,"EAP2021","Occupation, faculty and tenure status"
"EF_D1",1,25,"EF2021","Retention rates for the fall 2020 cohort"
"F_HD",1,26,"Flags2021","Response status information"
"F_FASB",1,28,"F2021_F2","Statement of financial position"
"F_F3",1,29,"F2021_F3","Balance sheet information"
"F_GASB",1,35,"F2021_F1A","Statement of financial position"
"SFA_HD",1,38,"Flags2021","Response status information"
"SFA",1,39,"SFA2021","Student counts: Full-time, first-time degree/certificate-seeking undergraduates - 2020 fall cohort"
"GR200",1,40,"GR200_21","Cohort year 2013, Bachelor's degree-seeking students in 4-year institutions"
"GRHD",1,41,"Flags2021","Response status information"
"GR4YR2YR",1,42,"GR2021","Graduation rate data  for 2015 and 2018 cohorts (4-year and 2-year institutions)"
"GRL2",1,45,"GR2021_L2","Graduation rate data for cohort year 2018  (less-than-2-year institutions)"
"OM_HD",1,47,"Flags2021","Response status information"
"OM",1,48,"OM2021","Outcome measures"
"FREQ_IC_ADM",1,49,"DRVADM2021","Selectivity"
"FREQ2010_IC",1,50,"DRVIC2021","Price"
"FREQ2010",1,51,"HD2021","Institutions"
"FREQ_EF_FALL",1,53,"DRVEF2021","Total, full- and part-time enrollment by student level and full-time equivalent fall enrollment"
"FREQ_EF_12MN",1,54,"DRVEF122021","Enrollment: 2020-21"
"FREQ_C",1,55,"DRVC2021","Degrees/awards: July 1 2020 - June 30 2021"
"FREQ_GR",1,56,"DRVGR2021","Total degree/certificate-seeking cohort from year 2015 (4-year) and 2018 (less-than 4-year) institutions, 150 percent of normal time to complete"
"FREQ_SFA",1,57,"SFA2021","Student financial aid of full-time first-time degree or certificate-seeking undergraduate students"
"FREQ10_F",1,58,"DRVF2021","Percent distribution of core revenues, by source"
"FREQ_HR",1,59,"DRVHR2021","Average salaries equated to 9-month contracts"
"EFFREQfall",1,61,"DRVEF2021","Frequently used fall enrollment variables"
"EFFREQ12MN",1,62,"DRVEF122021","Frequently used enrollment variables: 2020-21"
