SurveyOrder,Tablenumber,TableName,varNumber,varOrder,varName,Codevalue,Frequency,Percent,valueOrder,valueLabel,varTitle
10,10,"HD2021",10016,7,"STABBR","AL",81,1.29,1,"Alabama","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","AK",10,0.16,2,"Alaska","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","AZ",112,1.78,3,"Arizona","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","AR",85,1.35,4,"Arkansas","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","CA",699,11.11,5,"California","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","CO",92,1.46,6,"Colorado","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","CT",72,1.14,7,"Connecticut","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","DE",17,0.27,8,"Delaware","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","DC",24,0.38,9,"District of Columbia","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","FL",342,5.44,10,"Florida","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","GA",141,2.24,11,"Georgia","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","HI",23,0.37,12,"Hawaii","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","ID",39,0.62,13,"Idaho","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","IL",247,3.93,14,"Illinois","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","IN",107,1.70,15,"Indiana","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","IA",78,1.24,16,"Iowa","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","KS",74,1.18,17,"Kansas","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","KY",87,1.38,18,"Kentucky","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","LA",115,1.83,19,"Louisiana","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","ME",37,0.59,20,"Maine","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MD",81,1.29,21,"Maryland","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MA",150,2.39,22,"Massachusetts","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MI",164,2.61,23,"Michigan","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MN",98,1.56,24,"Minnesota","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MS",56,0.89,25,"Mississippi","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MO",146,2.32,26,"Missouri","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MT",31,0.49,27,"Montana","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NE",41,0.65,28,"Nebraska","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NV",41,0.65,29,"Nevada","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NH",37,0.59,30,"New Hampshire","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NJ",162,2.58,31,"New Jersey","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NM",46,0.73,32,"New Mexico","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NY",432,6.87,33,"New York","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","NC",166,2.64,34,"North Carolina","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","ND",26,0.41,35,"North Dakota","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","OH",283,4.50,36,"Ohio","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","OK",99,1.57,37,"Oklahoma","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","OR",77,1.22,38,"Oregon","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","PA",312,4.96,39,"Pennsylvania","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","RI",22,0.35,40,"Rhode Island","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","SC",93,1.48,41,"South Carolina","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","SD",28,0.45,42,"South Dakota","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","TN",153,2.43,43,"Tennessee","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","TX",408,6.49,44,"Texas","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","UT",65,1.03,45,"Utah","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","VT",20,0.32,46,"Vermont","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","VA",145,2.31,47,"Virginia","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","WA",104,1.65,48,"Washington","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","WV",72,1.14,49,"West Virginia","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","WI",91,1.45,50,"Wisconsin","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","WY",10,0.16,51,"Wyoming","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","AS",1,0.02,52,"American Samoa","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","FM",1,0.02,53,"Federated States of Micronesia","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","GU",3,0.05,54,"Guam","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MH",1,0.02,55,"Marshall Islands","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","MP",1,0.02,56,"Northern Marianas","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","PW",1,0.02,57,"Palau","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","PR",139,2.21,58,"Puerto Rico","State abbreviation"
10,10,"HD2021",10016,7,"STABBR","VI",1,0.02,59,"Virgin Islands","State abbreviation"
10,10,"HD2021",10026,11,"FIPS","1",81,1.29,1,"Alabama","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","2",10,0.16,2,"Alaska","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","4",112,1.78,3,"Arizona","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","5",85,1.35,4,"Arkansas","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","6",699,11.11,5,"California","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","8",92,1.46,6,"Colorado","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","9",72,1.14,7,"Connecticut","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","10",17,0.27,8,"Delaware","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","11",24,0.38,9,"District of Columbia","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","12",342,5.44,10,"Florida","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","13",141,2.24,11,"Georgia","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","15",23,0.37,12,"Hawaii","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","16",39,0.62,13,"Idaho","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","17",247,3.93,14,"Illinois","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","18",107,1.70,15,"Indiana","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","19",78,1.24,16,"Iowa","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","20",74,1.18,17,"Kansas","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","21",87,1.38,18,"Kentucky","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","22",115,1.83,19,"Louisiana","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","23",37,0.59,20,"Maine","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","24",81,1.29,21,"Maryland","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","25",150,2.39,22,"Massachusetts","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","26",164,2.61,23,"Michigan","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","27",98,1.56,24,"Minnesota","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","28",56,0.89,25,"Mississippi","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","29",146,2.32,26,"Missouri","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","30",31,0.49,27,"Montana","FIPS state code"
